model,method,mcs_mean,mcs_std,n,mcs_sem,ci95
Gemma 2 9B,none,0.0032535142368740806,0.04076178852824109,5,0.018229226006723637,0.05061244531791216
Gemma 2 9B,pca_k_calibrated,0.006481101777818479,0.02625098823877853,5,0.011739798835691255,0.03259490701336174
Gemma 2 9B,pca_uncalibrated,0.01172750923368664,0.026696708240371375,5,0.011939130880189837,0.033148341492618895
Gemma 2 9B,raw_addition,0.01575539443227976,0.020587067942609845,5,0.00920681667541647,0.025562221092913482
Llama 3.1 8B,none,0.00397914995749792,0.0419655796723774,5,0.018767577772523844,0.052107149442942736
Llama 3.1 8B,pca_k_calibrated,0.0471226784918043,0.017111065114077534,5,0.0076523009525005115,0.02124619352307046
Llama 3.1 8B,pca_uncalibrated,0.0013663878043492805,0.026142278861728235,5,0.011691182524316031,0.03245992649361123
Llama 3.1 8B,raw_addition,0.01207276648945276,0.020626926281113293,5,0.00922464186628925,0.02561171175686143
Mistral 7B,none,-0.006918831997447498,0.04435644481834123,5,0.019836805170805858,0.055075800619246204
Mistral 7B,pca_k_calibrated,0.0169619550928473,0.03848428202573602,5,0.01721069413496381,0.04778454748807664
Mistral 7B,pca_uncalibrated,0.028100420658787078,0.021932495161183427,5,0.00980851001931827,0.027232789632419725
Mistral 7B,raw_addition,0.0443117961287498,0.03530758141350668,5,0.015790030432341808,0.04384015270479961
Qwen 2.5 7B,none,0.00032734258307353937,0.053644146843222995,5,0.023990391787285473,0.0666080058495861
Qwen 2.5 7B,pca_k_calibrated,0.0018246094385782994,0.025197593518243785,5,0.011268706395240238,0.03128694471297583
Qwen 2.5 7B,pca_uncalibrated,0.01187997625933752,0.01868025575636554,5,0.008354064341663019,0.023194601049917715
Qwen 2.5 7B,raw_addition,0.00867325589060782,0.036110793395650286,5,0.0161492377508249,0.044837472105953215
