method,alpha,pair_idx,cos_pos,cos_neg,correct
none,0.0,34,0.5004410743713379,0.36175402998924255,1
none,0.0,6,0.39485132694244385,0.34097638726234436,1
none,0.0,8,0.2981594502925873,0.23402079939842224,1
none,0.0,14,0.36808472871780396,0.29682788252830505,1
none,0.0,15,0.37893998622894287,0.2792534828186035,1
none,0.0,17,0.44480788707733154,0.3548216223716736,1
none,0.0,1,0.3334561586380005,0.2708596885204315,1
none,0.0,7,0.2825283706188202,0.17965993285179138,1
none,0.0,40,0.4087523818016052,0.3183232545852661,1
raw_addition,1.0,34,0.3211851716041565,0.3015861511230469,1
raw_addition,1.0,6,0.2848774194717407,0.24395109713077545,1
raw_addition,1.0,8,0.389879047870636,0.3660452961921692,1
raw_addition,1.0,14,0.4074002802371979,0.37031981348991394,1
raw_addition,1.0,15,0.30436962842941284,0.24597322940826416,1
raw_addition,1.0,17,0.34260720014572144,0.2886736989021301,1
raw_addition,1.0,1,0.3910115361213684,0.36027365922927856,1
raw_addition,1.0,7,0.2900797128677368,0.24802957475185394,1
raw_addition,1.0,40,0.3659234046936035,0.31748753786087036,1
pca_uncalibrated,1.0,34,0.41259777545928955,0.374501496553421,1
pca_uncalibrated,1.0,6,0.3430803120136261,0.30690765380859375,1
pca_uncalibrated,1.0,8,0.32566845417022705,0.30071914196014404,1
pca_uncalibrated,1.0,14,0.4226398468017578,0.37613800168037415,1
pca_uncalibrated,1.0,15,0.36664843559265137,0.334660142660141,1
pca_uncalibrated,1.0,17,0.3228446841239929,0.2887148857116699,1
pca_uncalibrated,1.0,1,0.34226149320602417,0.311005562543869,1
pca_uncalibrated,1.0,7,0.334993839263916,0.2790253758430481,1
pca_uncalibrated,1.0,40,0.35159817337989807,0.28750115633010864,1
pca_k_calibrated,1.0,34,0.3369711637496948,0.29964908957481384,1
pca_k_calibrated,1.0,6,0.32749637961387634,0.2915318012237549,1
pca_k_calibrated,1.0,8,0.34458374977111816,0.3057907819747925,1
pca_k_calibrated,1.0,14,0.3367007076740265,0.31449487805366516,1
pca_k_calibrated,1.0,15,0.3244693875312805,0.2854057550430298,1
pca_k_calibrated,1.0,17,0.3210931420326233,0.3063713312149048,1
pca_k_calibrated,1.0,1,0.345150887966156,0.3214074671268463,1
pca_k_calibrated,1.0,7,0.4450528621673584,0.3605995774269104,1
pca_k_calibrated,1.0,40,0.3591088354587555,0.28325173258781433,1
