method,alpha,pair_idx,cos_pos,cos_neg,correct
none,0.0,34,0.4841051399707794,0.4449286162853241,1
none,0.0,6,0.5748064517974854,0.5683921575546265,1
none,0.0,8,0.5245929956436157,0.5543686151504517,0
none,0.0,14,0.3841996192932129,0.4466244876384735,0
none,0.0,15,0.5273326635360718,0.5339447259902954,0
none,0.0,17,0.43553054332733154,0.43809404969215393,0
none,0.0,1,0.6140936613082886,0.5976768732070923,1
none,0.0,7,0.5658864378929138,0.5714127421379089,0
none,0.0,40,0.5339991450309753,0.565679669380188,0
raw_addition,1.0,34,0.6285836696624756,0.5790570974349976,1
raw_addition,1.0,6,0.526207447052002,0.5165746212005615,1
raw_addition,1.0,8,0.5182041525840759,0.5669178366661072,0
raw_addition,1.0,14,0.470399409532547,0.5123007893562317,0
raw_addition,1.0,15,0.5520939230918884,0.5724779963493347,0
raw_addition,1.0,17,0.4970788359642029,0.5017040967941284,0
raw_addition,1.0,1,0.5284934043884277,0.4605554938316345,1
raw_addition,1.0,7,0.5229726433753967,0.500832200050354,1
raw_addition,1.0,40,0.5547467470169067,0.5601106882095337,0
pca_uncalibrated,1.0,34,0.5044494271278381,0.4827668070793152,1
pca_uncalibrated,1.0,6,0.5047639608383179,0.5204938054084778,0
pca_uncalibrated,1.0,8,0.507987380027771,0.5747650861740112,0
pca_uncalibrated,1.0,14,0.42746463418006897,0.494827538728714,0
pca_uncalibrated,1.0,15,0.5387371182441711,0.5924087762832642,0
pca_uncalibrated,1.0,17,0.47515180706977844,0.5096818208694458,0
pca_uncalibrated,1.0,1,0.5279707908630371,0.5138621926307678,1
pca_uncalibrated,1.0,7,0.5226186513900757,0.4949653148651123,1
pca_uncalibrated,1.0,40,0.44321903586387634,0.4671740233898163,0
pca_k_calibrated,1.0,34,0.4991568624973297,0.4696703851222992,1
pca_k_calibrated,1.0,6,0.44855839014053345,0.462195485830307,0
pca_k_calibrated,1.0,8,0.39940956234931946,0.44797661900520325,0
pca_k_calibrated,1.0,14,0.4908492863178253,0.4993288516998291,0
pca_k_calibrated,1.0,15,0.517078161239624,0.5372288227081299,0
pca_k_calibrated,1.0,17,0.45125943422317505,0.4501217305660248,1
pca_k_calibrated,1.0,1,0.4777791500091553,0.45911088585853577,1
pca_k_calibrated,1.0,7,0.46981531381607056,0.44721314311027527,1
pca_k_calibrated,1.0,40,0.5214235186576843,0.5349792838096619,0
