method,alpha,pair_idx,cos_pos,cos_neg,correct
none,0.0,34,0.5904324054718018,0.6621854901313782,0
none,0.0,6,0.5415813326835632,0.5785781145095825,0
none,0.0,8,0.5700390338897705,0.5852490067481995,0
none,0.0,14,0.6204380393028259,0.592859148979187,1
none,0.0,15,0.6081011295318604,0.5947859883308411,1
none,0.0,17,0.6338725686073303,0.5527381896972656,1
none,0.0,1,0.5251744389533997,0.5463675260543823,0
none,0.0,7,0.5294114351272583,0.541799783706665,0
none,0.0,40,0.6304537057876587,0.6650928258895874,0
raw_addition,1.0,34,0.4809455871582031,0.5438311100006104,0
raw_addition,1.0,6,0.5587646961212158,0.4913676977157593,1
raw_addition,1.0,8,0.46344003081321716,0.4830055236816406,0
raw_addition,1.0,14,0.5367512702941895,0.5061705708503723,1
raw_addition,1.0,15,0.4952070713043213,0.5042663812637329,0
raw_addition,1.0,17,0.511167585849762,0.48865771293640137,1
raw_addition,1.0,1,0.4426467716693878,0.4613286852836609,0
raw_addition,1.0,7,0.5142704248428345,0.4777466654777527,1
raw_addition,1.0,40,0.4938376545906067,0.4496137797832489,1
pca_uncalibrated,1.0,34,0.4875502586364746,0.5856950283050537,0
pca_uncalibrated,1.0,6,0.583808958530426,0.529098629951477,1
pca_uncalibrated,1.0,8,0.48695576190948486,0.4934159219264984,0
pca_uncalibrated,1.0,14,0.5671389102935791,0.5197597146034241,1
pca_uncalibrated,1.0,15,0.5512897372245789,0.5380322337150574,1
pca_uncalibrated,1.0,17,0.5057746767997742,0.49372243881225586,1
pca_uncalibrated,1.0,1,0.454723596572876,0.47140222787857056,0
pca_uncalibrated,1.0,7,0.5123574137687683,0.4586353600025177,1
pca_uncalibrated,1.0,40,0.5751413702964783,0.5056769847869873,1
pca_k_calibrated,1.0,34,0.4827157258987427,0.5627924203872681,0
pca_k_calibrated,1.0,6,0.54426509141922,0.5325376391410828,1
pca_k_calibrated,1.0,8,0.4250151813030243,0.45359015464782715,0
pca_k_calibrated,1.0,14,0.5621920228004456,0.5042803883552551,1
pca_k_calibrated,1.0,15,0.41333380341529846,0.4206353724002838,0
pca_k_calibrated,1.0,17,0.46801432967185974,0.4739173650741577,0
pca_k_calibrated,1.0,1,0.43461382389068604,0.4899538457393646,0
pca_k_calibrated,1.0,7,0.4783261716365814,0.4636433720588684,1
pca_k_calibrated,1.0,40,0.5204449892044067,0.5100189447402954,1
