method,alpha,pair_idx,cos_pos,cos_neg,correct
none,0.0,34,0.3076019883155823,0.2642219066619873,1
none,0.0,52,0.31309327483177185,0.30939850211143494,1
none,0.0,43,0.29823192954063416,0.27098017930984497,1
none,0.0,6,0.1519092619419098,0.1578853577375412,0
none,0.0,57,0.346142441034317,0.3358774185180664,1
none,0.0,8,0.22732603549957275,0.25574615597724915,0
none,0.0,14,0.47726958990097046,0.5010566711425781,0
none,0.0,15,0.3052414655685425,0.28492873907089233,1
none,0.0,17,0.2975243926048279,0.2849636375904083,1
none,0.0,47,0.1802276074886322,0.22869771718978882,0
none,0.0,1,0.23807650804519653,0.21169427037239075,1
none,0.0,7,0.3236716687679291,0.2592709958553314,1
none,0.0,40,0.4701288938522339,0.44088947772979736,1
raw_addition,1.0,34,0.3150443434715271,0.2877691090106964,1
raw_addition,1.0,52,0.3394951820373535,0.3424282670021057,0
raw_addition,1.0,43,0.29571861028671265,0.3031565546989441,0
raw_addition,1.0,6,0.3375133275985718,0.30382534861564636,1
raw_addition,1.0,57,0.3597193956375122,0.320549875497818,1
raw_addition,1.0,8,0.34020036458969116,0.3527159094810486,0
raw_addition,1.0,14,0.3072872757911682,0.3144368529319763,0
raw_addition,1.0,15,0.3007466793060303,0.26183250546455383,1
raw_addition,1.0,17,0.40818971395492554,0.37803471088409424,1
raw_addition,1.0,47,0.2595394551753998,0.30907368659973145,0
raw_addition,1.0,1,0.30425530672073364,0.2821023464202881,1
raw_addition,1.0,7,0.3334805965423584,0.29018500447273254,1
raw_addition,1.0,40,0.3205721974372864,0.30427566170692444,1
pca_uncalibrated,1.0,34,0.4052080512046814,0.37406840920448303,1
pca_uncalibrated,1.0,52,0.34355977177619934,0.35348206758499146,0
pca_uncalibrated,1.0,43,0.29455140233039856,0.30340445041656494,0
pca_uncalibrated,1.0,6,0.3248530626296997,0.30222970247268677,1
pca_uncalibrated,1.0,57,0.41378751397132874,0.3748287856578827,1
pca_uncalibrated,1.0,8,0.2739045023918152,0.2780299782752991,0
pca_uncalibrated,1.0,14,0.31756487488746643,0.32434946298599243,0
pca_uncalibrated,1.0,15,0.3068768382072449,0.2642827033996582,1
pca_uncalibrated,1.0,17,0.3061753511428833,0.2812621593475342,1
pca_uncalibrated,1.0,47,0.272956520318985,0.32030540704727173,0
pca_uncalibrated,1.0,1,0.3737673759460449,0.3455747365951538,1
pca_uncalibrated,1.0,7,0.3340822756290436,0.295531302690506,1
pca_uncalibrated,1.0,40,0.33052679896354675,0.31190067529678345,1
pca_k_calibrated,1.0,34,0.36087870597839355,0.3244116008281708,1
pca_k_calibrated,1.0,52,0.22789977490901947,0.23199985921382904,0
pca_k_calibrated,1.0,43,0.2812585234642029,0.26264429092407227,1
pca_k_calibrated,1.0,6,0.4228411614894867,0.42945772409439087,0
pca_k_calibrated,1.0,57,0.42214536666870117,0.3500639796257019,1
pca_k_calibrated,1.0,8,0.23500710725784302,0.2544330656528473,0
pca_k_calibrated,1.0,14,0.21808958053588867,0.24281516671180725,0
pca_k_calibrated,1.0,15,0.2004418522119522,0.17465293407440186,1
pca_k_calibrated,1.0,17,0.22274033725261688,0.19330787658691406,1
pca_k_calibrated,1.0,47,0.2579244077205658,0.3162948489189148,0
pca_k_calibrated,1.0,1,0.3671044707298279,0.3365902900695801,1
pca_k_calibrated,1.0,7,0.2660983204841614,0.23378926515579224,1
pca_k_calibrated,1.0,40,0.42691659927368164,0.41680753231048584,1
