method,alpha,pair_idx,cos_pos,cos_neg,correct
none,0.0,5,0.233208566904068,0.24044615030288696,0
none,0.0,34,0.20387347042560577,0.21187302470207214,0
none,0.0,6,0.26589956879615784,0.2625841796398163,1
none,0.0,8,0.27632132172584534,0.29471081495285034,0
none,0.0,14,0.49336883425712585,0.539298951625824,0
none,0.0,15,0.5769290924072266,0.4929842948913574,1
none,0.0,17,0.22661858797073364,0.22107085585594177,1
none,0.0,47,0.2798290550708771,0.2560066282749176,1
none,0.0,1,0.33244892954826355,0.32673490047454834,1
none,0.0,7,0.2925516366958618,0.30090442299842834,0
none,0.0,40,0.28071773052215576,0.311985582113266,0
raw_addition,1.0,5,0.334163099527359,0.3472316265106201,0
raw_addition,1.0,34,0.2649085521697998,0.30083730816841125,0
raw_addition,1.0,6,0.279822438955307,0.28762906789779663,0
raw_addition,1.0,8,0.3120042681694031,0.35286056995391846,0
raw_addition,1.0,14,0.2415865957736969,0.2715926170349121,0
raw_addition,1.0,15,0.2777308225631714,0.27239930629730225,1
raw_addition,1.0,17,0.27775809168815613,0.283197283744812,0
raw_addition,1.0,47,0.2701495885848999,0.27322810888290405,0
raw_addition,1.0,1,0.3194432854652405,0.33440962433815,0
raw_addition,1.0,7,0.2962498664855957,0.3159390687942505,0
raw_addition,1.0,40,0.3045097291469574,0.3466973304748535,0
pca_uncalibrated,1.0,5,0.29525452852249146,0.29176703095436096,1
pca_uncalibrated,1.0,34,0.23708808422088623,0.23282118141651154,1
pca_uncalibrated,1.0,6,0.24885651469230652,0.2451016902923584,1
pca_uncalibrated,1.0,8,0.2762463092803955,0.2916170656681061,0
pca_uncalibrated,1.0,14,0.3366675078868866,0.36259597539901733,0
pca_uncalibrated,1.0,15,0.32680952548980713,0.3340517282485962,0
pca_uncalibrated,1.0,17,0.29481241106987,0.30091357231140137,0
pca_uncalibrated,1.0,47,0.29422351717948914,0.2691868841648102,1
pca_uncalibrated,1.0,1,0.22202521562576294,0.204568013548851,1
pca_uncalibrated,1.0,7,0.22968660295009613,0.21441437304019928,1
pca_uncalibrated,1.0,40,0.311015248298645,0.34297841787338257,0
pca_k_calibrated,1.0,5,0.23400744795799255,0.23243668675422668,1
pca_k_calibrated,1.0,34,0.2879031300544739,0.2851094603538513,1
pca_k_calibrated,1.0,6,0.20230555534362793,0.18457373976707458,1
pca_k_calibrated,1.0,8,0.2225571572780609,0.24878108501434326,0
pca_k_calibrated,1.0,14,0.19046133756637573,0.19439882040023804,0
pca_k_calibrated,1.0,15,0.6351407766342163,0.5920352935791016,1
pca_k_calibrated,1.0,17,0.32359039783477783,0.28010329604148865,1
pca_k_calibrated,1.0,47,0.27255719900131226,0.24773335456848145,1
pca_k_calibrated,1.0,1,0.19434098899364471,0.16729958355426788,1
pca_k_calibrated,1.0,7,0.3935045003890991,0.3904725909233093,1
pca_k_calibrated,1.0,40,0.41942280530929565,0.4565611779689789,0
