method,alpha,pair_idx,cos_pos,cos_neg,correct
none,0.0,5,0.22337600588798523,0.19460734724998474,1
none,0.0,34,0.10834047198295593,0.06922508776187897,1
none,0.0,6,0.3084644675254822,0.21150599420070648,1
none,0.0,8,0.38883286714553833,0.35492637753486633,1
none,0.0,14,0.358024924993515,0.2533441483974457,1
none,0.0,15,0.3046379089355469,0.22556814551353455,1
none,0.0,17,0.1882123053073883,0.15073293447494507,1
none,0.0,47,0.36374130845069885,0.2804163098335266,1
none,0.0,1,0.45171689987182617,0.3566024899482727,1
none,0.0,7,0.2988510727882385,0.24210156500339508,1
none,0.0,40,0.16816554963588715,0.1414739489555359,1
raw_addition,1.0,5,0.36808955669403076,0.2804882824420929,1
raw_addition,1.0,34,0.23699618875980377,0.19388321042060852,1
raw_addition,1.0,6,0.3654499650001526,0.24479679763317108,1
raw_addition,1.0,8,0.39744818210601807,0.3580515682697296,1
raw_addition,1.0,14,0.3418394923210144,0.24494801461696625,1
raw_addition,1.0,15,0.3399134576320648,0.29333969950675964,1
raw_addition,1.0,17,0.36618703603744507,0.3184482455253601,1
raw_addition,1.0,47,0.31798022985458374,0.22529345750808716,1
raw_addition,1.0,1,0.2981957793235779,0.25917521119117737,1
raw_addition,1.0,7,0.3283211290836334,0.24214553833007812,1
raw_addition,1.0,40,0.3230380713939667,0.2801855206489563,1
pca_uncalibrated,1.0,5,0.29101061820983887,0.24257902801036835,1
pca_uncalibrated,1.0,34,0.3818974792957306,0.3090873956680298,1
pca_uncalibrated,1.0,6,0.4233536422252655,0.29891037940979004,1
pca_uncalibrated,1.0,8,0.4399182200431824,0.36490505933761597,1
pca_uncalibrated,1.0,14,0.3880942463874817,0.28139764070510864,1
pca_uncalibrated,1.0,15,0.35674992203712463,0.27930861711502075,1
pca_uncalibrated,1.0,17,0.43594634532928467,0.36554786562919617,1
pca_uncalibrated,1.0,47,0.3535913825035095,0.2646028399467468,1
pca_uncalibrated,1.0,1,0.42918330430984497,0.3667784631252289,1
pca_uncalibrated,1.0,7,0.3424972593784332,0.2849857211112976,1
pca_uncalibrated,1.0,40,0.3435697555541992,0.3405333161354065,1
pca_k_calibrated,1.0,5,0.36985987424850464,0.2796662747859955,1
pca_k_calibrated,1.0,34,0.3175692856311798,0.24626684188842773,1
pca_k_calibrated,1.0,6,0.36806219816207886,0.25485798716545105,1
pca_k_calibrated,1.0,8,0.30361130833625793,0.23013348877429962,1
pca_k_calibrated,1.0,14,0.38508015871047974,0.2660099267959595,1
pca_k_calibrated,1.0,15,0.35516357421875,0.321031391620636,1
pca_k_calibrated,1.0,17,0.3890780210494995,0.31219482421875,1
pca_k_calibrated,1.0,47,0.4468483626842499,0.287802517414093,1
pca_k_calibrated,1.0,1,0.35157376527786255,0.2728983163833618,1
pca_k_calibrated,1.0,7,0.3625066578388214,0.2848891615867615,1
pca_k_calibrated,1.0,40,0.250372052192688,0.21819889545440674,1
