method,alpha,pair_idx,cos_pos,cos_neg,correct
none,0.0,51,0.15218719840049744,0.24949678778648376,0
none,0.0,43,0.0930238887667656,0.3285517394542694,0
none,0.0,6,0.08069252222776413,0.16928189992904663,0
none,0.0,56,0.1443694680929184,0.14546459913253784,0
none,0.0,8,0.11990240216255188,0.11234524846076965,1
none,0.0,14,0.30686336755752563,0.13452139496803284,1
none,0.0,15,0.14348135888576508,0.1629565954208374,0
none,0.0,17,0.12056346982717514,0.09753119945526123,1
none,0.0,47,0.13510657846927643,0.17422226071357727,0
none,0.0,1,0.1402696669101715,0.08455118536949158,1
none,0.0,7,0.13398264348506927,0.05706247314810753,1
none,0.0,40,0.05782803148031235,0.14043450355529785,0
raw_addition,1.0,51,0.09408816695213318,0.05151114985346794,1
raw_addition,1.0,43,0.1586618572473526,0.045726027339696884,1
raw_addition,1.0,6,0.0913456380367279,0.005451017990708351,1
raw_addition,1.0,56,0.08890541642904282,0.06714153289794922,1
raw_addition,1.0,8,0.14028842747211456,0.04876823350787163,1
raw_addition,1.0,14,0.1093117892742157,0.03328262269496918,1
raw_addition,1.0,15,0.14540545642375946,-0.03290616348385811,1
raw_addition,1.0,17,0.022600673139095306,0.06836266815662384,0
raw_addition,1.0,47,0.07110543549060822,0.1464371383190155,0
raw_addition,1.0,1,0.10305145382881165,-0.017729584127664566,1
raw_addition,1.0,7,0.06842376291751862,0.05675362050533295,1
raw_addition,1.0,40,0.005815458483994007,0.1220916211605072,0
pca_uncalibrated,1.0,51,0.04915286600589752,0.03079907037317753,1
pca_uncalibrated,1.0,43,-0.036205023527145386,0.044389523565769196,0
pca_uncalibrated,1.0,6,0.07927000522613525,-0.03176102787256241,1
pca_uncalibrated,1.0,56,0.14924317598342896,0.24156245589256287,0
pca_uncalibrated,1.0,8,0.16110247373580933,0.08708973228931427,1
pca_uncalibrated,1.0,14,0.14811962842941284,0.06323506683111191,1
pca_uncalibrated,1.0,15,0.09155473113059998,0.08317448198795319,1
pca_uncalibrated,1.0,17,0.0631728321313858,0.05108218267560005,1
pca_uncalibrated,1.0,47,0.07476596534252167,0.13735492527484894,0
pca_uncalibrated,1.0,1,0.045864276587963104,0.05613148212432861,0
pca_uncalibrated,1.0,7,0.10822639614343643,0.011957211419939995,1
pca_uncalibrated,1.0,40,0.05486109107732773,0.10261409729719162,0
pca_k_calibrated,1.0,51,0.17878372967243195,0.09990086406469345,1
pca_k_calibrated,1.0,43,0.24797239899635315,0.08481396734714508,1
pca_k_calibrated,1.0,6,0.16634127497673035,0.20408621430397034,0
pca_k_calibrated,1.0,56,0.23030057549476624,0.14076831936836243,1
pca_k_calibrated,1.0,8,0.14779815077781677,0.10433655232191086,1
pca_k_calibrated,1.0,14,0.1842120885848999,0.10426187515258789,1
pca_k_calibrated,1.0,15,0.17222949862480164,0.15761885046958923,1
pca_k_calibrated,1.0,17,0.10961216688156128,0.10647599399089813,1
pca_k_calibrated,1.0,47,0.19195470213890076,0.11086135357618332,1
pca_k_calibrated,1.0,1,0.30244389176368713,0.05444575101137161,1
pca_k_calibrated,1.0,7,0.09754889458417892,0.03687578812241554,1
pca_k_calibrated,1.0,40,0.17033031582832336,0.21037568151950836,0
