layer_idx,k_value,gamma_post_mlp,gamma_post_attn,gamma_post_combined,spectral_norm_up,gamma_post_cumulative
0,1.3465580002498752,26.11610221862793,39.86066436767578,65.97676658630371,2.730314016342163,65.97676658630371
1,1.2983702255663196,16.44408416748047,35.9327392578125,52.37682342529297,1.8084917068481445,118.35359001159668
2,1.4272668294587612,8.947893142700195,21.603784561157227,30.551677703857422,2.0041980743408203,148.9052677154541
3,1.4028593757728531,10.561717987060547,27.839801788330078,38.401519775390625,2.1638388633728027,187.30678749084473
4,1.4535087832559292,8.439750671386719,28.349559783935547,36.789310455322266,1.9589766263961792,224.096097946167
5,1.6917911679749076,12.075623512268066,24.599119186401367,36.674742698669434,2.0028553009033203,260.7708406448364
6,1.8203146272806336,10.890779495239258,19.75146484375,30.642244338989258,1.8061654567718506,291.4130849838257
7,2.0327540731276508,9.056931495666504,22.862825393676758,31.91975688934326,1.6602864265441895,323.33284187316895
8,2.25247098537644,8.774694442749023,19.883140563964844,28.657835006713867,1.5360608100891113,351.9906768798828
9,2.425223930136424,14.48981761932373,22.24066734313965,36.73048496246338,1.7747101783752441,388.7211618423462
10,2.639033994163128,15.243476867675781,18.399372100830078,33.64284896850586,1.7175612449645996,422.36401081085205
11,2.805944320506938,17.25027084350586,17.228130340576172,34.47840118408203,1.6315016746520996,456.8424119949341
12,3.026414148813895,15.343268394470215,17.451021194458008,32.79428958892822,1.5301330089569092,489.6367015838623
13,3.4163232246322783,16.1584415435791,16.612998962402344,32.771440505981445,1.5129247903823853,522.4081420898438
14,3.8487753711795074,16.562898635864258,15.114398002624512,31.67729663848877,1.5875957012176514,554.0854387283325
15,3.9483828012566953,19.678916931152344,16.504491806030273,36.18340873718262,1.6109651327133179,590.2688474655151
16,4.388579482139546,23.52399253845215,17.163808822631836,40.687801361083984,1.646653413772583,630.9566488265991
17,4.701109993209443,26.47768211364746,24.929218292236328,51.40690040588379,2.739931106567383,682.3635492324829
18,4.85097954033288,34.70085525512695,26.088150024414062,60.789005279541016,1.7068243026733398,743.1525545120239
19,5.240716826908473,36.090850830078125,22.69695472717285,58.78780555725098,1.7588036060333252,801.9403600692749
20,5.523434003068457,38.097530364990234,20.646169662475586,58.74370002746582,1.6910827159881592,860.6840600967407
21,5.923642277288479,43.657997131347656,28.374711990356445,72.0327091217041,1.6700780391693115,932.7167692184448
22,6.091446213551022,45.862918853759766,25.469423294067383,71.33234214782715,1.6375839710235596,1004.049111366272
23,6.40469497697431,55.03722381591797,36.35893249511719,91.39615631103516,1.595532774925232,1095.4452676773071
24,6.686514974893011,56.57693099975586,33.72893142700195,90.30586242675781,1.6027708053588867,1185.751130104065
25,7.086108987873973,66.42852020263672,40.93657684326172,107.36509704589844,1.5825246572494507,1293.1162271499634
26,6.668956788902808,79.82038116455078,40.21625518798828,120.03663635253906,1.5522488355636597,1413.1528635025024
27,7.19318619145039,83.42112731933594,48.03721237182617,131.4583396911621,1.532138466835022,1544.6112031936646
28,7.386306866448776,88.97480010986328,46.1389274597168,135.11372756958008,1.588159203529358,1679.7249307632446
29,7.97959656411913,99.13601684570312,54.866119384765625,154.00213623046875,1.6513073444366455,1833.7270669937134
30,8.317416286865196,100.26396942138672,43.77324295043945,144.03721237182617,1.7091622352600098,1977.7642793655396
31,8.974718632530374,102.58806610107422,59.212772369384766,161.80083847045898,1.8269450664520264,2139.5651178359985
32,9.473637413466484,101.54131317138672,58.04387664794922,159.58518981933594,1.743528127670288,2299.1503076553345
33,9.862595786205326,105.54452514648438,54.30867385864258,159.85319900512695,1.7657500505447388,2459.0035066604614
34,10.244399162469934,111.67914581298828,71.81827545166016,183.49742126464844,1.7843554019927979,2642.50092792511
35,10.704267240933463,119.9696273803711,55.723716735839844,175.69334411621094,1.7664883136749268,2818.194272041321
36,11.382512581408232,130.6938018798828,79.03407287597656,209.72787475585938,1.9226117134094238,3027.92214679718
37,11.720048367631348,149.57704162597656,92.80252838134766,242.37957000732422,2.058602809906006,3270.3017168045044
38,12.79103348322782,170.6302032470703,109.43161010742188,280.0618133544922,2.208091974258423,3550.3635301589966
39,14.00191009657564,188.22378540039062,139.7103271484375,327.9341125488281,2.3211398124694824,3878.2976427078247
40,16.77921404077107,212.65911865234375,131.09005737304688,343.7491760253906,2.36647367477417,4222.046818733215
41,25.300467185014345,193.87771606445312,102.43746948242188,296.315185546875,2.8970463275909424,4518.36200428009
