layer_idx,layer_name,mean_norm,k_value,spectral_norm_down_proj,k_spectral_ratio_down_proj,spectral_norm_up_proj,k_spectral_ratio_up_proj,spectral_norm_o_proj,k_spectral_ratio_o_proj
0,model.layers.0,80.61373901367188,1.3465580002498752,6.6291351318359375,0.20312725166562506,2.730313777923584,0.49318800320230544,3.94387149810791,0.3414304956172868
1,model.layers.1,77.7289047241211,1.2983702255663196,6.001868724822998,0.21632766144924473,1.8084914684295654,0.7179299699399642,3.118377923965454,0.4163607674323387
2,model.layers.2,85.44549560546875,1.4272668294587612,5.910317420959473,0.24148733947813258,2.0041983127593994,0.7121385246022318,3.723215341567993,0.38334254092799336
3,model.layers.3,83.98430633544922,1.4028593757728531,6.460756778717041,0.21713545700933026,2.1638388633728027,0.6483197060183117,2.9840590953826904,0.47011782640080174
4,model.layers.4,87.01651000976562,1.4535087832559292,6.493268966674805,0.2238485408067532,1.9589771032333374,0.7419733394825693,2.998469352722168,0.4847502549713765
5,model.layers.5,101.28164672851562,1.6917911679749076,6.228919982910156,0.2716026490333083,2.0028555393218994,0.8446895618581118,2.7889881134033203,0.606596765272859
6,model.layers.6,108.97589874267578,1.8203146272806336,4.734415531158447,0.3844856065760724,1.8061655759811401,1.007833750951547,2.848071336746216,0.6391394077088868
7,model.layers.7,121.69390869140624,2.0327540731276503,4.639533042907715,0.43813764323438703,1.6602866649627686,1.2243392156457718,3.0222229957580566,0.6726022785151166
8,model.layers.8,134.84759521484375,2.2524709853764397,4.768386363983154,0.4723759388270068,1.5360610485076904,1.466394182421821,2.6878774166107178,0.8380110534269437
9,model.layers.9,145.18971252441406,2.425223930136424,4.674431800842285,0.5188275352951824,1.7747091054916382,1.3665472964734562,3.374845504760742,0.7186177638991977
10,model.layers.10,157.98977661132812,2.6390339941631282,4.273800373077393,0.6174911703381376,1.7175610065460205,1.536500877759312,2.477281332015991,1.0652944258113406
11,model.layers.11,167.98211669921875,2.805944320506938,4.053578853607178,0.6922140710325639,1.6315020322799683,1.7198534019511622,2.646836280822754,1.0601125354208634
12,model.layers.12,181.18087768554688,3.026414148813895,3.6573474407196045,0.8274888284112352,1.5301328897476196,1.9778766727333548,2.5490055084228516,1.187292117970522
13,model.layers.13,204.52337646484372,3.4163232246322774,3.5549159049987793,0.961013794961614,1.5129245519638062,2.258092262563802,2.6940114498138428,1.268117559362395
14,model.layers.14,230.41278076171875,3.8487753711795074,3.2700114250183105,1.1769914140767739,1.5875954627990723,2.4242796489187324,2.5591952800750732,1.5039006210837513
15,model.layers.15,236.3759307861328,3.9483828012566953,2.9795877933502197,1.3251439712797224,1.6109663248062134,2.450940618967721,2.7094483375549316,1.4572644720806178
16,model.layers.16,262.7289733886719,4.388579482139546,2.8431615829467773,1.5435561272571183,1.6466530561447144,2.665151268971295,2.520028829574585,1.7414798714348032
17,model.layers.17,281.4390869140625,4.701109993209443,2.527327299118042,1.8601112704515887,2.739931106567383,1.7157767149477885,2.7808732986450195,1.6905157079612578
18,model.layers.18,290.4112548828125,4.85097954033288,2.954657554626465,1.6418077055112916,1.7068250179290771,2.842107122509058,3.4742653369903564,1.39626052411274
19,model.layers.19,313.74346923828125,5.240716826908473,2.8110222816467285,1.8643455304944798,1.7588040828704834,2.9797047197862314,2.742751359939575,1.9107517011764166
20,model.layers.20,330.66876220703125,5.523434003068457,2.6797807216644287,2.061151480945731,1.691083550453186,3.2662099998478826,3.540593147277832,1.5600306991824584
