2026-04-18 19:08:08,720 | INFO     | __main__ | Log file: results/logs/01_norm_profiling_all_20260418_190808.log
2026-04-18 19:08:11,622 | INFO     | __main__ | Starting norm profiling: models=['llama', 'qwen', 'mistral', 'gemma']  device=cuda  prompts=50  seed=42
2026-04-18 19:08:11,623 | INFO     | __main__ | ========================================================================
2026-04-18 19:08:11,623 | INFO     | __main__ | Processing model: llama
2026-04-18 19:08:11,624 | INFO     | __main__ | ========================================================================
2026-04-18 19:08:11,624 | INFO     | __main__ | Loading tokenizer: meta-llama/Llama-3.1-8B-Instruct
2026-04-18 19:08:13,124 | INFO     | __main__ | Loading model: meta-llama/Llama-3.1-8B-Instruct  →  cuda
2026-04-18 19:11:05,318 | INFO     | __main__ | Model loaded. Parameters: 8.0B  GPU mem: 14.96 GiB
2026-04-18 19:11:05,318 | INFO     | activation_baking.model_utils | Detected model info: arch=llama, layers=32, hidden=4096, instruct=True
2026-04-18 19:11:05,324 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-18 19:11:05,324 | INFO     | __main__ | Profiling 32 layers with 50 prompts for architecture 'llama' (hidden=4096).
2026-04-18 19:11:06,781 | INFO     | __main__ | CSV saved → results/norm_profiles/llama.csv
2026-04-18 19:11:06,782 | INFO     | __main__ | .pt checkpoint saved → results/norm_profiles/llama.pt
2026-04-18 19:11:06,783 | INFO     | __main__ | Summary JSON saved → results/norm_profiles/llama_summary.json
2026-04-18 19:11:06,783 | INFO     | __main__ | Finished llama in 175.2s | global μ_norm=15.9088 | global K=0.248575 | GPU=14.97 GiB
2026-04-18 19:11:07,040 | INFO     | __main__ | ========================================================================
2026-04-18 19:11:07,040 | INFO     | __main__ | Processing model: qwen
2026-04-18 19:11:07,040 | INFO     | __main__ | ========================================================================
2026-04-18 19:11:07,041 | INFO     | __main__ | Loading tokenizer: Qwen/Qwen2.5-7B-Instruct
2026-04-18 19:11:08,351 | INFO     | __main__ | Loading model: Qwen/Qwen2.5-7B-Instruct  →  cuda
2026-04-18 19:12:15,884 | INFO     | __main__ | Model loaded. Parameters: 7.6B  GPU mem: 14.68 GiB
2026-04-18 19:12:15,884 | INFO     | activation_baking.model_utils | Detected model info: arch=qwen2, layers=28, hidden=3584, instruct=True
2026-04-18 19:12:15,889 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-18 19:12:15,889 | INFO     | __main__ | Profiling 28 layers with 50 prompts for architecture 'qwen2' (hidden=3584).
2026-04-18 19:12:16,533 | INFO     | __main__ | CSV saved → results/norm_profiles/qwen.csv
2026-04-18 19:12:16,533 | INFO     | __main__ | .pt checkpoint saved → results/norm_profiles/qwen.pt
2026-04-18 19:12:16,535 | INFO     | __main__ | Summary JSON saved → results/norm_profiles/qwen_summary.json
2026-04-18 19:12:16,535 | INFO     | __main__ | Finished qwen in 69.5s | global μ_norm=113.0932 | global K=1.889090 | GPU=14.68 GiB
2026-04-18 19:12:16,790 | INFO     | __main__ | ========================================================================
2026-04-18 19:12:16,790 | INFO     | __main__ | Processing model: mistral
2026-04-18 19:12:16,790 | INFO     | __main__ | ========================================================================
