2026-04-21 07:00:41,525 | INFO     | __main__ | Log file: results/logs/02_contrastive_extraction_all_all_20260421_070041.log
2026-04-21 07:00:46,359 | INFO     | matplotlib.font_manager | generated new fontManager
2026-04-21 07:00:46,835 | INFO     | __main__ | Contrastive extraction: models=['llama', 'qwen', 'mistral', 'gemma']  behaviors=['sycophancy_suppression', 'refusal_calibration', 'verbosity_control', 'formality', 'uncertainty_expression']  n_components=5  device=cuda  seed=42
2026-04-21 07:00:46,835 | INFO     | __main__ | ========================================================================
2026-04-21 07:00:46,836 | INFO     | __main__ | MODEL: llama
2026-04-21 07:00:46,836 | INFO     | __main__ | ========================================================================
2026-04-21 07:00:46,836 | INFO     | __main__ | Loading tokenizer: meta-llama/Llama-3.1-8B-Instruct
2026-04-21 07:00:47,338 | INFO     | __main__ | Loading model: meta-llama/Llama-3.1-8B-Instruct  →  cuda
2026-04-21 07:00:52,922 | INFO     | __main__ | Model loaded. Params: 8.0B  GPU mem: 14.96 GiB
2026-04-21 07:00:52,923 | INFO     | activation_baking.model_utils | Detected model info: arch=llama, layers=32, hidden=4096, instruct=True
2026-04-21 07:00:52,923 | INFO     | __main__ | ------------------------------------------------------------
2026-04-21 07:00:52,923 | INFO     | __main__ | Model=llama  Behavior=sycophancy_suppression
2026-04-21 07:00:52,923 | INFO     | __main__ | ------------------------------------------------------------
2026-04-21 07:00:52,924 | INFO     | __main__ | Loaded 200 contrastive pairs for behavior 'sycophancy_suppression'.
2026-04-21 07:00:52,924 | INFO     | __main__ | Split: 160 train / 40 test  (seed=42).
2026-04-21 07:00:52,930 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-21 07:00:52,930 | INFO     | __main__ | Extracting contrastive diffs for 160 train pairs…
2026-04-21 07:00:52,930 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 160 pairs across 32 layers.
2026-04-21 07:01:00,665 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-21 07:01:00,665 | INFO     | __main__ | Explained variance ratios (top-5 components per layer):
2026-04-21 07:01:00,666 | INFO     | __main__ |   model.layers.0                  PC0=0.5190  PC1=0.0860  PC2=0.0629  PC3=0.0445  PC4=0.0332
2026-04-21 07:01:00,666 | INFO     | __main__ |   model.layers.1                  PC0=0.3109  PC1=0.1016  PC2=0.0658  PC3=0.0498  PC4=0.0306
2026-04-21 07:01:00,666 | INFO     | __main__ |   model.layers.2                  PC0=0.2894  PC1=0.1787  PC2=0.0681  PC3=0.0498  PC4=0.0434
2026-04-21 07:01:00,666 | INFO     | __main__ |   model.layers.3                  PC0=0.2064  PC1=0.1546  PC2=0.0493  PC3=0.0392  PC4=0.0323
2026-04-21 07:01:00,666 | INFO     | __main__ |   model.layers.4                  PC0=0.1534  PC1=0.1164  PC2=0.0518  PC3=0.0403  PC4=0.0348
2026-04-21 07:01:00,666 | INFO     | __main__ |   model.layers.5                  PC0=0.1679  PC1=0.1133  PC2=0.0494  PC3=0.0403  PC4=0.0332
2026-04-21 07:01:00,666 | INFO     | __main__ |   model.layers.6                  PC0=0.1269  PC1=0.0998  PC2=0.0534  PC3=0.0417  PC4=0.0342
2026-04-21 07:01:00,666 | INFO     | __main__ |   model.layers.7                  PC0=0.1079  PC1=0.0838  PC2=0.0570  PC3=0.0427  PC4=0.0319
2026-04-21 07:01:00,666 | INFO     | __main__ |   model.layers.8                  PC0=0.0985  PC1=0.0712  PC2=0.0538  PC3=0.0420  PC4=0.0285
2026-04-21 07:01:00,666 | INFO     | __main__ |   model.layers.9                  PC0=0.0951  PC1=0.0673  PC2=0.0498  PC3=0.0411  PC4=0.0278
2026-04-21 07:01:00,666 | INFO     | __main__ |   model.layers.10                 PC0=0.0947  PC1=0.0582  PC2=0.0519  PC3=0.0421  PC4=0.0285
2026-04-21 07:01:00,666 | INFO     | __main__ |   model.layers.11                 PC0=0.0961  PC1=0.0555  PC2=0.0518  PC3=0.0435  PC4=0.0286
2026-04-21 07:01:00,666 | INFO     | __main__ |   model.layers.12                 PC0=0.0946  PC1=0.0535  PC2=0.0502  PC3=0.0448  PC4=0.0289
2026-04-21 07:01:00,666 | INFO     | __main__ |   model.layers.13                 PC0=0.0941  PC1=0.0559  PC2=0.0484  PC3=0.0454  PC4=0.0276
2026-04-21 07:01:00,666 | INFO     | __main__ |   model.layers.14                 PC0=0.1000  PC1=0.0580  PC2=0.0497  PC3=0.0436  PC4=0.0299
2026-04-21 07:01:00,666 | INFO     | __main__ |   model.layers.15                 PC0=0.1133  PC1=0.0625  PC2=0.0517  PC3=0.0434  PC4=0.0333
