2026-04-19 04:34:14,752 | INFO     | __main__ | Log file: results/logs/02_contrastive_extraction_gemma_sycophancy_suppression_20260419_043414.log
2026-04-19 04:34:17,646 | INFO     | __main__ | Contrastive extraction: models=['gemma']  behaviors=['sycophancy_suppression']  n_components=5  device=cuda  seed=42
2026-04-19 04:34:17,647 | INFO     | __main__ | ========================================================================
2026-04-19 04:34:17,647 | INFO     | __main__ | MODEL: gemma
2026-04-19 04:34:17,647 | INFO     | __main__ | ========================================================================
2026-04-19 04:34:17,647 | INFO     | __main__ | Loading tokenizer: google/gemma-2-9b-it
2026-04-19 04:34:18,493 | INFO     | __main__ | Loading model: google/gemma-2-9b-it  →  cuda
2026-04-19 04:34:24,295 | INFO     | __main__ | Model loaded. Params: 9.2B  GPU mem: 17.21 GiB
2026-04-19 04:34:24,295 | INFO     | activation_baking.model_utils | Detected model info: arch=gemma2, layers=42, hidden=3584, instruct=True
2026-04-19 04:34:24,296 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:34:24,296 | INFO     | __main__ | Model=gemma  Behavior=sycophancy_suppression
2026-04-19 04:34:24,296 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:34:24,296 | INFO     | __main__ | Loaded 45 contrastive pairs for behavior 'sycophancy_suppression'.
2026-04-19 04:34:24,296 | INFO     | __main__ | Split: 36 train / 9 test  (seed=42).
2026-04-19 04:34:24,304 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:34:24,305 | INFO     | __main__ | Extracting contrastive diffs for 36 train pairs…
2026-04-19 04:34:24,305 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 42 layers.
2026-04-19 04:34:26,692 | INFO     | PCADirector | PCADirector.fit complete: 42 layers.
2026-04-19 04:34:26,693 | INFO     | __main__ | Explained variance ratios (top-5 components per layer):
2026-04-19 04:34:26,693 | INFO     | __main__ |   model.layers.0                  PC0=0.1424  PC1=0.0864  PC2=0.0647  PC3=0.0553  PC4=0.0513
2026-04-19 04:34:26,693 | INFO     | __main__ |   model.layers.1                  PC0=0.1019  PC1=0.0699  PC2=0.0637  PC3=0.0618  PC4=0.0592
2026-04-19 04:34:26,693 | INFO     | __main__ |   model.layers.2                  PC0=0.0945  PC1=0.0764  PC2=0.0618  PC3=0.0608  PC4=0.0565
2026-04-19 04:34:26,693 | INFO     | __main__ |   model.layers.3                  PC0=0.0984  PC1=0.0761  PC2=0.0601  PC3=0.0594  PC4=0.0572
2026-04-19 04:34:26,693 | INFO     | __main__ |   model.layers.4                  PC0=0.1101  PC1=0.0741  PC2=0.0606  PC3=0.0585  PC4=0.0540
2026-04-19 04:34:26,693 | INFO     | __main__ |   model.layers.5                  PC0=0.1117  PC1=0.0715  PC2=0.0603  PC3=0.0576  PC4=0.0566
2026-04-19 04:34:26,693 | INFO     | __main__ |   model.layers.6                  PC0=0.0997  PC1=0.0703  PC2=0.0619  PC3=0.0574  PC4=0.0547
2026-04-19 04:34:26,693 | INFO     | __main__ |   model.layers.7                  PC0=0.1069  PC1=0.0704  PC2=0.0628  PC3=0.0557  PC4=0.0535
2026-04-19 04:34:26,693 | INFO     | __main__ |   model.layers.8                  PC0=0.1074  PC1=0.0756  PC2=0.0631  PC3=0.0538  PC4=0.0514
2026-04-19 04:34:26,693 | INFO     | __main__ |   model.layers.9                  PC0=0.1061  PC1=0.0748  PC2=0.0585  PC3=0.0516  PC4=0.0496
2026-04-19 04:34:26,693 | INFO     | __main__ |   model.layers.10                 PC0=0.1057  PC1=0.0717  PC2=0.0548  PC3=0.0517  PC4=0.0488
2026-04-19 04:34:26,693 | INFO     | __main__ |   model.layers.11                 PC0=0.1054  PC1=0.0728  PC2=0.0570  PC3=0.0511  PC4=0.0457
2026-04-19 04:34:26,694 | INFO     | __main__ |   model.layers.12                 PC0=0.1000  PC1=0.0700  PC2=0.0566  PC3=0.0505  PC4=0.0470
