2026-04-19 04:27:49,450 | INFO     | __main__ | Log file: results/logs/02_contrastive_extraction_llama_verbosity_control_20260419_042749.log
2026-04-19 04:27:52,341 | INFO     | __main__ | Contrastive extraction: models=['llama']  behaviors=['verbosity_control']  n_components=5  device=cuda  seed=42
2026-04-19 04:27:52,342 | INFO     | __main__ | ========================================================================
2026-04-19 04:27:52,342 | INFO     | __main__ | MODEL: llama
2026-04-19 04:27:52,342 | INFO     | __main__ | ========================================================================
2026-04-19 04:27:52,342 | INFO     | __main__ | Loading tokenizer: meta-llama/Llama-3.1-8B-Instruct
2026-04-19 04:27:52,860 | INFO     | __main__ | Loading model: meta-llama/Llama-3.1-8B-Instruct  →  cuda
2026-04-19 04:27:58,252 | INFO     | __main__ | Model loaded. Params: 8.0B  GPU mem: 14.96 GiB
2026-04-19 04:27:58,252 | INFO     | activation_baking.model_utils | Detected model info: arch=llama, layers=32, hidden=4096, instruct=True
2026-04-19 04:27:58,252 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:27:58,252 | INFO     | __main__ | Model=llama  Behavior=verbosity_control
2026-04-19 04:27:58,252 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:27:58,253 | INFO     | __main__ | Loaded 45 contrastive pairs for behavior 'verbosity_control'.
2026-04-19 04:27:58,253 | INFO     | __main__ | Split: 36 train / 9 test  (seed=42).
2026-04-19 04:27:58,258 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:27:58,258 | INFO     | __main__ | Extracting contrastive diffs for 36 train pairs…
2026-04-19 04:27:58,259 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 32 layers.
2026-04-19 04:28:00,825 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-19 04:28:00,825 | INFO     | __main__ | Explained variance ratios (top-5 components per layer):
2026-04-19 04:28:00,825 | INFO     | __main__ |   model.layers.0                  PC0=0.7394  PC1=0.0585  PC2=0.0391  PC3=0.0275  PC4=0.0217
2026-04-19 04:28:00,825 | INFO     | __main__ |   model.layers.1                  PC0=0.3666  PC1=0.1093  PC2=0.0745  PC3=0.0700  PC4=0.0435
2026-04-19 04:28:00,826 | INFO     | __main__ |   model.layers.2                  PC0=0.3696  PC1=0.1211  PC2=0.0751  PC3=0.0592  PC4=0.0503
2026-04-19 04:28:00,826 | INFO     | __main__ |   model.layers.3                  PC0=0.2591  PC1=0.1800  PC2=0.0763  PC3=0.0663  PC4=0.0425
2026-04-19 04:28:00,826 | INFO     | __main__ |   model.layers.4                  PC0=0.2481  PC1=0.1708  PC2=0.0763  PC3=0.0622  PC4=0.0488
2026-04-19 04:28:00,826 | INFO     | __main__ |   model.layers.5                  PC0=0.2652  PC1=0.1692  PC2=0.0764  PC3=0.0604  PC4=0.0497
2026-04-19 04:28:00,826 | INFO     | __main__ |   model.layers.6                  PC0=0.2578  PC1=0.1618  PC2=0.0749  PC3=0.0552  PC4=0.0511
2026-04-19 04:28:00,826 | INFO     | __main__ |   model.layers.7                  PC0=0.2885  PC1=0.1386  PC2=0.0736  PC3=0.0534  PC4=0.0525
2026-04-19 04:28:00,826 | INFO     | __main__ |   model.layers.8                  PC0=0.2804  PC1=0.1299  PC2=0.0772  PC3=0.0516  PC4=0.0480
2026-04-19 04:28:00,826 | INFO     | __main__ |   model.layers.9                  PC0=0.2686  PC1=0.1271  PC2=0.0728  PC3=0.0574  PC4=0.0499
2026-04-19 04:28:00,826 | INFO     | __main__ |   model.layers.10                 PC0=0.2747  PC1=0.1327  PC2=0.0695  PC3=0.0570  PC4=0.0518
2026-04-19 04:28:00,826 | INFO     | __main__ |   model.layers.11                 PC0=0.2878  PC1=0.1334  PC2=0.0652  PC3=0.0574  PC4=0.0537
