2026-04-19 04:32:40,878 | INFO     | __main__ | Log file: results/logs/02_contrastive_extraction_mistral_verbosity_control_20260419_043240.log
2026-04-19 04:32:43,694 | INFO     | __main__ | Contrastive extraction: models=['mistral']  behaviors=['verbosity_control']  n_components=5  device=cuda  seed=42
2026-04-19 04:32:43,696 | INFO     | __main__ | ========================================================================
2026-04-19 04:32:43,696 | INFO     | __main__ | MODEL: mistral
2026-04-19 04:32:43,696 | INFO     | __main__ | ========================================================================
2026-04-19 04:32:43,696 | INFO     | __main__ | Loading tokenizer: mistralai/Mistral-7B-Instruct-v0.3
2026-04-19 04:32:44,513 | INFO     | __main__ | Loading model: mistralai/Mistral-7B-Instruct-v0.3  →  cuda
2026-04-19 04:32:49,334 | INFO     | __main__ | Model loaded. Params: 7.2B  GPU mem: 13.50 GiB
2026-04-19 04:32:49,334 | INFO     | activation_baking.model_utils | Detected model info: arch=mistral, layers=32, hidden=4096, instruct=True
2026-04-19 04:32:49,335 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:32:49,335 | INFO     | __main__ | Model=mistral  Behavior=verbosity_control
2026-04-19 04:32:49,335 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:32:49,335 | INFO     | __main__ | Loaded 45 contrastive pairs for behavior 'verbosity_control'.
2026-04-19 04:32:49,336 | INFO     | __main__ | Split: 36 train / 9 test  (seed=42).
2026-04-19 04:32:49,341 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:32:49,341 | INFO     | __main__ | Extracting contrastive diffs for 36 train pairs…
2026-04-19 04:32:49,341 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 32 layers.
2026-04-19 04:32:51,821 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-19 04:32:51,821 | INFO     | __main__ | Explained variance ratios (top-5 components per layer):
2026-04-19 04:32:51,821 | INFO     | __main__ |   model.layers.0                  PC0=0.9723  PC1=0.0048  PC2=0.0031  PC3=0.0025  PC4=0.0022
2026-04-19 04:32:51,821 | INFO     | __main__ |   model.layers.1                  PC0=0.9999  PC1=0.0000  PC2=0.0000  PC3=0.0000  PC4=0.0000
2026-04-19 04:32:51,821 | INFO     | __main__ |   model.layers.2                  PC0=0.9999  PC1=0.0000  PC2=0.0000  PC3=0.0000  PC4=0.0000
2026-04-19 04:32:51,821 | INFO     | __main__ |   model.layers.3                  PC0=0.9998  PC1=0.0000  PC2=0.0000  PC3=0.0000  PC4=0.0000
2026-04-19 04:32:51,821 | INFO     | __main__ |   model.layers.4                  PC0=0.9997  PC1=0.0001  PC2=0.0000  PC3=0.0000  PC4=0.0000
2026-04-19 04:32:51,821 | INFO     | __main__ |   model.layers.5                  PC0=0.9995  PC1=0.0001  PC2=0.0001  PC3=0.0000  PC4=0.0000
2026-04-19 04:32:51,821 | INFO     | __main__ |   model.layers.6                  PC0=0.9992  PC1=0.0001  PC2=0.0001  PC3=0.0001  PC4=0.0001
2026-04-19 04:32:51,821 | INFO     | __main__ |   model.layers.7                  PC0=0.9990  PC1=0.0002  PC2=0.0001  PC3=0.0001  PC4=0.0001
2026-04-19 04:32:51,821 | INFO     | __main__ |   model.layers.8                  PC0=0.9986  PC1=0.0002  PC2=0.0002  PC3=0.0001  PC4=0.0001
2026-04-19 04:32:51,822 | INFO     | __main__ |   model.layers.9                  PC0=0.9982  PC1=0.0002  PC2=0.0002  PC3=0.0002  PC4=0.0001
2026-04-19 04:32:51,822 | INFO     | __main__ |   model.layers.10                 PC0=0.9978  PC1=0.0003  PC2=0.0003  PC3=0.0002  PC4=0.0002
2026-04-19 04:32:51,822 | INFO     | __main__ |   model.layers.11                 PC0=0.9973  PC1=0.0004  PC2=0.0003  PC3=0.0002  PC4=0.0002
2026-04-19 04:32:51,822 | INFO     | __main__ |   model.layers.12                 PC0=0.9968  PC1=0.0005  PC2=0.0003  PC3=0.0003  PC4=0.0003
2026-04-19 04:32:51,822 | INFO     | __main__ |   model.layers.13                 PC0=0.9960  PC1=0.0006  PC2=0.0004  PC3=0.0004  PC4=0.0003
2026-04-19 04:32:51,822 | INFO     | __main__ |   model.layers.14                 PC0=0.9950  PC1=0.0007  PC2=0.0006  PC3=0.0005  PC4=0.0004
2026-04-19 04:32:51,822 | INFO     | __main__ |   model.layers.15                 PC0=0.9934  PC1=0.0009  PC2=0.0008  PC3=0.0006  PC4=0.0006
2026-04-19 04:32:51,822 | INFO     | __main__ |   model.layers.16                 PC0=0.9909  PC1=0.0013  PC2=0.0011  PC3=0.0009  PC4=0.0008
2026-04-19 04:32:51,822 | INFO     | __main__ |   model.layers.17                 PC0=0.9870  PC1=0.0020  PC2=0.0015  PC3=0.0013  PC4=0.0010
