2026-04-19 04:30:42,660 | INFO     | __main__ | Log file: results/logs/02_contrastive_extraction_qwen_formality_20260419_043042.log
2026-04-19 04:30:45,492 | INFO     | __main__ | Contrastive extraction: models=['qwen']  behaviors=['formality']  n_components=5  device=cuda  seed=42
2026-04-19 04:30:45,493 | INFO     | __main__ | ========================================================================
2026-04-19 04:30:45,493 | INFO     | __main__ | MODEL: qwen
2026-04-19 04:30:45,494 | INFO     | __main__ | ========================================================================
2026-04-19 04:30:45,494 | INFO     | __main__ | Loading tokenizer: Qwen/Qwen2.5-7B-Instruct
2026-04-19 04:30:45,922 | INFO     | __main__ | Loading model: Qwen/Qwen2.5-7B-Instruct  →  cuda
2026-04-19 04:30:51,173 | INFO     | __main__ | Model loaded. Params: 7.6B  GPU mem: 14.67 GiB
2026-04-19 04:30:51,174 | INFO     | activation_baking.model_utils | Detected model info: arch=qwen2, layers=28, hidden=3584, instruct=True
2026-04-19 04:30:51,174 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:30:51,174 | INFO     | __main__ | Model=qwen  Behavior=formality
2026-04-19 04:30:51,174 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:30:51,175 | INFO     | __main__ | Loaded 45 contrastive pairs for behavior 'formality'.
2026-04-19 04:30:51,175 | INFO     | __main__ | Split: 36 train / 9 test  (seed=42).
2026-04-19 04:30:51,180 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:30:51,180 | INFO     | __main__ | Extracting contrastive diffs for 36 train pairs…
2026-04-19 04:30:51,181 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 28 layers.
2026-04-19 04:30:53,607 | INFO     | PCADirector | PCADirector.fit complete: 28 layers.
2026-04-19 04:30:53,607 | INFO     | __main__ | Explained variance ratios (top-5 components per layer):
2026-04-19 04:30:53,607 | INFO     | __main__ |   model.layers.0                  PC0=0.0811  PC1=0.0710  PC2=0.0579  PC3=0.0567  PC4=0.0454
2026-04-19 04:30:53,608 | INFO     | __main__ |   model.layers.1                  PC0=0.0846  PC1=0.0715  PC2=0.0587  PC3=0.0513  PC4=0.0490
2026-04-19 04:30:53,608 | INFO     | __main__ |   model.layers.2                  PC0=0.1519  PC1=0.0541  PC2=0.0492  PC3=0.0458  PC4=0.0418
2026-04-19 04:30:53,608 | INFO     | __main__ |   model.layers.3                  PC0=0.1189  PC1=0.0614  PC2=0.0523  PC3=0.0438  PC4=0.0414
2026-04-19 04:30:53,608 | INFO     | __main__ |   model.layers.4                  PC0=0.1078  PC1=0.0560  PC2=0.0508  PC3=0.0458  PC4=0.0427
2026-04-19 04:30:53,608 | INFO     | __main__ |   model.layers.5                  PC0=0.1199  PC1=0.0602  PC2=0.0513  PC3=0.0445  PC4=0.0434
2026-04-19 04:30:53,608 | INFO     | __main__ |   model.layers.6                  PC0=0.1272  PC1=0.0598  PC2=0.0485  PC3=0.0462  PC4=0.0410
2026-04-19 04:30:53,608 | INFO     | __main__ |   model.layers.7                  PC0=0.1249  PC1=0.0547  PC2=0.0482  PC3=0.0441  PC4=0.0408
2026-04-19 04:30:53,608 | INFO     | __main__ |   model.layers.8                  PC0=0.1174  PC1=0.0536  PC2=0.0525  PC3=0.0431  PC4=0.0405
2026-04-19 04:30:53,608 | INFO     | __main__ |   model.layers.9                  PC0=0.1277  PC1=0.0533  PC2=0.0489  PC3=0.0425  PC4=0.0396
2026-04-19 04:30:53,608 | INFO     | __main__ |   model.layers.10                 PC0=0.1225  PC1=0.0549  PC2=0.0483  PC3=0.0472  PC4=0.0406
2026-04-19 04:30:53,608 | INFO     | __main__ |   model.layers.11                 PC0=0.1286  PC1=0.0551  PC2=0.0472  PC3=0.0465  PC4=0.0400
2026-04-19 04:30:53,608 | INFO     | __main__ |   model.layers.12                 PC0=0.1226  PC1=0.0554  PC2=0.0476  PC3=0.0442  PC4=0.0406
2026-04-19 04:30:53,608 | INFO     | __main__ |   model.layers.13                 PC0=0.1169  PC1=0.0558  PC2=0.0464  PC3=0.0458  PC4=0.0430
2026-04-19 04:30:53,608 | INFO     | __main__ |   model.layers.14                 PC0=0.1183  PC1=0.0579  PC2=0.0466  PC3=0.0455  PC4=0.0425
