2026-04-19 04:30:15,346 | INFO     | __main__ | Log file: results/logs/02_contrastive_extraction_qwen_verbosity_control_20260419_043015.log
2026-04-19 04:30:18,221 | INFO     | __main__ | Contrastive extraction: models=['qwen']  behaviors=['verbosity_control']  n_components=5  device=cuda  seed=42
2026-04-19 04:30:18,222 | INFO     | __main__ | ========================================================================
2026-04-19 04:30:18,222 | INFO     | __main__ | MODEL: qwen
2026-04-19 04:30:18,222 | INFO     | __main__ | ========================================================================
2026-04-19 04:30:18,222 | INFO     | __main__ | Loading tokenizer: Qwen/Qwen2.5-7B-Instruct
2026-04-19 04:30:18,629 | INFO     | __main__ | Loading model: Qwen/Qwen2.5-7B-Instruct  →  cuda
2026-04-19 04:30:23,821 | INFO     | __main__ | Model loaded. Params: 7.6B  GPU mem: 14.67 GiB
2026-04-19 04:30:23,821 | INFO     | activation_baking.model_utils | Detected model info: arch=qwen2, layers=28, hidden=3584, instruct=True
2026-04-19 04:30:23,822 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:30:23,822 | INFO     | __main__ | Model=qwen  Behavior=verbosity_control
2026-04-19 04:30:23,822 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:30:23,822 | INFO     | __main__ | Loaded 45 contrastive pairs for behavior 'verbosity_control'.
2026-04-19 04:30:23,823 | INFO     | __main__ | Split: 36 train / 9 test  (seed=42).
2026-04-19 04:30:23,828 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:30:23,828 | INFO     | __main__ | Extracting contrastive diffs for 36 train pairs…
2026-04-19 04:30:23,829 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 28 layers.
2026-04-19 04:30:26,578 | INFO     | PCADirector | PCADirector.fit complete: 28 layers.
2026-04-19 04:30:26,579 | INFO     | __main__ | Explained variance ratios (top-5 components per layer):
2026-04-19 04:30:26,579 | INFO     | __main__ |   model.layers.0                  PC0=0.6415  PC1=0.0822  PC2=0.0441  PC3=0.0275  PC4=0.0185
2026-04-19 04:30:26,579 | INFO     | __main__ |   model.layers.1                  PC0=0.5175  PC1=0.1060  PC2=0.0518  PC3=0.0449  PC4=0.0390
2026-04-19 04:30:26,579 | INFO     | __main__ |   model.layers.2                  PC0=0.4495  PC1=0.1068  PC2=0.0600  PC3=0.0498  PC4=0.0427
2026-04-19 04:30:26,579 | INFO     | __main__ |   model.layers.3                  PC0=0.3574  PC1=0.1393  PC2=0.0816  PC3=0.0714  PC4=0.0475
2026-04-19 04:30:26,579 | INFO     | __main__ |   model.layers.4                  PC0=0.3005  PC1=0.1861  PC2=0.0796  PC3=0.0710  PC4=0.0447
2026-04-19 04:30:26,579 | INFO     | __main__ |   model.layers.5                  PC0=0.3002  PC1=0.1921  PC2=0.0724  PC3=0.0667  PC4=0.0445
2026-04-19 04:30:26,579 | INFO     | __main__ |   model.layers.6                  PC0=0.2686  PC1=0.1895  PC2=0.0847  PC3=0.0701  PC4=0.0463
2026-04-19 04:30:26,579 | INFO     | __main__ |   model.layers.7                  PC0=0.2475  PC1=0.2203  PC2=0.0728  PC3=0.0655  PC4=0.0459
2026-04-19 04:30:26,579 | INFO     | __main__ |   model.layers.8                  PC0=0.2568  PC1=0.2002  PC2=0.0747  PC3=0.0627  PC4=0.0451
2026-04-19 04:30:26,579 | INFO     | __main__ |   model.layers.9                  PC0=0.2785  PC1=0.1842  PC2=0.0706  PC3=0.0594  PC4=0.0441
2026-04-19 04:30:26,580 | INFO     | __main__ |   model.layers.10                 PC0=0.2827  PC1=0.1898  PC2=0.0703  PC3=0.0573  PC4=0.0455
2026-04-19 04:30:26,580 | INFO     | __main__ |   model.layers.11                 PC0=0.2750  PC1=0.1789  PC2=0.0706  PC3=0.0603  PC4=0.0460
2026-04-19 04:30:26,580 | INFO     | __main__ |   model.layers.12                 PC0=0.2851  PC1=0.1738  PC2=0.0718  PC3=0.0600  PC4=0.0455
2026-04-19 04:30:26,580 | INFO     | __main__ |   model.layers.13                 PC0=0.2943  PC1=0.1665  PC2=0.0728  PC3=0.0570  PC4=0.0455
2026-04-19 04:30:26,580 | INFO     | __main__ |   model.layers.14                 PC0=0.2865  PC1=0.1775  PC2=0.0733  PC3=0.0588  PC4=0.0436
2026-04-19 04:30:26,580 | INFO     | __main__ |   model.layers.15                 PC0=0.2908  PC1=0.1803  PC2=0.0728  PC3=0.0585  PC4=0.0446
