2026-04-19 04:26:37,599 | INFO     | __main__ | Log file: results/logs/04_permutation_invariance_all_all_20260419_042637.log
2026-04-19 04:26:40,522 | INFO     | __main__ | Permutation invariance experiment: models=['llama', 'qwen', 'mistral', 'gemma']  behaviors=['sycophancy_suppression', 'refusal_calibration', 'verbosity_control', 'formality', 'uncertainty_expression']  n_permutations=5  permute_fraction=0.50  n_components=5  device=cuda  seed=42
2026-04-19 04:26:40,522 | INFO     | __main__ | Invariance claim threshold: mean cosine sim > 0.85
2026-04-19 04:26:40,524 | INFO     | __main__ | ========================================================================
2026-04-19 04:26:40,524 | INFO     | __main__ | MODEL: llama
2026-04-19 04:26:40,524 | INFO     | __main__ | ========================================================================
2026-04-19 04:26:40,524 | INFO     | __main__ | Loading model: meta-llama/Llama-3.1-8B-Instruct  →  cuda
2026-04-19 04:26:46,173 | INFO     | activation_baking.model_utils | Detected model info: arch=llama, layers=32, hidden=4096, instruct=True
2026-04-19 04:26:46,175 | INFO     | __main__ | Model loaded. Params=8.0B  Layers=32  Hidden=4096  GPU=14.96 GiB
2026-04-19 04:26:46,176 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:26:46,176 | INFO     | __main__ | Model=llama  Behavior=sycophancy_suppression
2026-04-19 04:26:46,176 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:26:46,176 | WARNING  | __main__ | directions.pt not found at results/pca_directions/llama/sycophancy_suppression/directions.pt.  Running 02_contrastive_extraction.py…
2026-04-19 04:26:46,176 | INFO     | __main__ | Subprocess: /usr/bin/python experiments/02_contrastive_extraction.py --model llama --behavior sycophancy_suppression --n-components 5 --device cuda --output-dir results/pca_directions --seed 42
2026-04-19 04:27:01,279 | INFO     | __main__ | Using saved train split (36 pairs) from results/pca_directions/llama/sycophancy_suppression/split_indices.json.
2026-04-19 04:27:01,279 | INFO     | __main__ | Using 36 training pairs for permutation invariance test.
2026-04-19 04:27:01,280 | INFO     | __main__ | Permutation seed=42000: permuting 16/32 layers: [1, 3, 5, 6, 8, 9, 11, 14, 16, 18, 25, 27, 28, 29, 30, 31]
2026-04-19 04:27:01,280 | INFO     | activation_baking.model_utils | Creating deep copy of model for permutation experiment (seed=42000, layers=[1, 3, 5, 6, 8, 9, 11, 14, 16, 18, 25, 27, 28, 29, 30, 31]).
2026-04-19 04:27:01,618 | INFO     | activation_baking.model_utils | Permutation complete for 16 layers.
2026-04-19 04:27:01,628 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:27:01,629 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 32 layers.
2026-04-19 04:27:07,144 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-19 04:27:07,149 | INFO     | __main__ |   Permutation seed=42000: mean_cosine_sim=0.0695  n_layers_permuted=16
2026-04-19 04:27:07,374 | INFO     | __main__ | Permutation seed=42001: permuting 16/32 layers: [0, 1, 4, 5, 6, 9, 11, 14, 15, 19, 21, 22, 24, 26, 27, 29]
2026-04-19 04:27:07,374 | INFO     | activation_baking.model_utils | Creating deep copy of model for permutation experiment (seed=42001, layers=[0, 1, 4, 5, 6, 9, 11, 14, 15, 19, 21, 22, 24, 26, 27, 29]).
