layer_idx,layer_name,mean_norm,std_norm,k_value,hidden_size,architecture
0,model.layers.0,0.7054236531257629,0.0646686926484108,0.011022244580090046,4096,llama
1,model.layers.1,1.1633963584899902,0.09473586827516556,0.018178068101406097,4096,llama
2,model.layers.2,1.740769624710083,0.11366921663284302,0.027199525386095047,4096,llama
3,model.layers.3,2.5459694862365723,0.15210357308387756,0.03978077322244644,4096,llama
4,model.layers.4,3.757784843444824,0.2515536844730377,0.05871538817882538,4096,llama
5,model.layers.5,4.274758815765381,0.23920521140098572,0.06679310649633408,4096,llama
6,model.layers.6,5.066393852233887,0.26652592420578003,0.07916240394115448,4096,llama
7,model.layers.7,6.073735237121582,0.512941837310791,0.09490211308002472,4096,llama
8,model.layers.8,6.751473426818848,0.49188166856765747,0.1054917722940445,4096,llama
9,model.layers.9,7.198256015777588,0.4908968508243561,0.11247275024652481,4096,llama
10,model.layers.10,7.612452507019043,0.44434574246406555,0.11894457042217255,4096,llama
11,model.layers.11,7.413026809692383,0.4440472722053528,0.11582854390144348,4096,llama
12,model.layers.12,8.959733963012695,0.6587387919425964,0.13999584317207336,4096,llama
13,model.layers.13,9.304574012756348,0.5235024690628052,0.14538396894931793,4096,llama
14,model.layers.14,9.77200984954834,0.5413593649864197,0.1526876538991928,4096,llama
15,model.layers.15,10.513797760009766,0.6172117590904236,0.1642780900001526,4096,llama
16,model.layers.16,12.067127227783203,0.5403961539268494,0.18854886293411255,4096,llama
17,model.layers.17,13.024356842041016,0.5185753107070923,0.20350557565689087,4096,llama
18,model.layers.18,14.200011253356934,0.5834987759590149,0.2218751758337021,4096,llama
19,model.layers.19,15.311661720275879,0.5698727369308472,0.2392447143793106,4096,llama
20,model.layers.20,16.4156551361084,0.6239765882492065,0.2564946115016937,4096,llama
21,model.layers.21,18.12415313720703,0.6816558241844177,0.28318989276885986,4096,llama
22,model.layers.22,20.24207305908203,0.8295901417732239,0.31628239154815674,4096,llama
23,model.layers.23,22.00714874267578,1.0634218454360962,0.3438616991043091,4096,llama
24,model.layers.24,23.812114715576172,1.1879284381866455,0.3720642924308777,4096,llama
25,model.layers.25,25.798723220825195,1.3753310441970825,0.4031050503253937,4096,llama
26,model.layers.26,28.583276748657227,1.6812114715576172,0.44661369919776917,4096,llama
27,model.layers.27,31.057727813720703,1.5454994440078735,0.485276997089386,4096,llama
28,model.layers.28,34.466121673583984,1.805987000465393,0.5385331511497498,4096,llama
29,model.layers.29,39.009761810302734,2.151815414428711,0.6095275282859802,4096,llama
30,model.layers.30,42.699745178222656,2.8442766666412354,0.667183518409729,4096,llama
31,model.layers.31,59.407588958740234,6.682565212249756,0.9282435774803162,4096,llama
0,model.layers.0,11.322012901306152,0.9024887681007385,0.18912095180947333,3584,qwen2
1,model.layers.1,20.625438690185547,1.3395075798034668,0.34452377245797233,3584,qwen2
2,model.layers.2,21.858591079711914,1.1454980373382568,0.36512213740122795,3584,qwen2
3,model.layers.3,20.801069259643555,1.4929680824279785,0.34745747521491815,3584,qwen2
4,model.layers.4,28.000211715698242,1.6684422492980957,0.4677107098092705,3584,qwen2
5,model.layers.5,30.132648468017578,1.5388296842575073,0.5033305657295556,3584,qwen2
6,model.layers.6,34.30197525024414,1.8794221878051758,0.5729742815893434,3584,qwen2
7,model.layers.7,39.9382209777832,2.5506157875061035,0.6671211586434487,3584,qwen2
8,model.layers.8,48.546749114990234,2.989171266555786,0.8109165287051987,3584,qwen2
9,model.layers.9,48.83290481567383,2.8678500652313232,0.8156964242017624,3584,qwen2
10,model.layers.10,54.304656982421875,3.274998664855957,0.9070956291718925,3584,qwen2
11,model.layers.11,59.49272537231445,4.200220108032227,0.9937562292349725,3584,qwen2
12,model.layers.12,59.979854583740234,4.130796909332275,1.0018931516110647,3584,qwen2
13,model.layers.13,68.20433807373047,5.11198091506958,1.1392735060875034,3584,qwen2
14,model.layers.14,67.34754943847656,4.483370304107666,1.124961856417853,3584,qwen2
15,model.layers.15,76.9521255493164,5.245822906494141,1.285395040131944,3584,qwen2
16,model.layers.16,71.80184936523438,5.235799312591553,1.199365714560085,3584,qwen2
17,model.layers.17,75.83551788330078,5.148477554321289,1.2667434181601773,3584,qwen2
18,model.layers.18,87.52674102783203,6.800933837890625,1.4620315942278461,3584,qwen2
19,model.layers.19,101.73593139648438,7.420202732086182,1.6993794607588515,3584,qwen2
20,model.layers.20,120.11628723144531,7.932914733886719,2.006401756211597,3584,qwen2
21,model.layers.21,146.1277313232422,6.826956748962402,2.440892434455924,3584,qwen2
22,model.layers.22,182.92160034179688,8.641104698181152,3.0554908799972993,3584,qwen2
23,model.layers.23,223.20166015625,10.625680923461914,3.728322055642142,3584,qwen2
24,model.layers.24,275.7525329589844,13.59967041015625,4.606122776194681,3584,qwen2
25,model.layers.25,333.80694580078125,18.382732391357422,5.575853680856883,3584,qwen2
26,model.layers.26,409.7917175292969,24.62769317626953,6.845090209519081,3584,qwen2
27,model.layers.27,447.3507385253906,53.282901763916016,7.472469621796009,3584,qwen2
0,model.layers.0,80.61373901367188,18.743610382080078,1.3465580002498752,3584,gemma2
1,model.layers.1,77.7289047241211,22.78820037841797,1.2983702255663196,3584,gemma2
2,model.layers.2,85.44549560546875,23.669147491455078,1.4272668294587612,3584,gemma2
3,model.layers.3,83.98430633544922,25.823333740234375,1.4028593757728531,3584,gemma2
4,model.layers.4,87.01651000976562,23.3262882232666,1.4535087832559292,3584,gemma2
5,model.layers.5,101.28164672851562,26.808853149414062,1.6917911679749076,3584,gemma2
6,model.layers.6,108.97589874267578,27.838624954223633,1.8203146272806336,3584,gemma2
7,model.layers.7,121.69390869140625,30.298648834228516,2.0327540731276508,3584,gemma2
8,model.layers.8,134.84759521484375,31.159635543823242,2.2524709853764397,3584,gemma2
9,model.layers.9,145.18971252441406,31.757129669189453,2.425223930136424,3584,gemma2
10,model.layers.10,157.98977661132812,33.45624923706055,2.6390339941631282,3584,gemma2
11,model.layers.11,167.98211669921875,34.80516815185547,2.805944320506938,3584,gemma2
12,model.layers.12,181.18087768554688,34.032318115234375,3.026414148813895,3584,gemma2
13,model.layers.13,204.52337646484375,35.752384185791016,3.4163232246322783,3584,gemma2
14,model.layers.14,230.41278076171875,40.04441833496094,3.8487753711795074,3584,gemma2
15,model.layers.15,236.3759307861328,37.11490249633789,3.9483828012566953,3584,gemma2
16,model.layers.16,262.7289733886719,38.567779541015625,4.388579482139546,3584,gemma2
17,model.layers.17,281.4390869140625,33.9084587097168,4.701109993209443,3584,gemma2
18,model.layers.18,290.4112548828125,35.9158935546875,4.85097954033288,3584,gemma2
19,model.layers.19,313.74346923828125,39.60190963745117,5.240716826908473,3584,gemma2
20,model.layers.20,330.66876220703125,41.4137077331543,5.523434003068457,3584,gemma2
21,model.layers.21,354.6278381347656,45.49375915527344,5.923642277288479,3584,gemma2
22,model.layers.22,364.6736755371094,44.52965545654297,6.091446213551022,3584,gemma2
23,model.layers.23,383.4267883300781,44.01948547363281,6.40469497697431,3584,gemma2
24,model.layers.24,400.2983703613281,44.51457977294922,6.686514974893011,3584,gemma2
25,model.layers.25,424.2206726074219,49.795814514160156,7.086108987873973,3584,gemma2
26,model.layers.26,399.2472229003906,36.456939697265625,6.668956788902808,3584,gemma2
27,model.layers.27,430.6310119628906,53.104591369628906,7.19318619145039,3584,gemma2
