layer_idx,layer_name,mean_norm,std_norm,k_value,hidden_size,architecture
0,model.layers.0,80.61373901367188,18.743610382080078,1.3465580002498752,3584,gemma2
1,model.layers.1,77.7289047241211,22.78820037841797,1.2983702255663196,3584,gemma2
2,model.layers.2,85.44549560546875,23.669147491455078,1.4272668294587612,3584,gemma2
3,model.layers.3,83.98430633544922,25.823333740234375,1.4028593757728531,3584,gemma2
4,model.layers.4,87.01651000976562,23.3262882232666,1.4535087832559292,3584,gemma2
5,model.layers.5,101.28164672851562,26.808853149414062,1.6917911679749076,3584,gemma2
6,model.layers.6,108.97589874267578,27.838624954223633,1.8203146272806336,3584,gemma2
7,model.layers.7,121.69390869140625,30.298648834228516,2.0327540731276508,3584,gemma2
8,model.layers.8,134.84759521484375,31.159635543823242,2.2524709853764397,3584,gemma2
9,model.layers.9,145.18971252441406,31.757129669189453,2.425223930136424,3584,gemma2
10,model.layers.10,157.98977661132812,33.45624923706055,2.6390339941631282,3584,gemma2
11,model.layers.11,167.98211669921875,34.80516815185547,2.805944320506938,3584,gemma2
12,model.layers.12,181.18087768554688,34.032318115234375,3.026414148813895,3584,gemma2
13,model.layers.13,204.52337646484375,35.752384185791016,3.4163232246322783,3584,gemma2
14,model.layers.14,230.41278076171875,40.04441833496094,3.8487753711795074,3584,gemma2
15,model.layers.15,236.3759307861328,37.11490249633789,3.9483828012566953,3584,gemma2
16,model.layers.16,262.7289733886719,38.567779541015625,4.388579482139546,3584,gemma2
17,model.layers.17,281.4390869140625,33.9084587097168,4.701109993209443,3584,gemma2
18,model.layers.18,290.4112548828125,35.9158935546875,4.85097954033288,3584,gemma2
19,model.layers.19,313.74346923828125,39.60190963745117,5.240716826908473,3584,gemma2
20,model.layers.20,330.66876220703125,41.4137077331543,5.523434003068457,3584,gemma2
21,model.layers.21,354.6278381347656,45.49375915527344,5.923642277288479,3584,gemma2
22,model.layers.22,364.6736755371094,44.52965545654297,6.091446213551022,3584,gemma2
23,model.layers.23,383.4267883300781,44.01948547363281,6.40469497697431,3584,gemma2
24,model.layers.24,400.2983703613281,44.51457977294922,6.686514974893011,3584,gemma2
25,model.layers.25,424.2206726074219,49.795814514160156,7.086108987873973,3584,gemma2
26,model.layers.26,399.2472229003906,36.456939697265625,6.668956788902808,3584,gemma2
27,model.layers.27,430.6310119628906,53.104591369628906,7.19318619145039,3584,gemma2
28,model.layers.28,442.1924743652344,53.803688049316406,7.386306866448776,3584,gemma2
29,model.layers.29,477.7106628417969,61.09532165527344,7.97959656411913,3584,gemma2
30,model.layers.30,497.93475341796875,60.90275573730469,8.317416286865196,3584,gemma2
31,model.layers.31,537.28515625,69.717529296875,8.974718632530374,3584,gemma2
32,model.layers.32,567.1536865234375,74.64391326904297,9.473637413466484,3584,gemma2
33,model.layers.33,590.4392700195312,81.02760314941406,9.862595786205326,3584,gemma2
34,model.layers.34,613.2965087890625,85.95752716064453,10.244399162469934,3584,gemma2
35,model.layers.35,640.8272094726562,73.90221405029297,10.704267240933465,3584,gemma2
36,model.layers.36,681.431396484375,84.80523681640625,11.382512581408232,3584,gemma2
37,model.layers.37,701.6384887695312,75.36093139648438,11.720048367631348,3584,gemma2
38,model.layers.38,765.754638671875,74.52230072021484,12.79103348322782,3584,gemma2
39,model.layers.39,838.24560546875,87.70327758789062,14.00191009657564,3584,gemma2
40,model.layers.40,1004.5131225585938,109.94486999511719,16.77921404077107,3584,gemma2
41,model.layers.41,1514.65087890625,181.6571044921875,25.300467185014345,3584,gemma2
