layer_idx,layer_name,mean_norm,std_norm,k_value,hidden_size,architecture
0,model.layers.0,0.7054236531257629,0.0646686926484108,0.011022244580090046,4096,llama
1,model.layers.1,1.1633963584899902,0.09473586827516556,0.018178068101406097,4096,llama
2,model.layers.2,1.740769624710083,0.11366921663284302,0.027199525386095047,4096,llama
3,model.layers.3,2.5459694862365723,0.15210357308387756,0.03978077322244644,4096,llama
4,model.layers.4,3.757784843444824,0.2515536844730377,0.05871538817882538,4096,llama
5,model.layers.5,4.274758815765381,0.23920521140098572,0.06679310649633408,4096,llama
6,model.layers.6,5.066393852233887,0.26652592420578003,0.07916240394115448,4096,llama
7,model.layers.7,6.073735237121582,0.512941837310791,0.09490211308002472,4096,llama
8,model.layers.8,6.751473426818848,0.49188166856765747,0.1054917722940445,4096,llama
9,model.layers.9,7.198256015777588,0.4908968508243561,0.11247275024652481,4096,llama
10,model.layers.10,7.612452507019043,0.44434574246406555,0.11894457042217255,4096,llama
11,model.layers.11,7.413026809692383,0.4440472722053528,0.11582854390144348,4096,llama
12,model.layers.12,8.959733963012695,0.6587387919425964,0.13999584317207336,4096,llama
13,model.layers.13,9.304574012756348,0.5235024690628052,0.14538396894931793,4096,llama
14,model.layers.14,9.77200984954834,0.5413593649864197,0.1526876538991928,4096,llama
15,model.layers.15,10.513797760009766,0.6172117590904236,0.1642780900001526,4096,llama
16,model.layers.16,12.067127227783203,0.5403961539268494,0.18854886293411255,4096,llama
17,model.layers.17,13.024356842041016,0.5185753107070923,0.20350557565689087,4096,llama
18,model.layers.18,14.200011253356934,0.5834987759590149,0.2218751758337021,4096,llama
19,model.layers.19,15.311661720275879,0.5698727369308472,0.2392447143793106,4096,llama
20,model.layers.20,16.4156551361084,0.6239765882492065,0.2564946115016937,4096,llama
21,model.layers.21,18.12415313720703,0.6816558241844177,0.28318989276885986,4096,llama
22,model.layers.22,20.24207305908203,0.8295901417732239,0.31628239154815674,4096,llama
23,model.layers.23,22.00714874267578,1.0634218454360962,0.3438616991043091,4096,llama
24,model.layers.24,23.812114715576172,1.1879284381866455,0.3720642924308777,4096,llama
25,model.layers.25,25.798723220825195,1.3753310441970825,0.4031050503253937,4096,llama
26,model.layers.26,28.583276748657227,1.6812114715576172,0.44661369919776917,4096,llama
27,model.layers.27,31.057727813720703,1.5454994440078735,0.485276997089386,4096,llama
28,model.layers.28,34.466121673583984,1.805987000465393,0.5385331511497498,4096,llama
29,model.layers.29,39.009761810302734,2.151815414428711,0.6095275282859802,4096,llama
30,model.layers.30,42.699745178222656,2.8442766666412354,0.667183518409729,4096,llama
31,model.layers.31,59.407588958740234,6.682565212249756,0.9282435774803162,4096,llama
