layer_idx,layer_name,mean_norm,std_norm,k_value,hidden_size,architecture
0,model.layers.0,0.25708329677581787,0.06182526424527168,0.004016926512122154,4096,mistral
1,model.layers.1,0.4169193208217621,0.08657954633235931,0.006514364387840033,4096,mistral
2,model.layers.2,0.6144705414772034,0.12638959288597107,0.009601102210581303,4096,mistral
3,model.layers.3,0.8195294737815857,0.14957274496555328,0.012805148027837276,4096,mistral
4,model.layers.4,1.0939161777496338,0.1478842943906784,0.017092440277338028,4096,mistral
5,model.layers.5,1.3948532342910767,0.14610671997070312,0.021794581785798073,4096,mistral
6,model.layers.6,1.706451416015625,0.18998181819915771,0.02666330337524414,4096,mistral
7,model.layers.7,2.0191917419433594,0.1862017810344696,0.03154987096786499,4096,mistral
8,model.layers.8,2.334773063659668,0.3285985291004181,0.03648082911968231,4096,mistral
9,model.layers.9,2.622471809387207,0.3061921298503876,0.04097612202167511,4096,mistral
10,model.layers.10,2.9964282512664795,0.322270005941391,0.04681919142603874,4096,mistral
11,model.layers.11,3.3603014945983887,0.29741695523262024,0.05250471085309982,4096,mistral
12,model.layers.12,3.657923936843872,0.31716158986091614,0.0571550615131855,4096,mistral
13,model.layers.13,4.209760665893555,0.33613356947898865,0.06577751040458679,4096,mistral
14,model.layers.14,4.786233901977539,0.4427891969680786,0.07478490471839905,4096,mistral
15,model.layers.15,5.457286834716797,0.4431743919849396,0.08527010679244995,4096,mistral
16,model.layers.16,6.211236476898193,0.4758526086807251,0.09705056995153427,4096,mistral
17,model.layers.17,7.376094341278076,0.6332626938819885,0.11525147408246994,4096,mistral
18,model.layers.18,8.716163635253906,0.7025124430656433,0.13619005680084229,4096,mistral
19,model.layers.19,10.305353164672852,0.9602397680282593,0.1610211431980133,4096,mistral
20,model.layers.20,11.852228164672852,1.2553939819335938,0.1851910650730133,4096,mistral
21,model.layers.21,13.248573303222656,1.4524016380310059,0.207008957862854,4096,mistral
22,model.layers.22,14.364618301391602,1.6778465509414673,0.22444716095924377,4096,mistral
23,model.layers.23,15.538500785827637,1.9470925331115723,0.24278907477855682,4096,mistral
24,model.layers.24,16.63729476928711,2.270310401916504,0.2599577307701111,4096,mistral
25,model.layers.25,17.79416275024414,2.4509048461914062,0.2780337929725647,4096,mistral
26,model.layers.26,19.046756744384766,2.5749127864837646,0.29760557413101196,4096,mistral
27,model.layers.27,20.577505111694336,2.811022996902466,0.321523517370224,4096,mistral
28,model.layers.28,22.465560913085938,2.9295380115509033,0.3510243892669678,4096,mistral
29,model.layers.29,26.24315643310547,3.171117067337036,0.41004931926727295,4096,mistral
30,model.layers.30,29.50494384765625,3.5695204734802246,0.4610147476196289,4096,mistral
31,model.layers.31,32.40275955200195,3.4468629360198975,0.5062931180000305,4096,mistral
