layer_idx,layer_name,mean_norm,std_norm,k_value,hidden_size,architecture
0,model.layers.0,11.322012901306152,0.9024887681007385,0.18912095180947333,3584,qwen2
1,model.layers.1,20.625438690185547,1.3395075798034668,0.34452377245797233,3584,qwen2
2,model.layers.2,21.858591079711914,1.1454980373382568,0.36512213740122795,3584,qwen2
3,model.layers.3,20.801069259643555,1.4929680824279785,0.34745747521491815,3584,qwen2
4,model.layers.4,28.000211715698242,1.6684422492980957,0.4677107098092705,3584,qwen2
5,model.layers.5,30.132648468017578,1.5388296842575073,0.5033305657295556,3584,qwen2
6,model.layers.6,34.30197525024414,1.8794221878051758,0.5729742815893434,3584,qwen2
7,model.layers.7,39.9382209777832,2.5506157875061035,0.6671211586434487,3584,qwen2
8,model.layers.8,48.546749114990234,2.989171266555786,0.8109165287051987,3584,qwen2
9,model.layers.9,48.83290481567383,2.8678500652313232,0.8156964242017624,3584,qwen2
10,model.layers.10,54.304656982421875,3.274998664855957,0.9070956291718925,3584,qwen2
11,model.layers.11,59.49272537231445,4.200220108032227,0.9937562292349725,3584,qwen2
12,model.layers.12,59.979854583740234,4.130796909332275,1.0018931516110647,3584,qwen2
13,model.layers.13,68.20433807373047,5.11198091506958,1.1392735060875034,3584,qwen2
14,model.layers.14,67.34754943847656,4.483370304107666,1.124961856417853,3584,qwen2
15,model.layers.15,76.9521255493164,5.245822906494141,1.285395040131944,3584,qwen2
16,model.layers.16,71.80184936523438,5.235799312591553,1.199365714560085,3584,qwen2
17,model.layers.17,75.83551788330078,5.148477554321289,1.2667434181601773,3584,qwen2
18,model.layers.18,87.52674102783203,6.800933837890625,1.4620315942278461,3584,qwen2
19,model.layers.19,101.73593139648438,7.420202732086182,1.6993794607588515,3584,qwen2
20,model.layers.20,120.11628723144531,7.932914733886719,2.006401756211597,3584,qwen2
21,model.layers.21,146.1277313232422,6.826956748962402,2.440892434455924,3584,qwen2
22,model.layers.22,182.92160034179688,8.641104698181152,3.0554908799972993,3584,qwen2
23,model.layers.23,223.20166015625,10.625680923461914,3.728322055642142,3584,qwen2
24,model.layers.24,275.7525329589844,13.59967041015625,4.606122776194681,3584,qwen2
25,model.layers.25,333.80694580078125,18.382732391357422,5.575853680856883,3584,qwen2
26,model.layers.26,409.7917175292969,24.62769317626953,6.845090209519081,3584,qwen2
27,model.layers.27,447.3507385253906,53.282901763916016,7.472469621796009,3584,qwen2
