layer_idx,layer_name,component_idx,variance_explained_ratio,cumulative_var_explained
0,model.layers.0,0,0.08091864734888077,0.08091864734888077
0,model.layers.0,1,0.06905711442232132,0.1499757617712021
0,model.layers.0,2,0.061420854181051254,0.21139661595225334
0,model.layers.0,3,0.05371692031621933,0.26511353626847267
0,model.layers.0,4,0.04919220507144928,0.31430574133992195
1,model.layers.1,0,0.07455478608608246,0.07455478608608246
1,model.layers.1,1,0.06911618262529373,0.1436709687113762
1,model.layers.1,2,0.06303751468658447,0.20670848339796066
1,model.layers.1,3,0.05151598900556564,0.2582244724035263
1,model.layers.1,4,0.050853487104177475,0.3090779595077038
2,model.layers.2,0,0.07288926839828491,0.07288926839828491
2,model.layers.2,1,0.0652792677283287,0.13816853612661362
2,model.layers.2,2,0.058039430528879166,0.19620796665549278
2,model.layers.2,3,0.05511217936873436,0.25132014602422714
2,model.layers.2,4,0.05110327899456024,0.3024234250187874
3,model.layers.3,0,0.07205656915903091,0.07205656915903091
3,model.layers.3,1,0.06630203872919083,0.13835860788822174
3,model.layers.3,2,0.054925836622714996,0.19328444451093674
3,model.layers.3,3,0.053804297000169754,0.2470887415111065
3,model.layers.3,4,0.05184207484126091,0.2989308163523674
4,model.layers.4,0,0.07524042576551437,0.07524042576551437
4,model.layers.4,1,0.06835512816905975,0.14359555393457413
4,model.layers.4,2,0.055256590247154236,0.19885214418172836
4,model.layers.4,3,0.052361514419317245,0.2512136586010456
4,model.layers.4,4,0.05127692595124245,0.30249058455228806
5,model.layers.5,0,0.08073867112398148,0.08073867112398148
5,model.layers.5,1,0.065940722823143,0.14667939394712448
5,model.layers.5,2,0.056838538497686386,0.20351793244481087
5,model.layers.5,3,0.05200278013944626,0.2555207125842571
5,model.layers.5,4,0.048423733562231064,0.3039444461464882
6,model.layers.6,0,0.0765121802687645,0.0765121802687645
6,model.layers.6,1,0.06204169988632202,0.13855388015508652
6,model.layers.6,2,0.05641351267695427,0.1949673928320408
6,model.layers.6,3,0.05362476035952568,0.24859215319156647
6,model.layers.6,4,0.04722319170832634,0.2958153448998928
7,model.layers.7,0,0.078675277531147,0.078675277531147
7,model.layers.7,1,0.06255747377872467,0.14123275130987167
7,model.layers.7,2,0.056034330278635025,0.1972670815885067
7,model.layers.7,3,0.05289566516876221,0.2501627467572689
7,model.layers.7,4,0.047428179532289505,0.2975909262895584
8,model.layers.8,0,0.08182261139154434,0.08182261139154434
8,model.layers.8,1,0.06132696568965912,0.14314957708120346
8,model.layers.8,2,0.05383780598640442,0.19698738306760788
8,model.layers.8,3,0.051595963537693024,0.2485833466053009
8,model.layers.8,4,0.04722616821527481,0.2958095148205757
9,model.layers.9,0,0.07712676376104355,0.07712676376104355
9,model.layers.9,1,0.06012008339166641,0.13724684715270996
9,model.layers.9,2,0.05340409278869629,0.19065093994140625
9,model.layers.9,3,0.05141938105225563,0.24207032099366188
9,model.layers.9,4,0.04721308499574661,0.2892834059894085
10,model.layers.10,0,0.0781860202550888,0.0781860202550888
10,model.layers.10,1,0.06041340157389641,0.13859942182898521
10,model.layers.10,2,0.051876261830329895,0.1904756836593151
10,model.layers.10,3,0.0514381118118763,0.2419137954711914
10,model.layers.10,4,0.04668479040265083,0.28859858587384224
11,model.layers.11,0,0.07703689485788345,0.07703689485788345
11,model.layers.11,1,0.06362269818782806,0.14065959304571152
11,model.layers.11,2,0.05233744531869888,0.1929970383644104
11,model.layers.11,3,0.04996580630540848,0.24296284466981888
11,model.layers.11,4,0.0477178618311882,0.2906807065010071
12,model.layers.12,0,0.07132665067911148,0.07132665067911148
12,model.layers.12,1,0.06536153703927994,0.13668818771839142
12,model.layers.12,2,0.05457206442952156,0.19126025214791298
12,model.layers.12,3,0.04962190240621567,0.24088215455412865
12,model.layers.12,4,0.046894371509552,0.28777652606368065
13,model.layers.13,0,0.08332613855600357,0.08332613855600357
13,model.layers.13,1,0.06818457692861557,0.15151071548461914
13,model.layers.13,2,0.052375685423612595,0.20388640090823174
13,model.layers.13,3,0.04807279631495476,0.2519591972231865
13,model.layers.13,4,0.04657701030373573,0.2985362075269222
14,model.layers.14,0,0.0907389298081398,0.0907389298081398
14,model.layers.14,1,0.07031980901956558,0.16105873882770538
14,model.layers.14,2,0.05041484534740448,0.21147358417510986
14,model.layers.14,3,0.047037187963724136,0.258510772138834
14,model.layers.14,4,0.04456604644656181,0.3030768185853958
15,model.layers.15,0,0.08741866052150726,0.08741866052150726
15,model.layers.15,1,0.06913933902978897,0.15655799955129623
15,model.layers.15,2,0.05098121240735054,0.20753921195864677
15,model.layers.15,3,0.04780103266239166,0.25534024462103844
15,model.layers.15,4,0.04525681212544441,0.30059705674648285
16,model.layers.16,0,0.10137465596199036,0.10137465596199036
16,model.layers.16,1,0.06864045560359955,0.1700151115655899
16,model.layers.16,2,0.04988585039973259,0.2199009619653225
16,model.layers.16,3,0.04593043029308319,0.2658313922584057
16,model.layers.16,4,0.04391965642571449,0.3097510486841202
17,model.layers.17,0,0.11113402992486954,0.11113402992486954
17,model.layers.17,1,0.06880701333284378,0.17994104325771332
17,model.layers.17,2,0.04965534061193466,0.22959638386964798
17,model.layers.17,3,0.04610690101981163,0.2757032848894596
17,model.layers.17,4,0.040561970323324203,0.3162652552127838
18,model.layers.18,0,0.10573169589042664,0.10573169589042664
18,model.layers.18,1,0.07608460634946823,0.18181630223989487
18,model.layers.18,2,0.049480535089969635,0.2312968373298645
18,model.layers.18,3,0.04531068727374077,0.27660752460360527
18,model.layers.18,4,0.04017728939652443,0.3167848140001297
19,model.layers.19,0,0.1084405705332756,0.1084405705332756
19,model.layers.19,1,0.07918571680784225,0.18762628734111786
19,model.layers.19,2,0.049652598798274994,0.23727888613939285
19,model.layers.19,3,0.04476281628012657,0.2820417024195194
19,model.layers.19,4,0.039306703954935074,0.3213484063744545
20,model.layers.20,0,0.12899138033390045,0.12899138033390045
20,model.layers.20,1,0.07637370377779007,0.20536508411169052
20,model.layers.20,2,0.050187986344099045,0.25555307045578957
20,model.layers.20,3,0.04344582557678223,0.2989988960325718
20,model.layers.20,4,0.03882955387234688,0.33782844990491867
21,model.layers.21,0,0.13078047335147858,0.13078047335147858
21,model.layers.21,1,0.07943233102560043,0.210212804377079
21,model.layers.21,2,0.04855776205658913,0.25877056643366814
