layer_idx,layer_name,component_idx,variance_explained_ratio,cumulative_var_explained
0,model.layers.0,0,0.5514866709709167,0.5514866709709167
0,model.layers.0,1,0.06777413934469223,0.619260810315609
0,model.layers.0,2,0.028626829385757446,0.6478876397013664
0,model.layers.0,3,0.023724831640720367,0.6716124713420868
0,model.layers.0,4,0.02257106639444828,0.6941835377365351
1,model.layers.1,0,0.6764710545539856,0.6764710545539856
1,model.layers.1,1,0.041556838899850845,0.7180278934538364
1,model.layers.1,2,0.019997194409370422,0.7380250878632069
1,model.layers.1,3,0.018379244953393936,0.7564043328166008
1,model.layers.1,4,0.01693451777100563,0.7733388505876064
2,model.layers.2,0,0.7558761239051819,0.7558761239051819
2,model.layers.2,1,0.030177850276231766,0.7860539741814137
2,model.layers.2,2,0.015326152555644512,0.8013801267370582
2,model.layers.2,3,0.013460706919431686,0.8148408336564898
2,model.layers.2,4,0.013068320229649544,0.8279091538861394
3,model.layers.3,0,0.7811307311058044,0.7811307311058044
3,model.layers.3,1,0.025988997891545296,0.8071197289973497
3,model.layers.3,2,0.014022652059793472,0.8211423810571432
3,model.layers.3,3,0.011805000714957714,0.8329473817721009
3,model.layers.3,4,0.011340497992932796,0.8442878797650337
4,model.layers.4,0,0.788211464881897,0.788211464881897
4,model.layers.4,1,0.027719199657440186,0.8159306645393372
4,model.layers.4,2,0.013905733823776245,0.8298363983631134
4,model.layers.4,3,0.011645612306892872,0.8414820106700063
4,model.layers.4,4,0.010995197109878063,0.8524772077798843
5,model.layers.5,0,0.7380812764167786,0.7380812764167786
5,model.layers.5,1,0.031103430315852165,0.7691847067326307
5,model.layers.5,2,0.017144083976745605,0.7863287907093763
5,model.layers.5,3,0.01422745268791914,0.8005562433972955
5,model.layers.5,4,0.013769181445240974,0.8143254248425364
6,model.layers.6,0,0.7572218775749207,0.7572218775749207
6,model.layers.6,1,0.024947775527834892,0.7821696531027555
6,model.layers.6,2,0.015418258495628834,0.7975879115983844
6,model.layers.6,3,0.013108158484101295,0.8106960700824857
6,model.layers.6,4,0.012465005740523338,0.823161075823009
7,model.layers.7,0,0.764329731464386,0.764329731464386
7,model.layers.7,1,0.02335258759558201,0.787682319059968
7,model.layers.7,2,0.015112943947315216,0.8027952630072832
7,model.layers.7,3,0.012905925512313843,0.815701188519597
7,model.layers.7,4,0.012171600945293903,0.827872789464891
8,model.layers.8,0,0.736099362373352,0.736099362373352
8,model.layers.8,1,0.02374763786792755,0.7598470002412796
8,model.layers.8,2,0.017627151682972908,0.7774741519242525
8,model.layers.8,3,0.013994844630360603,0.7914689965546131
8,model.layers.8,4,0.013457863591611385,0.8049268601462245
9,model.layers.9,0,0.7556452751159668,0.7556452751159668
9,model.layers.9,1,0.02118966169655323,0.77683493681252
9,model.layers.9,2,0.015325652435421944,0.792160589247942
9,model.layers.9,3,0.012934106402099133,0.8050946956500411
9,model.layers.9,4,0.012666779570281506,0.8177614752203226
10,model.layers.10,0,0.7428218126296997,0.7428218126296997
10,model.layers.10,1,0.021310728043317795,0.7641325406730175
10,model.layers.10,2,0.015541516244411469,0.779674056917429
10,model.layers.10,3,0.014418759383261204,0.7940928163006902
10,model.layers.10,4,0.012988479807972908,0.8070812961086631
11,model.layers.11,0,0.7676289677619934,0.7676289677619934
11,model.layers.11,1,0.01972285844385624,0.7873518262058496
11,model.layers.11,2,0.014172841794788837,0.8015246680006385
11,model.layers.11,3,0.012839991599321365,0.8143646595999599
11,model.layers.11,4,0.012030243873596191,0.826394903473556
12,model.layers.12,0,0.7658363580703735,0.7658363580703735
12,model.layers.12,1,0.019917376339435577,0.7857537344098091
