layer_idx,layer_name,component_idx,variance_explained_ratio,cumulative_var_explained
0,model.layers.0,0,0.19918955862522125,0.19918955862522125
0,model.layers.0,1,0.09813906997442245,0.2973286285996437
0,model.layers.0,2,0.08656322956085205,0.38389185816049576
0,model.layers.0,3,0.0704776793718338,0.45436953753232956
0,model.layers.0,4,0.05293754115700722,0.5073070786893368
1,model.layers.1,0,0.18655061721801758,0.18655061721801758
1,model.layers.1,1,0.10771677643060684,0.2942673936486244
1,model.layers.1,2,0.08947797864675522,0.38374537229537964
1,model.layers.1,3,0.07413222640752792,0.45787759870290756
1,model.layers.1,4,0.04778093844652176,0.5056585371494293
2,model.layers.2,0,0.17622117698192596,0.17622117698192596
2,model.layers.2,1,0.11356193572282791,0.2897831127047539
2,model.layers.2,2,0.08660388737916946,0.37638700008392334
2,model.layers.2,3,0.07090255618095398,0.4472895562648773
2,model.layers.2,4,0.04605523496866226,0.4933447912335396
3,model.layers.3,0,0.1731491982936859,0.1731491982936859
3,model.layers.3,1,0.11920382082462311,0.292353019118309
3,model.layers.3,2,0.08243151009082794,0.37478452920913696
3,model.layers.3,3,0.0658997893333435,0.44068431854248047
3,model.layers.3,4,0.04654521122574806,0.48722952976822853
4,model.layers.4,0,0.15585337579250336,0.15585337579250336
4,model.layers.4,1,0.12416167557239532,0.2800150513648987
4,model.layers.4,2,0.0850195363163948,0.3650345876812935
4,model.layers.4,3,0.06221369281411171,0.4272482804954052
4,model.layers.4,4,0.05047014355659485,0.47771842405200005
5,model.layers.5,0,0.14434479176998138,0.14434479176998138
5,model.layers.5,1,0.1133226677775383,0.2576674595475197
5,model.layers.5,2,0.09156180918216705,0.34922926872968674
5,model.layers.5,3,0.06151043251156807,0.4107397012412548
5,model.layers.5,4,0.05156005546450615,0.46229975670576096
6,model.layers.6,0,0.13752791285514832,0.13752791285514832
6,model.layers.6,1,0.11351177841424942,0.25103969126939774
6,model.layers.6,2,0.08574903756380081,0.33678872883319855
6,model.layers.6,3,0.05686206370592117,0.3936507925391197
6,model.layers.6,4,0.05057818442583084,0.44422897696495056
7,model.layers.7,0,0.14296525716781616,0.14296525716781616
7,model.layers.7,1,0.109478659927845,0.25244391709566116
7,model.layers.7,2,0.08280903100967407,0.33525294810533524
7,model.layers.7,3,0.054780133068561554,0.3900330811738968
7,model.layers.7,4,0.04972405731678009,0.4397571384906769
8,model.layers.8,0,0.13751524686813354,0.13751524686813354
8,model.layers.8,1,0.1011776328086853,0.23869287967681885
8,model.layers.8,2,0.08133666962385178,0.3200295493006706
