layer_idx,layer_name,component_idx,variance_explained_ratio,cumulative_var_explained
0,model.layers.0,0,0.24614748358726501,0.24614748358726501
0,model.layers.0,1,0.2177441567182541,0.4638916403055191
0,model.layers.0,2,0.09221657365560532,0.5561082139611244
0,model.layers.0,3,0.06760244816541672,0.6237106621265411
0,model.layers.0,4,0.04555588215589523,0.6692665442824364
1,model.layers.1,0,0.23570306599140167,0.23570306599140167
1,model.layers.1,1,0.2250186651945114,0.4607217311859131
1,model.layers.1,2,0.09189029783010483,0.5526120290160179
1,model.layers.1,3,0.06436149775981903,0.616973526775837
1,model.layers.1,4,0.04699128493666649,0.6639648117125034
2,model.layers.2,0,0.23275235295295715,0.23275235295295715
2,model.layers.2,1,0.21010048687458038,0.44285283982753754
2,model.layers.2,2,0.09150032699108124,0.5343531668186188
2,model.layers.2,3,0.06905178725719452,0.6034049540758133
2,model.layers.2,4,0.054958708584308624,0.6583636626601219
3,model.layers.3,0,0.23821917176246643,0.23821917176246643
3,model.layers.3,1,0.19579392671585083,0.43401309847831726
3,model.layers.3,2,0.09174535423517227,0.5257584527134895
3,model.layers.3,3,0.07032454758882523,0.5960830003023148
3,model.layers.3,4,0.05355500802397728,0.649638008326292
4,model.layers.4,0,0.22138875722885132,0.22138875722885132
4,model.layers.4,1,0.17514365911483765,0.39653241634368896
4,model.layers.4,2,0.10584833472967148,0.5023807510733604
4,model.layers.4,3,0.07325498014688492,0.5756357312202454
4,model.layers.4,4,0.05634080618619919,0.6319765374064445
5,model.layers.5,0,0.2173251509666443,0.2173251509666443
5,model.layers.5,1,0.16409118473529816,0.38141633570194244
5,model.layers.5,2,0.10701603442430496,0.4884323701262474
5,model.layers.5,3,0.07457636296749115,0.5630087330937386
5,model.layers.5,4,0.05547264963388443,0.618481382727623
6,model.layers.6,0,0.21122093498706818,0.21122093498706818
6,model.layers.6,1,0.1460273414850235,0.3572482764720917
6,model.layers.6,2,0.10705650597810745,0.4643047824501991
6,model.layers.6,3,0.07370952516794205,0.5380143076181412
6,model.layers.6,4,0.05324654281139374,0.5912608504295349
7,model.layers.7,0,0.20626910030841827,0.20626910030841827
7,model.layers.7,1,0.14020013809204102,0.3464692384004593
7,model.layers.7,2,0.11347746104001999,0.4599466994404793
7,model.layers.7,3,0.07474952936172485,0.5346962288022041
7,model.layers.7,4,0.05498770624399185,0.589683935046196
8,model.layers.8,0,0.1900036633014679,0.1900036633014679
8,model.layers.8,1,0.13262048363685608,0.322624146938324
8,model.layers.8,2,0.11059072613716125,0.43321487307548523
8,model.layers.8,3,0.07580550760030746,0.5090203806757927
8,model.layers.8,4,0.05497956648468971,0.5639999471604824
9,model.layers.9,0,0.18313081562519073,0.18313081562519073
9,model.layers.9,1,0.13525176048278809,0.3183825761079788
9,model.layers.9,2,0.10920717567205429,0.4275897517800331
9,model.layers.9,3,0.07520356774330139,0.5027933195233345
9,model.layers.9,4,0.056041572242975235,0.5588348917663097
10,model.layers.10,0,0.17388562858104706,0.17388562858104706
10,model.layers.10,1,0.12828311324119568,0.30216874182224274
10,model.layers.10,2,0.10727477818727493,0.40944352000951767
10,model.layers.10,3,0.07435929775238037,0.48380281776189804
10,model.layers.10,4,0.05507082864642143,0.5388736464083195
11,model.layers.11,0,0.17962628602981567,0.17962628602981567
11,model.layers.11,1,0.12166138738393784,0.3012876734137535
