layer_idx,layer_name,component_idx,variance_explained_ratio,cumulative_var_explained
0,model.layers.0,0,0.6286302208900452,0.6286302208900452
0,model.layers.0,1,0.08539695292711258,0.7140271738171577
0,model.layers.0,2,0.0312509648501873,0.745278138667345
0,model.layers.0,3,0.024401402100920677,0.7696795407682657
0,model.layers.0,4,0.017249444499611855,0.7869289852678776
1,model.layers.1,0,0.7636638879776001,0.7636638879776001
1,model.layers.1,1,0.033124931156635284,0.7967888191342354
1,model.layers.1,2,0.021353870630264282,0.8181426897644997
1,model.layers.1,3,0.01515971403568983,0.8333024038001895
1,model.layers.1,4,0.01252805907279253,0.845830462872982
2,model.layers.2,0,0.8254622220993042,0.8254622220993042
2,model.layers.2,1,0.02033759281039238,0.8457998149096966
2,model.layers.2,2,0.01657690852880478,0.8623767234385014
2,model.layers.2,3,0.01135161891579628,0.8737283423542976
2,model.layers.2,4,0.009691876359283924,0.8834202187135816
3,model.layers.3,0,0.8420866131782532,0.8420866131782532
3,model.layers.3,1,0.016828125342726707,0.8589147385209799
3,model.layers.3,2,0.015491568483412266,0.8744063070043921
3,model.layers.3,3,0.010129207745194435,0.8845355147495866
3,model.layers.3,4,0.009190898388624191,0.8937264131382108
4,model.layers.4,0,0.8509576320648193,0.8509576320648193
4,model.layers.4,1,0.015707099810242653,0.866664731875062
4,model.layers.4,2,0.012241709977388382,0.8789064418524504
4,model.layers.4,3,0.010292635299265385,0.8891990771517158
4,model.layers.4,4,0.008807288482785225,0.898006365634501
5,model.layers.5,0,0.8173934817314148,0.8173934817314148
5,model.layers.5,1,0.018859561532735825,0.8362530432641506
5,model.layers.5,2,0.013713853433728218,0.8499668966978788
5,model.layers.5,3,0.011268929578363895,0.8612358262762427
5,model.layers.5,4,0.009312904439866543,0.8705487307161093
6,model.layers.6,0,0.8374911546707153,0.8374911546707153
6,model.layers.6,1,0.01659051887691021,0.8540816735476255
6,model.layers.6,2,0.011349925771355629,0.8654315993189812
6,model.layers.6,3,0.011158348992466927,0.8765899483114481
6,model.layers.6,4,0.007417518179863691,0.8840074664913118
7,model.layers.7,0,0.8481265902519226,0.8481265902519226
7,model.layers.7,1,0.015068582259118557,0.8631951725110412
7,model.layers.7,2,0.01056104339659214,0.8737562159076333
7,model.layers.7,3,0.009519649669528008,0.8832758655771613
7,model.layers.7,4,0.007091609761118889,0.8903674753382802
8,model.layers.8,0,0.833344578742981,0.833344578742981
8,model.layers.8,1,0.017960747703909874,0.8513053264468908
8,model.layers.8,2,0.010888230055570602,0.8621935565024614
8,model.layers.8,3,0.009063971228897572,0.871257527731359
8,model.layers.8,4,0.007420229259878397,0.8786777569912374
9,model.layers.9,0,0.8520981073379517,0.8520981073379517
9,model.layers.9,1,0.01592111401259899,0.8680192213505507
9,model.layers.9,2,0.009159617125988007,0.8771788384765387
9,model.layers.9,3,0.007757051382213831,0.8849358898587525
9,model.layers.9,4,0.0068016257137060165,0.8917375155724585
10,model.layers.10,0,0.8457397222518921,0.8457397222518921
10,model.layers.10,1,0.01724323257803917,0.8629829548299313
10,model.layers.10,2,0.009094255976378918,0.8720772108063102
10,model.layers.10,3,0.007906978018581867,0.879984188824892
10,model.layers.10,4,0.007302177604287863,0.8872863664291799
11,model.layers.11,0,0.8630837798118591,0.8630837798118591
11,model.layers.11,1,0.014818450435996056,0.8779022302478552
11,model.layers.11,2,0.007970407605171204,0.8858726378530264
11,model.layers.11,3,0.0069637899287045,0.8928364277817309
11,model.layers.11,4,0.006426902022212744,0.8992633298039436
12,model.layers.12,0,0.8596832156181335,0.8596832156181335
12,model.layers.12,1,0.015864962711930275,0.8755481783300638
12,model.layers.12,2,0.00828618835657835,0.8838343666866422
12,model.layers.12,3,0.007094965316355228,0.8909293320029974
12,model.layers.12,4,0.006747655104845762,0.8976769871078432
13,model.layers.13,0,0.859838604927063,0.859838604927063
13,model.layers.13,1,0.01659502647817135,0.8764336314052343
13,model.layers.13,2,0.01059828419238329,0.8870319155976176
13,model.layers.13,3,0.007502661552280188,0.8945345771498978
13,model.layers.13,4,0.006847751792520285,0.9013823289424181
14,model.layers.14,0,0.8511162996292114,0.8511162996292114
14,model.layers.14,1,0.03106890618801117,0.8821852058172226
14,model.layers.14,2,0.01354447565972805,0.8957296814769506
14,model.layers.14,3,0.007329263258725405,0.903058944735676
14,model.layers.14,4,0.006442759186029434,0.9095017039217055
15,model.layers.15,0,0.8537048101425171,0.8537048101425171
15,model.layers.15,1,0.04135529324412346,0.8950601033866405
15,model.layers.15,2,0.012594726867973804,0.9076548302546144
15,model.layers.15,3,0.006669576279819012,0.9143244065344334
15,model.layers.15,4,0.005847012624144554,0.9201714191585779
16,model.layers.16,0,0.857772171497345,0.857772171497345
16,model.layers.16,1,0.043744929134845734,0.9015171006321907
16,model.layers.16,2,0.011932878755033016,0.9134499793872237
16,model.layers.16,3,0.006340485531836748,0.9197904649190605
16,model.layers.16,4,0.0053807636722922325,0.9251712285913527
17,model.layers.17,0,0.8682156801223755,0.8682156801223755
17,model.layers.17,1,0.04366164281964302,0.9118773229420185
17,model.layers.17,2,0.011387856677174568,0.9232651796191931
17,model.layers.17,3,0.006233828142285347,0.9294990077614784
17,model.layers.17,4,0.004622179549187422,0.9341211873106658
18,model.layers.18,0,0.8764170408248901,0.8764170408248901
18,model.layers.18,1,0.039936620742082596,0.9163536615669727
18,model.layers.18,2,0.01203664019703865,0.9283903017640114
18,model.layers.18,3,0.005826691631227732,0.9342169933952391
18,model.layers.18,4,0.004363470710813999,0.9385804641060531
19,model.layers.19,0,0.887709379196167,0.887709379196167
19,model.layers.19,1,0.03415657952427864,0.9218659587204456
19,model.layers.19,2,0.011071417480707169,0.9329373762011528
19,model.layers.19,3,0.005637320689857006,0.9385746968910098
19,model.layers.19,4,0.004153307061642408,0.9427280039526522
20,model.layers.20,0,0.8965402841567993,0.8965402841567993
20,model.layers.20,1,0.027944400906562805,0.9244846850633621
20,model.layers.20,2,0.0106211481615901,0.9351058332249522
20,model.layers.20,3,0.005811552982777357,0.9409173862077296
20,model.layers.20,4,0.004017319064587355,0.9449347052723169
21,model.layers.21,0,0.9057031273841858,0.9057031273841858
21,model.layers.21,1,0.023799557238817215,0.929502684623003
21,model.layers.21,2,0.010624239221215248,0.9401269238442183
21,model.layers.21,3,0.005678076297044754,0.945805000141263
21,model.layers.21,4,0.003903500037267804,0.9497085001785308
22,model.layers.22,0,0.9176084995269775,0.9176084995269775
22,model.layers.22,1,0.018820740282535553,0.9364292398095131
22,model.layers.22,2,0.009301205165684223,0.9457304449751973
22,model.layers.22,3,0.005132474936544895,0.9508629199117422
22,model.layers.22,4,0.0034489319659769535,0.9543118518777192
23,model.layers.23,0,0.9337596893310547,0.9337596893310547
23,model.layers.23,1,0.009262032806873322,0.943021722137928
23,model.layers.23,2,0.00809156522154808,0.9511132873594761
23,model.layers.23,3,0.0047340416349470615,0.9558473289944232
23,model.layers.23,4,0.0031772644724696875,0.9590245934668928
24,model.layers.24,0,0.942227840423584,0.942227840423584
24,model.layers.24,1,0.006929886061698198,0.9491577264852822
24,model.layers.24,2,0.005373574327677488,0.9545313008129597
24,model.layers.24,3,0.004280100576579571,0.9588114013895392
24,model.layers.24,4,0.003042691620066762,0.961854093009606
25,model.layers.25,0,0.9415661692619324,0.9415661692619324
25,model.layers.25,1,0.007014813367277384,0.9485809826292098
25,model.layers.25,2,0.005095895379781723,0.9536768780089915
25,model.layers.25,3,0.004358095116913319,0.9580349731259048
25,model.layers.25,4,0.00318446708843112,0.9612194402143359
26,model.layers.26,0,0.9460277557373047,0.9460277557373047
26,model.layers.26,1,0.00606544641777873,0.9520932021550834
26,model.layers.26,2,0.004311028867959976,0.9564042310230434
26,model.layers.26,3,0.003449151525273919,0.9598533825483173
26,model.layers.26,4,0.003190693212673068,0.9630440757609904
27,model.layers.27,0,0.9474912285804749,0.9474912285804749
27,model.layers.27,1,0.0050401645712554455,0.9525313931517303
27,model.layers.27,2,0.004403606988489628,0.9569350001402199
