layer_idx,layer_name,component_idx,variance_explained_ratio,cumulative_var_explained
0,model.layers.0,0,0.15257830917835236,0.15257830917835236
0,model.layers.0,1,0.09736548364162445,0.2499437928199768
0,model.layers.0,2,0.09222692251205444,0.34217071533203125
0,model.layers.0,3,0.03253129869699478,0.37470201402902603
0,model.layers.0,4,0.026131566613912582,0.4008335806429386
1,model.layers.1,0,0.10308858752250671,0.10308858752250671
1,model.layers.1,1,0.07536957412958145,0.17845816165208817
1,model.layers.1,2,0.0691199004650116,0.24757806211709976
1,model.layers.1,3,0.03666960075497627,0.28424766287207603
1,model.layers.1,4,0.025426669046282768,0.3096743319183588
2,model.layers.2,0,0.12973235547542572,0.12973235547542572
2,model.layers.2,1,0.07848478108644485,0.20821713656187057
2,model.layers.2,2,0.05768069624900818,0.26589783281087875
2,model.layers.2,3,0.03894861787557602,0.3048464506864548
2,model.layers.2,4,0.028232121840119362,0.33307857252657413
3,model.layers.3,0,0.11463091522455215,0.11463091522455215
3,model.layers.3,1,0.06381779909133911,0.17844871431589127
3,model.layers.3,2,0.0470723956823349,0.22552110999822617
3,model.layers.3,3,0.0349576473236084,0.26047875732183456
3,model.layers.3,4,0.026147302240133286,0.28662605956196785
4,model.layers.4,0,0.11199785023927689,0.11199785023927689
4,model.layers.4,1,0.05752073973417282,0.1695185899734497
4,model.layers.4,2,0.042442649602890015,0.21196123957633972
4,model.layers.4,3,0.03311418369412422,0.24507542327046394
4,model.layers.4,4,0.02352817915380001,0.26860360242426395
5,model.layers.5,0,0.11797890812158585,0.11797890812158585
5,model.layers.5,1,0.058378465473651886,0.17635737359523773
5,model.layers.5,2,0.039243292063474655,0.2156006656587124
5,model.layers.5,3,0.03326837718486786,0.24886904284358025
5,model.layers.5,4,0.025323830544948578,0.2741928733885288
6,model.layers.6,0,0.11770458519458771,0.11770458519458771
6,model.layers.6,1,0.05160408467054367,0.16930866986513138
6,model.layers.6,2,0.039464451372623444,0.20877312123775482
6,model.layers.6,3,0.03536658361554146,0.24413970485329628
6,model.layers.6,4,0.027018843218684196,0.2711585480719805
7,model.layers.7,0,0.10905042290687561,0.10905042290687561
7,model.layers.7,1,0.045109592378139496,0.1541600152850151
