layer_idx,layer_name,component_idx,variance_explained_ratio,cumulative_var_explained
0,model.layers.0,0,0.26254063844680786,0.26254063844680786
0,model.layers.0,1,0.1816292256116867,0.44416986405849457
0,model.layers.0,2,0.05903666093945503,0.5032065249979496
0,model.layers.0,3,0.05320059508085251,0.5564071200788021
0,model.layers.0,4,0.04933759942650795,0.6057447195053101
1,model.layers.1,0,0.16464842855930328,0.16464842855930328
1,model.layers.1,1,0.1148081049323082,0.2794565334916115
1,model.layers.1,2,0.051514800637960434,0.3309713341295719
1,model.layers.1,3,0.04005232825875282,0.37102366238832474
1,model.layers.1,4,0.0329277440905571,0.40395140647888184
2,model.layers.2,0,0.15858349204063416,0.15858349204063416
2,model.layers.2,1,0.12444022297859192,0.2830237150192261
2,model.layers.2,2,0.049986712634563446,0.3330104276537895
2,model.layers.2,3,0.03962290659546852,0.37263333424925804
2,model.layers.2,4,0.03880288824439049,0.41143622249364853
3,model.layers.3,0,0.119381383061409,0.119381383061409
3,model.layers.3,1,0.07705091685056686,0.19643229991197586
3,model.layers.3,2,0.043796606361866,0.24022890627384186
3,model.layers.3,3,0.042815979570150375,0.28304488584399223
3,model.layers.3,4,0.03556462377309799,0.3186095096170902
4,model.layers.4,0,0.07684577256441116,0.07684577256441116
4,model.layers.4,1,0.05125617980957031,0.12810195237398148
4,model.layers.4,2,0.04664899781346321,0.1747509501874447
4,model.layers.4,3,0.040356915444135666,0.21510786563158035
4,model.layers.4,4,0.03806724399328232,0.25317510962486267
5,model.layers.5,0,0.08188509196043015,0.08188509196043015
5,model.layers.5,1,0.052538204938173294,0.13442329689860344
5,model.layers.5,2,0.04513339325785637,0.1795566901564598
5,model.layers.5,3,0.0400121808052063,0.2195688709616661
5,model.layers.5,4,0.03792821615934372,0.2574970871210098
6,model.layers.6,0,0.07888278365135193,0.07888278365135193
6,model.layers.6,1,0.05495566502213478,0.1338384486734867
6,model.layers.6,2,0.04532334581017494,0.17916179448366165
6,model.layers.6,3,0.04182720556855202,0.22098900005221367
6,model.layers.6,4,0.03535100072622299,0.25634000077843666
7,model.layers.7,0,0.0805346816778183,0.0805346816778183
7,model.layers.7,1,0.05326463654637337,0.13379931822419167
7,model.layers.7,2,0.044927868992090225,0.1787271872162819
7,model.layers.7,3,0.04177084565162659,0.22049803286790848
7,model.layers.7,4,0.03537677600979805,0.2558748088777065
8,model.layers.8,0,0.08119742572307587,0.08119742572307587
8,model.layers.8,1,0.05415186285972595,0.13534928858280182
8,model.layers.8,2,0.04175630584359169,0.1771055944263935
8,model.layers.8,3,0.04067006707191467,0.21777566149830818
8,model.layers.8,4,0.03901425376534462,0.2567899152636528
9,model.layers.9,0,0.07844579219818115,0.07844579219818115
9,model.layers.9,1,0.05405896529555321,0.13250475749373436
9,model.layers.9,2,0.042635489255189896,0.17514024674892426
9,model.layers.9,3,0.039418917149305344,0.2145591638982296
9,model.layers.9,4,0.03718438744544983,0.25174355134367943
10,model.layers.10,0,0.08350720256567001,0.08350720256567001
10,model.layers.10,1,0.056826408952474594,0.1403336115181446
10,model.layers.10,2,0.04270356521010399,0.1830371767282486
10,model.layers.10,3,0.03926581144332886,0.22230298817157745
10,model.layers.10,4,0.036798980087041855,0.2591019682586193
11,model.layers.11,0,0.09062445908784866,0.09062445908784866
11,model.layers.11,1,0.05731766298413277,0.14794212207198143
11,model.layers.11,2,0.04213732108473778,0.1900794431567192
11,model.layers.11,3,0.039078135043382645,0.22915757820010185
11,model.layers.11,4,0.0358043909072876,0.26496196910738945
12,model.layers.12,0,0.08789554238319397,0.08789554238319397
12,model.layers.12,1,0.060582976788282394,0.14847851917147636
12,model.layers.12,2,0.04273936152458191,0.19121788069605827
12,model.layers.12,3,0.04230775311589241,0.23352563381195068
12,model.layers.12,4,0.037534214556217194,0.2710598483681679
13,model.layers.13,0,0.0908299908041954,0.0908299908041954
13,model.layers.13,1,0.0624304860830307,0.1532604768872261
13,model.layers.13,2,0.04482537508010864,0.19808585196733475
13,model.layers.13,3,0.041671209037303925,0.23975706100463867
13,model.layers.13,4,0.040102243423461914,0.2798593044281006
14,model.layers.14,0,0.09289537370204926,0.09289537370204926
14,model.layers.14,1,0.06423796713352203,0.1571333408355713
14,model.layers.14,2,0.04594425484538078,0.20307759568095207
14,model.layers.14,3,0.03915335237979889,0.24223094806075096
14,model.layers.14,4,0.03811661899089813,0.2803475670516491
15,model.layers.15,0,0.10124713182449341,0.10124713182449341
15,model.layers.15,1,0.06788387149572372,0.16913100332021713
15,model.layers.15,2,0.048009488731622696,0.21714049205183983
15,model.layers.15,3,0.038882169872522354,0.2560226619243622
15,model.layers.15,4,0.03752308338880539,0.29354574531316757
16,model.layers.16,0,0.09683682769536972,0.09683682769536972
16,model.layers.16,1,0.0653262659907341,0.16216309368610382
16,model.layers.16,2,0.04871617257595062,0.21087926626205444
16,model.layers.16,3,0.03890227526426315,0.2497815415263176
16,model.layers.16,4,0.03825529292225838,0.288036834448576
17,model.layers.17,0,0.09766528755426407,0.09766528755426407
17,model.layers.17,1,0.06419963389635086,0.16186492145061493
17,model.layers.17,2,0.048444803804159164,0.2103097252547741
17,model.layers.17,3,0.038915976881980896,0.249225702136755
17,model.layers.17,4,0.03588898852467537,0.28511469066143036
18,model.layers.18,0,0.08961866050958633,0.08961866050958633
18,model.layers.18,1,0.06304872781038284,0.15266738831996918
18,model.layers.18,2,0.05490599200129509,0.20757338032126427
18,model.layers.18,3,0.040269020944833755,0.24784240126609802
18,model.layers.18,4,0.035946525633335114,0.28378892689943314
19,model.layers.19,0,0.0923265740275383,0.0923265740275383
19,model.layers.19,1,0.060662172734737396,0.1529887467622757
19,model.layers.19,2,0.055224139243364334,0.20821288600564003
19,model.layers.19,3,0.04014644771814346,0.2483593337237835
19,model.layers.19,4,0.03568308800458908,0.2840424217283726
20,model.layers.20,0,0.08761370927095413,0.08761370927095413
20,model.layers.20,1,0.058633651584386826,0.14624736085534096
20,model.layers.20,2,0.05604385584592819,0.20229121670126915
20,model.layers.20,3,0.03902367502450943,0.24131489172577858
20,model.layers.20,4,0.03538180887699127,0.27669670060276985
21,model.layers.21,0,0.0806770995259285,0.0806770995259285
21,model.layers.21,1,0.057246893644332886,0.13792399317026138
21,model.layers.21,2,0.05335647240281105,0.19128046557307243
21,model.layers.21,3,0.03962945565581322,0.23090992122888565
21,model.layers.21,4,0.03434203192591667,0.2652519531548023
22,model.layers.22,0,0.0760192796587944,0.0760192796587944
22,model.layers.22,1,0.05602259188890457,0.13204187154769897
22,model.layers.22,2,0.04913837090134621,0.18118024244904518
22,model.layers.22,3,0.039090823382139206,0.2202710658311844
22,model.layers.22,4,0.034054774791002274,0.25432584062218666
23,model.layers.23,0,0.071888267993927,0.071888267993927
23,model.layers.23,1,0.057603541761636734,0.12949180975556374
23,model.layers.23,2,0.04815053939819336,0.1776423491537571
