layer_idx,layer_name,component_idx,variance_explained_ratio,cumulative_var_explained
0,model.layers.0,0,0.3463088274002075,0.3463088274002075
0,model.layers.0,1,0.20775075256824493,0.5540595799684525
0,model.layers.0,2,0.07186205685138702,0.6259216368198395
0,model.layers.0,3,0.05904008820652962,0.6849617250263691
0,model.layers.0,4,0.03727637231349945,0.7222380973398685
1,model.layers.1,0,0.22460998594760895,0.22460998594760895
1,model.layers.1,1,0.13553829491138458,0.36014828085899353
1,model.layers.1,2,0.09089583903551102,0.45104411989450455
1,model.layers.1,3,0.060938604176044464,0.511982724070549
1,model.layers.1,4,0.054914336651563644,0.5668970607221127
2,model.layers.2,0,0.26043057441711426,0.26043057441711426
2,model.layers.2,1,0.13850954174995422,0.3989401161670685
2,model.layers.2,2,0.09870079904794693,0.4976409152150154
2,model.layers.2,3,0.08253758400678635,0.5801784992218018
2,model.layers.2,4,0.06043193116784096,0.6406104303896427
3,model.layers.3,0,0.23409131169319153,0.23409131169319153
3,model.layers.3,1,0.11053339391946793,0.34462470561265945
3,model.layers.3,2,0.0850931704044342,0.42971787601709366
3,model.layers.3,3,0.062361374497413635,0.4920792505145073
3,model.layers.3,4,0.0548945777118206,0.5469738282263279
4,model.layers.4,0,0.18579146265983582,0.18579146265983582
4,model.layers.4,1,0.09485746920108795,0.28064893186092377
4,model.layers.4,2,0.07355784624814987,0.35420677810907364
4,model.layers.4,3,0.061429962515830994,0.41563674062490463
4,model.layers.4,4,0.05829539895057678,0.4739321395754814
5,model.layers.5,0,0.17674866318702698,0.17674866318702698
5,model.layers.5,1,0.09778749942779541,0.2745361626148224
5,model.layers.5,2,0.07676069438457489,0.3512968569993973
5,model.layers.5,3,0.06292805820703506,0.41422491520643234
5,model.layers.5,4,0.056361932307481766,0.4705868475139141
6,model.layers.6,0,0.15636806190013885,0.15636806190013885
6,model.layers.6,1,0.0912865474820137,0.24765460938215256
6,model.layers.6,2,0.07622712850570679,0.32388173788785934
6,model.layers.6,3,0.05926697328686714,0.3831487111747265
6,model.layers.6,4,0.051776811480522156,0.43492552265524864
7,model.layers.7,0,0.14042209088802338,0.14042209088802338
7,model.layers.7,1,0.08645878732204437,0.22688087821006775
7,model.layers.7,2,0.06863769143819809,0.29551856964826584
7,model.layers.7,3,0.06196611747145653,0.35748468711972237
7,model.layers.7,4,0.04955213516950607,0.40703682228922844
8,model.layers.8,0,0.1254492551088333,0.1254492551088333
8,model.layers.8,1,0.08583271503448486,0.21128197014331818
8,model.layers.8,2,0.06354765594005585,0.274829626083374
8,model.layers.8,3,0.06151505559682846,0.3363446816802025
8,model.layers.8,4,0.04758371412754059,0.3839283958077431
9,model.layers.9,0,0.11544281989336014,0.11544281989336014
9,model.layers.9,1,0.0818658322095871,0.19730865210294724
9,model.layers.9,2,0.06777318567037582,0.26508183777332306
9,model.layers.9,3,0.05929603427648544,0.3243778720498085
9,model.layers.9,4,0.048915233463048935,0.37329310551285744
10,model.layers.10,0,0.10677867382764816,0.10677867382764816
10,model.layers.10,1,0.07785891741514206,0.18463759124279022
10,model.layers.10,2,0.06841501593589783,0.25305260717868805
