layer_idx,layer_name,component_idx,variance_explained_ratio,cumulative_var_explained
0,model.layers.0,0,0.17605318129062653,0.17605318129062653
0,model.layers.0,1,0.12885038554668427,0.3049035668373108
0,model.layers.0,2,0.10443025082349777,0.40933381766080856
0,model.layers.0,3,0.07706232368946075,0.4863961413502693
0,model.layers.0,4,0.0579652413725853,0.5443613827228546
1,model.layers.1,0,0.1964963972568512,0.1964963972568512
1,model.layers.1,1,0.11183872073888779,0.308335117995739
1,model.layers.1,2,0.0922643318772316,0.4005994498729706
1,model.layers.1,3,0.08153872191905975,0.48213817179203033
1,model.layers.1,4,0.052622485905885696,0.534760657697916
2,model.layers.2,0,0.20492544770240784,0.20492544770240784
2,model.layers.2,1,0.11341080069541931,0.31833624839782715
2,model.layers.2,2,0.0899212583899498,0.40825750678777695
2,model.layers.2,3,0.07675092667341232,0.48500843346118927
2,model.layers.2,4,0.05032181367278099,0.5353302471339703
3,model.layers.3,0,0.1535760462284088,0.1535760462284088
3,model.layers.3,1,0.11058422178030014,0.26416026800870895
3,model.layers.3,2,0.08109374344348907,0.34525401145219803
3,model.layers.3,3,0.07011959701776505,0.4153736084699631
3,model.layers.3,4,0.05149277672171593,0.466866385191679
4,model.layers.4,0,0.14974060654640198,0.14974060654640198
4,model.layers.4,1,0.11409264802932739,0.26383325457572937
4,model.layers.4,2,0.07221321761608124,0.3360464721918106
4,model.layers.4,3,0.06165523827075958,0.3977017104625702
4,model.layers.4,4,0.057817619293928146,0.45551932975649834
5,model.layers.5,0,0.18720103800296783,0.18720103800296783
5,model.layers.5,1,0.12752914428710938,0.3147301822900772
5,model.layers.5,2,0.06524821370840073,0.37997839599847794
5,model.layers.5,3,0.05926467105746269,0.43924306705594063
5,model.layers.5,4,0.05487588047981262,0.49411894753575325
6,model.layers.6,0,0.1787087619304657,0.1787087619304657
6,model.layers.6,1,0.124057337641716,0.3027660995721817
6,model.layers.6,2,0.08070505410432816,0.38347115367650986
6,model.layers.6,3,0.05764000117778778,0.44111115485429764
6,model.layers.6,4,0.05624609813094139,0.49735725298523903
7,model.layers.7,0,0.16873714327812195,0.16873714327812195
7,model.layers.7,1,0.11526723206043243,0.2840043753385544
7,model.layers.7,2,0.09504102915525436,0.37904540449380875
7,model.layers.7,3,0.06315167993307114,0.4421970844268799
7,model.layers.7,4,0.05503770709037781,0.4972347915172577
8,model.layers.8,0,0.1559949368238449,0.1559949368238449
8,model.layers.8,1,0.10680567473173141,0.2628006115555763
8,model.layers.8,2,0.09409909695386887,0.3568997085094452
8,model.layers.8,3,0.07391644269227982,0.430816151201725
8,model.layers.8,4,0.059280913323163986,0.490097064524889
9,model.layers.9,0,0.14022095501422882,0.14022095501422882
9,model.layers.9,1,0.1053377017378807,0.24555865675210953
9,model.layers.9,2,0.09754202514886856,0.3431006819009781
9,model.layers.9,3,0.06919090449810028,0.41229158639907837
9,model.layers.9,4,0.05529242008924484,0.4675840064883232
10,model.layers.10,0,0.13622552156448364,0.13622552156448364
10,model.layers.10,1,0.10764434933662415,0.2438698709011078
10,model.layers.10,2,0.08843939006328583,0.3323092609643936
10,model.layers.10,3,0.07093240320682526,0.40324166417121887
10,model.layers.10,4,0.05868026241660118,0.46192192658782005
11,model.layers.11,0,0.13344891369342804,0.13344891369342804
11,model.layers.11,1,0.10966282337903976,0.2431117370724678
11,model.layers.11,2,0.08256443589925766,0.32567617297172546
11,model.layers.11,3,0.06615126878023148,0.39182744175195694
11,model.layers.11,4,0.05976283922791481,0.45159028097987175
12,model.layers.12,0,0.128555029630661,0.128555029630661
12,model.layers.12,1,0.10961126536130905,0.23816629499197006
12,model.layers.12,2,0.08476139605045319,0.32292769104242325
12,model.layers.12,3,0.06283215433359146,0.3857598453760147
12,model.layers.12,4,0.057273127138614655,0.44303297251462936
13,model.layers.13,0,0.12394232302904129,0.12394232302904129
13,model.layers.13,1,0.11470474302768707,0.23864706605672836
13,model.layers.13,2,0.08209727704524994,0.3207443431019783
13,model.layers.13,3,0.061359625309705734,0.38210396841168404
13,model.layers.13,4,0.05851270630955696,0.440616674721241
14,model.layers.14,0,0.12969732284545898,0.12969732284545898
14,model.layers.14,1,0.10644686967134476,0.23614419251680374
14,model.layers.14,2,0.08326634019613266,0.3194105327129364
14,model.layers.14,3,0.0638691782951355,0.3832797110080719
14,model.layers.14,4,0.058261439204216,0.4415411502122879
15,model.layers.15,0,0.13087095320224762,0.13087095320224762
15,model.layers.15,1,0.10651276260614395,0.23738371580839157
15,model.layers.15,2,0.07903236895799637,0.31641608476638794
15,model.layers.15,3,0.07282067835330963,0.38923676311969757
15,model.layers.15,4,0.05658893659710884,0.4458256997168064
