layer_idx,layer_name,component_idx,variance_explained_ratio,cumulative_var_explained
0,model.layers.0,0,0.3597700893878937,0.3597700893878937
0,model.layers.0,1,0.17675012350082397,0.5365202128887177
0,model.layers.0,2,0.12181542813777924,0.6583356410264969
0,model.layers.0,3,0.07029347121715546,0.7286291122436523
0,model.layers.0,4,0.05642680451273918,0.7850559167563915
1,model.layers.1,0,0.3644872009754181,0.3644872009754181
1,model.layers.1,1,0.1360219120979309,0.500509113073349
1,model.layers.1,2,0.09126435220241547,0.5917734652757645
1,model.layers.1,3,0.05547033250331879,0.6472437977790833
1,model.layers.1,4,0.042442724108695984,0.6896865218877792
2,model.layers.2,0,0.3548787832260132,0.3548787832260132
2,model.layers.2,1,0.14700685441493988,0.5018856376409531
2,model.layers.2,2,0.0895189419388771,0.5914045795798302
2,model.layers.2,3,0.059676915407180786,0.651081494987011
2,model.layers.2,4,0.04016243293881416,0.6912439279258251
3,model.layers.3,0,0.2558608055114746,0.2558608055114746
3,model.layers.3,1,0.1354173719882965,0.3912781774997711
3,model.layers.3,2,0.08764220029115677,0.4789203777909279
3,model.layers.3,3,0.059269100427627563,0.5381894782185555
3,model.layers.3,4,0.039330657571554184,0.5775201357901096
4,model.layers.4,0,0.17850743234157562,0.17850743234157562
4,model.layers.4,1,0.13098347187042236,0.309490904211998
4,model.layers.4,2,0.08141689002513885,0.39090779423713684
4,model.layers.4,3,0.05127926170825958,0.4421870559453964
4,model.layers.4,4,0.03988473862409592,0.48207179456949234
5,model.layers.5,0,0.1721108853816986,0.1721108853816986
5,model.layers.5,1,0.1330026388168335,0.3051135241985321
5,model.layers.5,2,0.0835602730512619,0.388673797249794
5,model.layers.5,3,0.051848892122507095,0.4405226893723011
5,model.layers.5,4,0.0431315042078495,0.4836541935801506
6,model.layers.6,0,0.15821219980716705,0.15821219980716705
6,model.layers.6,1,0.13436540961265564,0.2925776094198227
6,model.layers.6,2,0.07611033320426941,0.3686879426240921
6,model.layers.6,3,0.048657722771167755,0.41734566539525986
6,model.layers.6,4,0.04286679998040199,0.46021246537566185
7,model.layers.7,0,0.15689495205879211,0.15689495205879211
7,model.layers.7,1,0.12692968547344208,0.2838246375322342
7,model.layers.7,2,0.07513093203306198,0.3589555695652962
7,model.layers.7,3,0.0444335862994194,0.4033891558647156
7,model.layers.7,4,0.04061220958828926,0.44400136545300484
8,model.layers.8,0,0.16188117861747742,0.16188117861747742
8,model.layers.8,1,0.12016084045171738,0.2820420190691948
8,model.layers.8,2,0.06698186695575714,0.34902388602495193
8,model.layers.8,3,0.04236045852303505,0.391384344547987
8,model.layers.8,4,0.03948972746729851,0.4308740720152855
9,model.layers.9,0,0.15446354448795319,0.15446354448795319
9,model.layers.9,1,0.12263345718383789,0.2770970016717911
9,model.layers.9,2,0.06709641218185425,0.3441934138536453
9,model.layers.9,3,0.04160606116056442,0.38579947501420975
9,model.layers.9,4,0.04041705280542374,0.4262165278196335
10,model.layers.10,0,0.15727755427360535,0.15727755427360535
10,model.layers.10,1,0.11702404171228409,0.27430159598588943
10,model.layers.10,2,0.06579657644033432,0.34009817242622375
10,model.layers.10,3,0.041811998933553696,0.38191017135977745
10,model.layers.10,4,0.039550259709358215,0.42146043106913567
11,model.layers.11,0,0.15753427147865295,0.15753427147865295
11,model.layers.11,1,0.12178628146648407,0.279320552945137
11,model.layers.11,2,0.06696228682994843,0.34628283977508545
11,model.layers.11,3,0.04230399429798126,0.3885868340730667
11,model.layers.11,4,0.040470533072948456,0.42905736714601517
12,model.layers.12,0,0.14915548264980316,0.14915548264980316
12,model.layers.12,1,0.12627239525318146,0.2754278779029846
12,model.layers.12,2,0.07068470865488052,0.34611258655786514
12,model.layers.12,3,0.044096991419792175,0.3902095779776573
12,model.layers.12,4,0.03998270630836487,0.4301922842860222
13,model.layers.13,0,0.15022803843021393,0.15022803843021393
13,model.layers.13,1,0.14031490683555603,0.29054294526576996
13,model.layers.13,2,0.07091771811246872,0.3614606633782387
13,model.layers.13,3,0.04543089121580124,0.4068915545940399
13,model.layers.13,4,0.03939438611268997,0.4462859407067299
14,model.layers.14,0,0.16681143641471863,0.16681143641471863
14,model.layers.14,1,0.14542870223522186,0.3122401386499405
14,model.layers.14,2,0.0696464478969574,0.3818865865468979
14,model.layers.14,3,0.05187752842903137,0.43376411497592926
14,model.layers.14,4,0.03965149074792862,0.4734156057238579
15,model.layers.15,0,0.17213353514671326,0.17213353514671326
15,model.layers.15,1,0.1545688360929489,0.32670237123966217
15,model.layers.15,2,0.0743122473359108,0.40101461857557297
15,model.layers.15,3,0.054989293217659,0.45600391179323196
15,model.layers.15,4,0.046154312789440155,0.5021582245826721
16,model.layers.16,0,0.1840773969888687,0.1840773969888687
16,model.layers.16,1,0.15921032428741455,0.34328772127628326
16,model.layers.16,2,0.07966605573892593,0.4229537770152092
16,model.layers.16,3,0.05344511196017265,0.47639888897538185
16,model.layers.16,4,0.04476839676499367,0.5211672857403755
17,model.layers.17,0,0.1861204355955124,0.1861204355955124
17,model.layers.17,1,0.1676664501428604,0.3537868857383728
17,model.layers.17,2,0.08076073974370956,0.43454762548208237
17,model.layers.17,3,0.05898206681013107,0.49352969229221344
17,model.layers.17,4,0.045879606157541275,0.5394092984497547
18,model.layers.18,0,0.19622744619846344,0.19622744619846344
18,model.layers.18,1,0.16463759541511536,0.3608650416135788
18,model.layers.18,2,0.07671333104372025,0.43757837265729904
18,model.layers.18,3,0.06028833985328674,0.4978667125105858
18,model.layers.18,4,0.047437556087970734,0.5453042685985565
19,model.layers.19,0,0.2004246860742569,0.2004246860742569
19,model.layers.19,1,0.16487999260425568,0.3653046786785126
19,model.layers.19,2,0.07539395242929459,0.44069863110780716
19,model.layers.19,3,0.061905257403850555,0.5026038885116577
19,model.layers.19,4,0.046502742916345596,0.5491066314280033
