layer_idx,layer_name,component_idx,variance_explained_ratio,cumulative_var_explained
0,model.layers.0,0,0.1471158266067505,0.1471158266067505
0,model.layers.0,1,0.062346603721380234,0.20946243032813072
0,model.layers.0,2,0.05456472188234329,0.264027152210474
0,model.layers.0,3,0.04839625582098961,0.3124234080314636
0,model.layers.0,4,0.04552115872502327,0.3579445667564869
1,model.layers.1,0,0.10827090591192245,0.10827090591192245
1,model.layers.1,1,0.058933060616254807,0.16720396652817726
1,model.layers.1,2,0.0517130084335804,0.21891697496175766
1,model.layers.1,3,0.04884877800941467,0.26776575297117233
1,model.layers.1,4,0.047225307673215866,0.3149910606443882
2,model.layers.2,0,0.10799692571163177,0.10799692571163177
2,model.layers.2,1,0.0683329850435257,0.17632991075515747
2,model.layers.2,2,0.0547478012740612,0.23107771202921867
2,model.layers.2,3,0.048539258539676666,0.27961697056889534
2,model.layers.2,4,0.04747781157493591,0.32709478214383125
3,model.layers.3,0,0.09366480261087418,0.09366480261087418
3,model.layers.3,1,0.06415929645299911,0.1578240990638733
3,model.layers.3,2,0.05232781544327736,0.21015191450715065
3,model.layers.3,3,0.04803716763854027,0.2581890821456909
3,model.layers.3,4,0.044269878417253494,0.3024589605629444
4,model.layers.4,0,0.1073431670665741,0.1073431670665741
4,model.layers.4,1,0.06260059773921967,0.16994376480579376
4,model.layers.4,2,0.05284491553902626,0.22278868034482002
4,model.layers.4,3,0.047677379101514816,0.27046605944633484
4,model.layers.4,4,0.04072727635502815,0.311193335801363
5,model.layers.5,0,0.0991852805018425,0.0991852805018425
5,model.layers.5,1,0.056916508823633194,0.1561017893254757
5,model.layers.5,2,0.04530658200383186,0.20140837132930756
5,model.layers.5,3,0.04399118572473526,0.24539955705404282
5,model.layers.5,4,0.04157564789056778,0.2869752049446106
6,model.layers.6,0,0.09674058854579926,0.09674058854579926
6,model.layers.6,1,0.05638008564710617,0.15312067419290543
6,model.layers.6,2,0.04669557139277458,0.19981624558568
6,model.layers.6,3,0.04493091627955437,0.24474716186523438
6,model.layers.6,4,0.04212178662419319,0.28686894848942757
7,model.layers.7,0,0.09402382373809814,0.09402382373809814
7,model.layers.7,1,0.056777045130729675,0.15080086886882782
7,model.layers.7,2,0.04834127053618431,0.19914213940501213
7,model.layers.7,3,0.046004924923181534,0.24514706432819366
7,model.layers.7,4,0.04397856071591377,0.28912562504410744
8,model.layers.8,0,0.09336979687213898,0.09336979687213898
8,model.layers.8,1,0.05619674548506737,0.14956654235720634
8,model.layers.8,2,0.04978535324335098,0.19935189560055733
8,model.layers.8,3,0.046658001840114594,0.24600989744067192
8,model.layers.8,4,0.04315132275223732,0.28916122019290924
9,model.layers.9,0,0.10260108858346939,0.10260108858346939
9,model.layers.9,1,0.05705367028713226,0.15965475887060165
9,model.layers.9,2,0.05007775500416756,0.2097325138747692
9,model.layers.9,3,0.048612792044878006,0.2583453059196472
9,model.layers.9,4,0.04089127853512764,0.29923658445477486
10,model.layers.10,0,0.1041409820318222,0.1041409820318222
10,model.layers.10,1,0.06187460198998451,0.16601558402180672
10,model.layers.10,2,0.05068470165133476,0.21670028567314148
10,model.layers.10,3,0.046282362192869186,0.26298264786601067
10,model.layers.10,4,0.04287657514214516,0.3058592230081558
11,model.layers.11,0,0.10673344880342484,0.10673344880342484
11,model.layers.11,1,0.06742320209741592,0.17415665090084076
11,model.layers.11,2,0.04962432011961937,0.22378097102046013
