layer_idx,layer_name,component_idx,variance_explained_ratio,cumulative_var_explained
0,model.layers.0,0,0.1759304702281952,0.1759304702281952
0,model.layers.0,1,0.07957221567630768,0.25550268590450287
0,model.layers.0,2,0.062175218015909195,0.31767790392041206
0,model.layers.0,3,0.053571902215480804,0.37124980613589287
0,model.layers.0,4,0.044231269508600235,0.4154810756444931
1,model.layers.1,0,0.11627110838890076,0.11627110838890076
1,model.layers.1,1,0.07803270220756531,0.19430381059646606
1,model.layers.1,2,0.06050622835755348,0.25481003895401955
1,model.layers.1,3,0.05357135459780693,0.3083813935518265
1,model.layers.1,4,0.042965326458215714,0.3513467200100422
2,model.layers.2,0,0.11360172182321548,0.11360172182321548
2,model.layers.2,1,0.07776731252670288,0.19136903434991837
2,model.layers.2,2,0.05794761702418327,0.24931665137410164
2,model.layers.2,3,0.05514342337846756,0.3044600747525692
2,model.layers.2,4,0.047004736959934235,0.35146481171250343
3,model.layers.3,0,0.12767064571380615,0.12767064571380615
3,model.layers.3,1,0.0730178952217102,0.20068854093551636
3,model.layers.3,2,0.05329488217830658,0.25398342311382294
3,model.layers.3,3,0.050519317388534546,0.3045027405023575
3,model.layers.3,4,0.04472004249691963,0.3492227829992771
4,model.layers.4,0,0.16558362543582916,0.16558362543582916
4,model.layers.4,1,0.07383918017148972,0.23942280560731888
4,model.layers.4,2,0.05717694014310837,0.29659974575042725
4,model.layers.4,3,0.04649529978632927,0.3430950455367565
4,model.layers.4,4,0.041319590061903,0.3844146355986595
5,model.layers.5,0,0.1542448252439499,0.1542448252439499
5,model.layers.5,1,0.07129482924938202,0.2255396544933319
5,model.layers.5,2,0.05677454546093941,0.2823141999542713
5,model.layers.5,3,0.04771609604358673,0.33003029599785805
5,model.layers.5,4,0.04176049306988716,0.3717907890677452
6,model.layers.6,0,0.21668192744255066,0.21668192744255066
6,model.layers.6,1,0.06689413636922836,0.283576063811779
6,model.layers.6,2,0.05557822436094284,0.33915428817272186
6,model.layers.6,3,0.0448666512966156,0.38402093946933746
6,model.layers.6,4,0.039210669696331024,0.4232316091656685
7,model.layers.7,0,0.18988898396492004,0.18988898396492004
7,model.layers.7,1,0.07449081540107727,0.2643797993659973
7,model.layers.7,2,0.05975634977221489,0.3241361491382122
7,model.layers.7,3,0.04452062025666237,0.3686567693948746
7,model.layers.7,4,0.03915724903345108,0.40781401842832565
8,model.layers.8,0,0.16909125447273254,0.16909125447273254
8,model.layers.8,1,0.07470200210809708,0.24379325658082962
8,model.layers.8,2,0.06286530196666718,0.3066585585474968
8,model.layers.8,3,0.046032700687646866,0.35269125923514366
8,model.layers.8,4,0.041403092443943024,0.3940943516790867
9,model.layers.9,0,0.17297713458538055,0.17297713458538055
9,model.layers.9,1,0.07573379576206207,0.24871093034744263
9,model.layers.9,2,0.062883161008358,0.31159409135580063
9,model.layers.9,3,0.04624715819954872,0.35784124955534935
9,model.layers.9,4,0.043908458203077316,0.40174970775842667
10,model.layers.10,0,0.17525194585323334,0.17525194585323334
10,model.layers.10,1,0.07448294013738632,0.24973488599061966
10,model.layers.10,2,0.0673336535692215,0.31706853955984116
10,model.layers.10,3,0.045435771346092224,0.3625043109059334
10,model.layers.10,4,0.04424625262618065,0.40675056353211403
11,model.layers.11,0,0.1743393838405609,0.1743393838405609
11,model.layers.11,1,0.07061424106359482,0.24495362490415573
11,model.layers.11,2,0.06547529250383377,0.3104289174079895
11,model.layers.11,3,0.04675336182117462,0.3571822792291641
