layer_idx,layer_name,component_idx,variance_explained_ratio,cumulative_var_explained
0,model.layers.0,0,0.9073424339294434,0.9073424339294434
0,model.layers.0,1,0.011682631447911263,0.9190250653773546
0,model.layers.0,2,0.008411663584411144,0.9274367289617658
0,model.layers.0,3,0.007652150467038155,0.9350888794288039
0,model.layers.0,4,0.005942057818174362,0.9410309372469783
1,model.layers.1,0,0.9998102188110352,0.9998102188110352
1,model.layers.1,1,1.8916482076747343e-05,0.9998291352931119
1,model.layers.1,2,1.599239112692885e-05,0.9998451276842388
1,model.layers.1,3,1.5614366930094548e-05,0.9998607420511689
1,model.layers.1,4,1.2545518075057771e-05,0.999873287569244
2,model.layers.2,0,0.9996103644371033,0.9996103644371033
2,model.layers.2,1,3.90063833037857e-05,0.9996493708204071
2,model.layers.2,2,3.396184911252931e-05,0.9996833326695196
2,model.layers.2,3,3.338043097755872e-05,0.9997167131004971
2,model.layers.2,4,2.7363872504793108e-05,0.9997440769730019
3,model.layers.3,0,0.9992787837982178,0.9992787837982178
3,model.layers.3,1,7.322958845179528e-05,0.9993520133866696
3,model.layers.3,2,6.469133222708479e-05,0.9994167047188967
3,model.layers.3,3,5.0710190407698974e-05,0.9994674149093044
3,model.layers.3,4,4.4296270061749965e-05,0.9995117111793661
4,model.layers.4,0,0.998819887638092,0.998819887638092
4,model.layers.4,1,0.00015307178546208888,0.9989729594235541
4,model.layers.4,2,9.511058306088671e-05,0.999068070006615
4,model.layers.4,3,8.318509208038449e-05,0.9991512550986954
4,model.layers.4,4,7.349805673584342e-05,0.9992247531554312
5,model.layers.5,0,0.9982005953788757,0.9982005953788757
5,model.layers.5,1,0.00021541911701206118,0.9984160144958878
5,model.layers.5,2,0.0001445184025214985,0.9985605328984093
5,model.layers.5,3,0.00012355500075500458,0.9986840878991643
5,model.layers.5,4,0.00011258498852839693,0.9987966728876927
6,model.layers.6,0,0.9971714019775391,0.9971714019775391
6,model.layers.6,1,0.00048358167987316847,0.9976549836574122
6,model.layers.6,2,0.00023555940424557775,0.9978905430616578
6,model.layers.6,3,0.00021066619956400245,0.9981012092612218
6,model.layers.6,4,0.0001686127216089517,0.9982698219828308
7,model.layers.7,0,0.9961962103843689,0.9961962103843689
7,model.layers.7,1,0.0005895706126466393,0.9967857809970155
7,model.layers.7,2,0.00033062079455703497,0.9971164017915726
7,model.layers.7,3,0.00026709120720624924,0.9973834929987788
7,model.layers.7,4,0.00023174285888671875,0.9976152358576655
8,model.layers.8,0,0.9952207207679749,0.9952207207679749
8,model.layers.8,1,0.0006708257715217769,0.9958915465394966
8,model.layers.8,2,0.00043611106229946017,0.9963276576017961
8,model.layers.8,3,0.00032534560887143016,0.9966530032106675
8,model.layers.8,4,0.0002964181185234338,0.996949421329191
9,model.layers.9,0,0.9938267469406128,0.9938267469406128
9,model.layers.9,1,0.0008765041129663587,0.9947032510535792
9,model.layers.9,2,0.0005840992089360952,0.9952873502625152
9,model.layers.9,3,0.00045248251990415156,0.9957398327824194
9,model.layers.9,4,0.0003808187320828438,0.9961206515145022
10,model.layers.10,0,0.9921113848686218,0.9921113848686218
10,model.layers.10,1,0.0011743743671104312,0.9932857592357323
10,model.layers.10,2,0.0007641713600605726,0.9940499305957928
10,model.layers.10,3,0.0005760918720625341,0.9946260224678554
10,model.layers.10,4,0.0004884222871623933,0.9951144447550178
11,model.layers.11,0,0.990089476108551,0.990089476108551
11,model.layers.11,1,0.0014469627058133483,0.9915364388143644
11,model.layers.11,2,0.0009264179388992488,0.9924628567532636
11,model.layers.11,3,0.0006873663514852524,0.9931502231047489
11,model.layers.11,4,0.0006025077309459448,0.9937527308356948
12,model.layers.12,0,0.9880849719047546,0.9880849719047546
12,model.layers.12,1,0.001968827797099948,0.9900537997018546
12,model.layers.12,2,0.001074736937880516,0.9911285366397351
12,model.layers.12,3,0.0007904855301603675,0.9919190221698955
12,model.layers.12,4,0.0006973609561100602,0.9926163831260055
13,model.layers.13,0,0.9856603741645813,0.9856603741645813
13,model.layers.13,1,0.0023726040963083506,0.9880329782608896
13,model.layers.13,2,0.0012921459274366498,0.9893251241883263
13,model.layers.13,3,0.0009160207700915635,0.9902411449584179
