layer_idx,layer_name,component_idx,variance_explained_ratio,cumulative_var_explained
0,model.layers.0,0,0.20353670418262482,0.20353670418262482
0,model.layers.0,1,0.10592807084321976,0.3094647750258446
0,model.layers.0,2,0.06809015572071075,0.37755493074655533
0,model.layers.0,3,0.05563367158174515,0.4331886023283005
0,model.layers.0,4,0.05173775181174278,0.48492635414004326
1,model.layers.1,0,0.14336280524730682,0.14336280524730682
1,model.layers.1,1,0.10839851200580597,0.2517613172531128
1,model.layers.1,2,0.06998319178819656,0.32174450904130936
1,model.layers.1,3,0.05588233843445778,0.37762684747576714
1,model.layers.1,4,0.05454616993665695,0.4321730174124241
2,model.layers.2,0,0.14870582520961761,0.14870582520961761
2,model.layers.2,1,0.09591414034366608,0.2446199655532837
2,model.layers.2,2,0.06500494480133057,0.30962491035461426
2,model.layers.2,3,0.060443151742219925,0.3700680620968342
2,model.layers.2,4,0.052479516714811325,0.4225475788116455
3,model.layers.3,0,0.16939231753349304,0.16939231753349304
3,model.layers.3,1,0.07773829251527786,0.2471306100487709
3,model.layers.3,2,0.06813715398311615,0.31526776403188705
3,model.layers.3,3,0.05617954209446907,0.3714473061263561
3,model.layers.3,4,0.04906510189175606,0.4205124080181122
4,model.layers.4,0,0.21084892749786377,0.21084892749786377
4,model.layers.4,1,0.07624581456184387,0.28709474205970764
4,model.layers.4,2,0.0708821564912796,0.35797689855098724
4,model.layers.4,3,0.053181495517492294,0.41115839406847954
4,model.layers.4,4,0.04792969673871994,0.4590880908071995
5,model.layers.5,0,0.18874132633209229,0.18874132633209229
5,model.layers.5,1,0.08268480002880096,0.27142612636089325
5,model.layers.5,2,0.06753720343112946,0.3389633297920227
5,model.layers.5,3,0.05913246423006058,0.3980957940220833
5,model.layers.5,4,0.04569035768508911,0.4437861517071724
6,model.layers.6,0,0.2600558400154114,0.2600558400154114
6,model.layers.6,1,0.09070820361375809,0.35076404362916946
6,model.layers.6,2,0.07284855842590332,0.4236126020550728
6,model.layers.6,3,0.049405135214328766,0.47301773726940155
6,model.layers.6,4,0.04168719798326492,0.5147049352526665
7,model.layers.7,0,0.24428126215934753,0.24428126215934753
7,model.layers.7,1,0.09222382307052612,0.33650508522987366
7,model.layers.7,2,0.06422977894544601,0.40073486417531967
7,model.layers.7,3,0.04968846216797829,0.45042332634329796
7,model.layers.7,4,0.04358793795108795,0.4940112642943859
8,model.layers.8,0,0.2173434942960739,0.2173434942960739
8,model.layers.8,1,0.09384343028068542,0.31118692457675934
8,model.layers.8,2,0.06388360261917114,0.3750705271959305
8,model.layers.8,3,0.04955677315592766,0.42462730035185814
8,model.layers.8,4,0.04497106373310089,0.46959836408495903
9,model.layers.9,0,0.20393724739551544,0.20393724739551544
9,model.layers.9,1,0.09297433495521545,0.2969115823507309
9,model.layers.9,2,0.06776569783687592,0.3646772801876068
9,model.layers.9,3,0.051374055445194244,0.41605133563280106
9,model.layers.9,4,0.04547497630119324,0.4615263119339943
10,model.layers.10,0,0.20735520124435425,0.20735520124435425
10,model.layers.10,1,0.09172800183296204,0.2990832030773163
10,model.layers.10,2,0.06874904781579971,0.367832250893116
10,model.layers.10,3,0.05170835554599762,0.4195406064391136
10,model.layers.10,4,0.044308219105005264,0.4638488255441189
11,model.layers.11,0,0.21346966922283173,0.21346966922283173
11,model.layers.11,1,0.09122231602668762,0.30469198524951935
11,model.layers.11,2,0.0658268928527832,0.37051887810230255
11,model.layers.11,3,0.05541405826807022,0.42593293637037277
11,model.layers.11,4,0.04780685901641846,0.47373979538679123
12,model.layers.12,0,0.2309942990541458,0.2309942990541458
12,model.layers.12,1,0.08726973831653595,0.31826403737068176
12,model.layers.12,2,0.06428323686122894,0.3825472742319107
12,model.layers.12,3,0.054233964532613754,0.43678123876452446
12,model.layers.12,4,0.049246761947870255,0.4860280007123947
13,model.layers.13,0,0.22564208507537842,0.22564208507537842
13,model.layers.13,1,0.08871574699878693,0.31435783207416534
13,model.layers.13,2,0.06587634980678558,0.3802341818809509
13,model.layers.13,3,0.055481359362602234,0.43571554124355316
13,model.layers.13,4,0.04877204820513725,0.4844875894486904
14,model.layers.14,0,0.21982823312282562,0.21982823312282562
14,model.layers.14,1,0.09440232813358307,0.3142305612564087
14,model.layers.14,2,0.069212406873703,0.3834429681301117
14,model.layers.14,3,0.057312339544296265,0.44075530767440796
14,model.layers.14,4,0.04920141398906708,0.48995672166347504
15,model.layers.15,0,0.22760342061519623,0.22760342061519623
15,model.layers.15,1,0.09166120737791061,0.31926462799310684
15,model.layers.15,2,0.06517695635557175,0.3844415843486786
15,model.layers.15,3,0.06121068820357323,0.4456522725522518
15,model.layers.15,4,0.04716935753822327,0.4928216300904751
16,model.layers.16,0,0.24516503512859344,0.24516503512859344
16,model.layers.16,1,0.094053253531456,0.33921828866004944
16,model.layers.16,2,0.06256341934204102,0.40178170800209045
16,model.layers.16,3,0.05909653380513191,0.46087824180722237
16,model.layers.16,4,0.04215362295508385,0.5030318647623062
17,model.layers.17,0,0.23317715525627136,0.23317715525627136
17,model.layers.17,1,0.09041777998209,0.32359493523836136
17,model.layers.17,2,0.06387150287628174,0.3874664381146431
17,model.layers.17,3,0.06315704435110092,0.450623482465744
17,model.layers.17,4,0.04080980271100998,0.491433285176754
18,model.layers.18,0,0.2263222187757492,0.2263222187757492
18,model.layers.18,1,0.08591204136610031,0.3122342601418495
18,model.layers.18,2,0.0636388510465622,0.3758731111884117
18,model.layers.18,3,0.061335571110248566,0.4372086822986603
18,model.layers.18,4,0.04190204665064812,0.4791107289493084
19,model.layers.19,0,0.2237330675125122,0.2237330675125122
19,model.layers.19,1,0.08199253678321838,0.3057256042957306
19,model.layers.19,2,0.06267861276865005,0.36840421706438065
19,model.layers.19,3,0.05676281824707985,0.4251670353114605
19,model.layers.19,4,0.04099345952272415,0.46616049483418465
20,model.layers.20,0,0.20909863710403442,0.20909863710403442
20,model.layers.20,1,0.0802830159664154,0.28938165307044983
20,model.layers.20,2,0.06271468102931976,0.3520963340997696
20,model.layers.20,3,0.053674597293138504,0.4057709313929081
20,model.layers.20,4,0.04184558615088463,0.4476165175437927
21,model.layers.21,0,0.18324460089206696,0.18324460089206696
21,model.layers.21,1,0.07889865338802338,0.26214325428009033
21,model.layers.21,2,0.06666559725999832,0.32880885154008865
21,model.layers.21,3,0.0555594265460968,0.38436827808618546
21,model.layers.21,4,0.04404895380139351,0.42841723188757896
22,model.layers.22,0,0.16930203139781952,0.16930203139781952
22,model.layers.22,1,0.07821009308099747,0.24751212447881699
22,model.layers.22,2,0.0666838139295578,0.3141959384083748
22,model.layers.22,3,0.05665010213851929,0.3708460405468941
22,model.layers.22,4,0.04532862454652786,0.41617466509342194
23,model.layers.23,0,0.1633715182542801,0.1633715182542801
23,model.layers.23,1,0.07987792789936066,0.24324944615364075
23,model.layers.23,2,0.07245077192783356,0.3157002180814743
23,model.layers.23,3,0.055698689073324203,0.3713989071547985
23,model.layers.23,4,0.0461747907102108,0.4175736978650093
24,model.layers.24,0,0.15530671179294586,0.15530671179294586
24,model.layers.24,1,0.07937542349100113,0.234682135283947
24,model.layers.24,2,0.07208442687988281,0.3067665621638298
24,model.layers.24,3,0.05398349463939667,0.36075005680322647
24,model.layers.24,4,0.04660964012145996,0.40735969692468643
25,model.layers.25,0,0.1522546410560608,0.1522546410560608
25,model.layers.25,1,0.07925662398338318,0.23151126503944397
25,model.layers.25,2,0.07334078848361969,0.30485205352306366
25,model.layers.25,3,0.051076699048280716,0.3559287525713444
25,model.layers.25,4,0.04689425230026245,0.4028230048716068
26,model.layers.26,0,0.14973831176757812,0.14973831176757812
26,model.layers.26,1,0.08704697340726852,0.23678528517484665
26,model.layers.26,2,0.07080870121717453,0.3075939863920212
26,model.layers.26,3,0.05076013132929802,0.3583541177213192
26,model.layers.26,4,0.0462215319275856,0.4045756496489048
27,model.layers.27,0,0.14637120068073273,0.14637120068073273
27,model.layers.27,1,0.08742599934339523,0.23379720002412796
27,model.layers.27,2,0.06944461166858673,0.3032418116927147
27,model.layers.27,3,0.04867767542600632,0.351919487118721
27,model.layers.27,4,0.04793311282992363,0.39985259994864464
28,model.layers.28,0,0.14541180431842804,0.14541180431842804
28,model.layers.28,1,0.09060052782297134,0.23601233214139938
28,model.layers.28,2,0.06575634330511093,0.3017686754465103
28,model.layers.28,3,0.04985101521015167,0.351619690656662
28,model.layers.28,4,0.0472099706530571,0.3988296613097191
29,model.layers.29,0,0.16312944889068604,0.16312944889068604
29,model.layers.29,1,0.0896294116973877,0.25275886058807373
29,model.layers.29,2,0.06121925637125969,0.3139781169593334
29,model.layers.29,3,0.04936607927083969,0.3633441962301731
29,model.layers.29,4,0.044529832899570465,0.4078740291297436
30,model.layers.30,0,0.17184600234031677,0.17184600234031677
30,model.layers.30,1,0.08681941777467728,0.25866542011499405
30,model.layers.30,2,0.0567745640873909,0.31543998420238495
30,model.layers.30,3,0.052350450307130814,0.36779043450951576
30,model.layers.30,4,0.044316694140434265,0.41210712864995
31,model.layers.31,0,0.16035594046115875,0.16035594046115875
31,model.layers.31,1,0.0838867649435997,0.24424270540475845
31,model.layers.31,2,0.057684276252985,0.30192698165774345
31,model.layers.31,3,0.048119913786649704,0.35004689544439316
31,model.layers.31,4,0.046106960624456406,0.39615385606884956
