layer_idx,layer_name,component_idx,variance_explained_ratio,cumulative_var_explained
0,model.layers.0,0,0.12816251814365387,0.12816251814365387
0,model.layers.0,1,0.1043478399515152,0.23251035809516907
0,model.layers.0,2,0.06430575251579285,0.2968161106109619
0,model.layers.0,3,0.032959312200546265,0.3297754228115082
0,model.layers.0,4,0.02820698544383049,0.35798240825533867
1,model.layers.1,0,0.10530985891819,0.10530985891819
1,model.layers.1,1,0.09648856520652771,0.2017984241247177
1,model.layers.1,2,0.09088075906038284,0.29267918318510056
1,model.layers.1,3,0.036852121353149414,0.32953130453824997
1,model.layers.1,4,0.03547777235507965,0.3650090768933296
2,model.layers.2,0,0.22748342156410217,0.22748342156410217
2,model.layers.2,1,0.07691013813018799,0.30439355969429016
2,model.layers.2,2,0.05567384883761406,0.3600674085319042
2,model.layers.2,3,0.03090776316821575,0.39097517170011997
2,model.layers.2,4,0.02724192850291729,0.41821710020303726
3,model.layers.3,0,0.17266573011875153,0.17266573011875153
3,model.layers.3,1,0.08813019096851349,0.260795921087265
3,model.layers.3,2,0.05045878887176514,0.31125470995903015
3,model.layers.3,3,0.033534709364175797,0.34478941932320595
3,model.layers.3,4,0.02625686302781105,0.371046282351017
4,model.layers.4,0,0.14639894664287567,0.14639894664287567
4,model.layers.4,1,0.07537693530321121,0.22177588194608688
4,model.layers.4,2,0.05828385427594185,0.28005973622202873
4,model.layers.4,3,0.03518330678343773,0.31524304300546646
4,model.layers.4,4,0.02647555060684681,0.34171859361231327
5,model.layers.5,0,0.15274351835250854,0.15274351835250854
5,model.layers.5,1,0.08321422338485718,0.23595774173736572
5,model.layers.5,2,0.05753443017601967,0.2934921719133854
5,model.layers.5,3,0.040128566324710846,0.33362073823809624
5,model.layers.5,4,0.02454829029738903,0.35816902853548527
6,model.layers.6,0,0.1471511423587799,0.1471511423587799
6,model.layers.6,1,0.08607245236635208,0.233223594725132
6,model.layers.6,2,0.05377361550927162,0.2869972102344036
6,model.layers.6,3,0.0430440679192543,0.3300412781536579
6,model.layers.6,4,0.02531537227332592,0.35535665042698383
7,model.layers.7,0,0.15104234218597412,0.15104234218597412
7,model.layers.7,1,0.07868638634681702,0.22972872853279114
7,model.layers.7,2,0.054859310388565063,0.2845880389213562
7,model.layers.7,3,0.04943681135773659,0.3340248502790928
7,model.layers.7,4,0.022147921845316887,0.3561727721244097
8,model.layers.8,0,0.15363606810569763,0.15363606810569763
8,model.layers.8,1,0.06771185994148254,0.22134792804718018
8,model.layers.8,2,0.0512535385787487,0.2726014666259289
8,model.layers.8,3,0.04849591106176376,0.32109737768769264
8,model.layers.8,4,0.024667102843523026,0.34576448053121567
9,model.layers.9,0,0.15852516889572144,0.15852516889572144
9,model.layers.9,1,0.06385618448257446,0.2223813533782959
9,model.layers.9,2,0.04923158884048462,0.2716129422187805
9,model.layers.9,3,0.038332778960466385,0.3099457211792469
9,model.layers.9,4,0.022443633526563644,0.33238935470581055
10,model.layers.10,0,0.15392327308654785,0.15392327308654785
10,model.layers.10,1,0.06075945869088173,0.21468273177742958
10,model.layers.10,2,0.05143351852893829,0.2661162503063679
10,model.layers.10,3,0.041530340909957886,0.30764659121632576
10,model.layers.10,4,0.024961965158581734,0.3326085563749075
11,model.layers.11,0,0.16462814807891846,0.16462814807891846
11,model.layers.11,1,0.05869589373469353,0.22332404181361198
11,model.layers.11,2,0.049846209585666656,0.27317025139927864
11,model.layers.11,3,0.03989090397953987,0.3130611553788185
11,model.layers.11,4,0.024576541036367416,0.33763769641518593
12,model.layers.12,0,0.16365498304367065,0.16365498304367065
12,model.layers.12,1,0.059607211500406265,0.22326219454407692
12,model.layers.12,2,0.0483960285782814,0.2716582231223583
12,model.layers.12,3,0.041250333189964294,0.3129085563123226
12,model.layers.12,4,0.025375137105584145,0.33828369341790676
13,model.layers.13,0,0.14429116249084473,0.14429116249084473
13,model.layers.13,1,0.05720735341310501,0.20149851590394974
13,model.layers.13,2,0.04928771033883095,0.2507862262427807
13,model.layers.13,3,0.03815902769565582,0.2889452539384365
13,model.layers.13,4,0.027035074308514595,0.3159803282469511
14,model.layers.14,0,0.14409805834293365,0.14409805834293365
14,model.layers.14,1,0.0573318749666214,0.20142993330955505
14,model.layers.14,2,0.05462312698364258,0.25605306029319763
14,model.layers.14,3,0.03897341340780258,0.2950264737010002
14,model.layers.14,4,0.02741800993680954,0.32244448363780975
15,model.layers.15,0,0.1449134349822998,0.1449134349822998
15,model.layers.15,1,0.05735090374946594,0.20226433873176575
15,model.layers.15,2,0.05410601571202278,0.25637035444378853
15,model.layers.15,3,0.03977624326944351,0.29614659771323204
15,model.layers.15,4,0.028348300606012344,0.3244948983192444
16,model.layers.16,0,0.14055508375167847,0.14055508375167847
16,model.layers.16,1,0.05796205252408981,0.19851713627576828
