layer_idx,layer_name,component_idx,variance_explained_ratio,cumulative_var_explained
0,model.layers.0,0,0.5108163356781006,0.5108163356781006
0,model.layers.0,1,0.10731467604637146,0.618131011724472
0,model.layers.0,2,0.04897410795092583,0.6671051196753979
0,model.layers.0,3,0.02740495465695858,0.6945100743323565
0,model.layers.0,4,0.01458671223372221,0.7090967865660787
1,model.layers.1,0,0.47968995571136475,0.47968995571136475
1,model.layers.1,1,0.09065713733434677,0.5703470930457115
1,model.layers.1,2,0.06827223300933838,0.6386193260550499
1,model.layers.1,3,0.0332631915807724,0.6718825176358223
1,model.layers.1,4,0.026948856189846992,0.6988313738256693
2,model.layers.2,0,0.39945849776268005,0.39945849776268005
2,model.layers.2,1,0.09588641673326492,0.495344914495945
2,model.layers.2,2,0.07010085135698318,0.5654457658529282
2,model.layers.2,3,0.03681521490216255,0.6022609807550907
2,model.layers.2,4,0.02982635609805584,0.6320873368531466
3,model.layers.3,0,0.3227244019508362,0.3227244019508362
3,model.layers.3,1,0.09559949487447739,0.41832389682531357
3,model.layers.3,2,0.06497831642627716,0.48330221325159073
3,model.layers.3,3,0.03961028531193733,0.5229124985635281
3,model.layers.3,4,0.03284739330410957,0.5557598918676376
4,model.layers.4,0,0.2675168216228485,0.2675168216228485
4,model.layers.4,1,0.10320542752742767,0.3707222491502762
4,model.layers.4,2,0.08013111352920532,0.4508533626794815
4,model.layers.4,3,0.04438289999961853,0.49523626267910004
4,model.layers.4,4,0.037315595895051956,0.532551858574152
5,model.layers.5,0,0.2702154219150543,0.2702154219150543
5,model.layers.5,1,0.10774075239896774,0.37795617431402206
5,model.layers.5,2,0.07990808039903641,0.45786425471305847
5,model.layers.5,3,0.04535091668367386,0.5032151713967323
5,model.layers.5,4,0.03890879452228546,0.5421239659190178
6,model.layers.6,0,0.24381238222122192,0.24381238222122192
6,model.layers.6,1,0.10149551182985306,0.345307894051075
6,model.layers.6,2,0.08221094310283661,0.4275188371539116
6,model.layers.6,3,0.048016130924224854,0.47553496807813644
6,model.layers.6,4,0.03736262023448944,0.5128975883126259
7,model.layers.7,0,0.20631219446659088,0.20631219446659088
7,model.layers.7,1,0.09185709059238434,0.2981692850589752
7,model.layers.7,2,0.08384115248918533,0.38201043754816055
7,model.layers.7,3,0.04216354712843895,0.4241739846765995
7,model.layers.7,4,0.037553053349256516,0.461727038025856
8,model.layers.8,0,0.18648838996887207,0.18648838996887207
8,model.layers.8,1,0.0906982570886612,0.27718664705753326
8,model.layers.8,2,0.07354552298784256,0.3507321700453758
8,model.layers.8,3,0.03903751075267792,0.38976968079805374
8,model.layers.8,4,0.03774081543087959,0.42751049622893333
9,model.layers.9,0,0.182261660695076,0.182261660695076
9,model.layers.9,1,0.08555015176534653,0.2678118124604225
9,model.layers.9,2,0.06710617989301682,0.33491799235343933
9,model.layers.9,3,0.039843566715717316,0.37476155906915665
9,model.layers.9,4,0.03631258010864258,0.4110741391777992
10,model.layers.10,0,0.17516230046749115,0.17516230046749115
10,model.layers.10,1,0.08756410330533981,0.26272640377283096
10,model.layers.10,2,0.0629064068198204,0.32563281059265137
10,model.layers.10,3,0.04516516253352165,0.370797973126173
10,model.layers.10,4,0.03625994175672531,0.40705791488289833
11,model.layers.11,0,0.16909165680408478,0.16909165680408478
11,model.layers.11,1,0.08819768577814102,0.2572893425822258
11,model.layers.11,2,0.06103380024433136,0.31832314282655716
11,model.layers.11,3,0.045492157340049744,0.3638153001666069
11,model.layers.11,4,0.03741336986422539,0.4012286700308323
12,model.layers.12,0,0.17330791056156158,0.17330791056156158
12,model.layers.12,1,0.08668547868728638,0.25999338924884796
12,model.layers.12,2,0.06299332529306412,0.3229867145419121
12,model.layers.12,3,0.043376609683036804,0.3663633242249489
12,model.layers.12,4,0.0372302383184433,0.4035935625433922
13,model.layers.13,0,0.16711165010929108,0.16711165010929108
13,model.layers.13,1,0.08488025516271591,0.251991905272007
13,model.layers.13,2,0.06361936032772064,0.31561126559972763
13,model.layers.13,3,0.043700769543647766,0.3593120351433754
13,model.layers.13,4,0.03761601448059082,0.3969280496239662
14,model.layers.14,0,0.1694394052028656,0.1694394052028656
14,model.layers.14,1,0.08229231834411621,0.2517317235469818
14,model.layers.14,2,0.06809670478105545,0.31982842832803726
14,model.layers.14,3,0.043710168451070786,0.36353859677910805
14,model.layers.14,4,0.04062977805733681,0.40416837483644485
15,model.layers.15,0,0.17407405376434326,0.17407405376434326
15,model.layers.15,1,0.08442630618810654,0.2585003599524498
15,model.layers.15,2,0.06488380581140518,0.323384165763855
15,model.layers.15,3,0.04484807327389717,0.36823223903775215
15,model.layers.15,4,0.04041291028261185,0.408645149320364
16,model.layers.16,0,0.17622727155685425,0.17622727155685425
16,model.layers.16,1,0.07940787076950073,0.255635142326355
16,model.layers.16,2,0.06569276750087738,0.32132790982723236
16,model.layers.16,3,0.04486548528075218,0.36619339510798454
16,model.layers.16,4,0.03904198482632637,0.4052353799343109
17,model.layers.17,0,0.17641454935073853,0.17641454935073853
17,model.layers.17,1,0.07921731472015381,0.25563186407089233
17,model.layers.17,2,0.06548399478197098,0.3211158588528633
17,model.layers.17,3,0.04483376070857048,0.3659496195614338
17,model.layers.17,4,0.03904995694756508,0.40499957650899887
18,model.layers.18,0,0.1792532354593277,0.1792532354593277
18,model.layers.18,1,0.08582311868667603,0.2650763541460037
18,model.layers.18,2,0.06838610768318176,0.3334624618291855
18,model.layers.18,3,0.04760388284921646,0.38106634467840195
18,model.layers.18,4,0.037344180047512054,0.418410524725914
19,model.layers.19,0,0.16978779435157776,0.16978779435157776
19,model.layers.19,1,0.08608462661504745,0.2558724209666252
19,model.layers.19,2,0.0710863396525383,0.3269587606191635
19,model.layers.19,3,0.04839492589235306,0.37535368651151657
19,model.layers.19,4,0.04221462830901146,0.41756831482052803
20,model.layers.20,0,0.1515347957611084,0.1515347957611084
20,model.layers.20,1,0.09004873037338257,0.24158352613449097
20,model.layers.20,2,0.07366172224283218,0.31524524837732315
20,model.layers.20,3,0.04931358993053436,0.3645588383078575
20,model.layers.20,4,0.044427189975976944,0.40898602828383446
21,model.layers.21,0,0.13826367259025574,0.13826367259025574
21,model.layers.21,1,0.08814544975757599,0.22640912234783173
21,model.layers.21,2,0.06933178752660751,0.29574090987443924
21,model.layers.21,3,0.050491806119680405,0.34623271599411964
21,model.layers.21,4,0.04740010201931,0.39363281801342964
22,model.layers.22,0,0.1151130348443985,0.1151130348443985
22,model.layers.22,1,0.0830073282122612,0.1981203630566597
22,model.layers.22,2,0.06645268201828003,0.26457304507493973
22,model.layers.22,3,0.054413922131061554,0.3189869672060013
22,model.layers.22,4,0.048490673303604126,0.3674776405096054
23,model.layers.23,0,0.1050521731376648,0.1050521731376648
23,model.layers.23,1,0.08151308447122574,0.18656525760889053
23,model.layers.23,2,0.06306380033493042,0.24962905794382095
23,model.layers.23,3,0.056026507169008255,0.3056555651128292
23,model.layers.23,4,0.04597689211368561,0.3516324572265148
24,model.layers.24,0,0.09520691633224487,0.09520691633224487
24,model.layers.24,1,0.07791140675544739,0.17311832308769226
24,model.layers.24,2,0.0633942037820816,0.23651252686977386
24,model.layers.24,3,0.05386637523770332,0.2903789021074772
24,model.layers.24,4,0.04284658655524254,0.3332254886627197
25,model.layers.25,0,0.08922119438648224,0.08922119438648224
25,model.layers.25,1,0.07273025810718536,0.1619514524936676
25,model.layers.25,2,0.06838472932577133,0.23033618181943893
25,model.layers.25,3,0.055587928742170334,0.28592411056160927
25,model.layers.25,4,0.042851537466049194,0.32877564802765846
26,model.layers.26,0,0.07879390567541122,0.07879390567541122
26,model.layers.26,1,0.06773746013641357,0.1465313658118248
26,model.layers.26,2,0.06267508864402771,0.2092064544558525
26,model.layers.26,3,0.05746203660964966,0.26666849106550217
26,model.layers.26,4,0.04089001938700676,0.3075585104525089
27,model.layers.27,0,0.155410036444664,0.155410036444664
27,model.layers.27,1,0.07562337070703506,0.23103340715169907
27,model.layers.27,2,0.0662321001291275,0.29726550728082657
27,model.layers.27,3,0.04682961106300354,0.3440951183438301
27,model.layers.27,4,0.041339367628097534,0.38543448597192764
