layer_idx,layer_name,component_idx,variance_explained_ratio,cumulative_var_explained
0,model.layers.0,0,0.3039496839046478,0.3039496839046478
0,model.layers.0,1,0.18157456815242767,0.4855242520570755
0,model.layers.0,2,0.10964301973581314,0.5951672717928886
0,model.layers.0,3,0.0681123435497284,0.663279615342617
0,model.layers.0,4,0.05153357982635498,0.714813195168972
1,model.layers.1,0,0.3413894474506378,0.3413894474506378
1,model.layers.1,1,0.1627616584300995,0.5041511058807373
1,model.layers.1,2,0.0926538035273552,0.5968049094080925
1,model.layers.1,3,0.06907074898481369,0.6658756583929062
1,model.layers.1,4,0.04171696677803993,0.7075926251709461
2,model.layers.2,0,0.32628580927848816,0.32628580927848816
2,model.layers.2,1,0.1349431425333023,0.46122895181179047
2,model.layers.2,2,0.10484706610441208,0.5660760179162025
2,model.layers.2,3,0.08049346506595612,0.6465694829821587
2,model.layers.2,4,0.058286648243665695,0.7048561312258244
3,model.layers.3,0,0.3275984227657318,0.3275984227657318
3,model.layers.3,1,0.14735105633735657,0.4749494791030884
3,model.layers.3,2,0.09469405561685562,0.569643534719944
3,model.layers.3,3,0.0628502294421196,0.6324937641620636
3,model.layers.3,4,0.046032316982746124,0.6785260811448097
4,model.layers.4,0,0.2672906219959259,0.2672906219959259
4,model.layers.4,1,0.13046425580978394,0.39775487780570984
4,model.layers.4,2,0.1064133420586586,0.5041682198643684
4,model.layers.4,3,0.0728270635008812,0.5769952833652496
4,model.layers.4,4,0.04466992989182472,0.6216652132570744
5,model.layers.5,0,0.2841951549053192,0.2841951549053192
5,model.layers.5,1,0.13778382539749146,0.42197898030281067
5,model.layers.5,2,0.1060771495103836,0.5280561298131943
5,model.layers.5,3,0.07062513381242752,0.5986812636256218
5,model.layers.5,4,0.041309185326099396,0.6399904489517212
6,model.layers.6,0,0.26852357387542725,0.26852357387542725
6,model.layers.6,1,0.12687614560127258,0.39539971947669983
6,model.layers.6,2,0.09690903127193451,0.49230875074863434
6,model.layers.6,3,0.06892523914575577,0.5612339898943901
6,model.layers.6,4,0.04404018074274063,0.6052741706371307
7,model.layers.7,0,0.22338372468948364,0.22338372468948364
7,model.layers.7,1,0.14087606966495514,0.3642597943544388
7,model.layers.7,2,0.09392745047807693,0.4581872448325157
7,model.layers.7,3,0.06369318813085556,0.5218804329633713
7,model.layers.7,4,0.04293541982769966,0.5648158527910709
8,model.layers.8,0,0.1955007165670395,0.1955007165670395
8,model.layers.8,1,0.15327732264995575,0.34877803921699524
8,model.layers.8,2,0.08899931609630585,0.4377773553133011
8,model.layers.8,3,0.05778783559799194,0.49556519091129303
8,model.layers.8,4,0.038485392928123474,0.5340505838394165
9,model.layers.9,0,0.18518884479999542,0.18518884479999542
9,model.layers.9,1,0.15645062923431396,0.3416394740343094
9,model.layers.9,2,0.08633662015199661,0.427976094186306
9,model.layers.9,3,0.05655871331691742,0.4845348075032234
9,model.layers.9,4,0.040653664618730545,0.525188472121954
10,model.layers.10,0,0.1841508001089096,0.1841508001089096
10,model.layers.10,1,0.1647162139415741,0.3488670140504837
10,model.layers.10,2,0.08738311380147934,0.43625012785196304
10,model.layers.10,3,0.054533764719963074,0.4907838925719261
10,model.layers.10,4,0.04055226594209671,0.5313361585140228
11,model.layers.11,0,0.1757008135318756,0.1757008135318756
11,model.layers.11,1,0.16283096373081207,0.3385317772626877
11,model.layers.11,2,0.08334507048130035,0.42187684774398804
11,model.layers.11,3,0.052609436213970184,0.4744862839579582
11,model.layers.11,4,0.039618119597435,0.5141044035553932
12,model.layers.12,0,0.1834086924791336,0.1834086924791336
12,model.layers.12,1,0.16516561806201935,0.34857431054115295
12,model.layers.12,2,0.08476271480321884,0.4333370253443718
12,model.layers.12,3,0.050460077822208405,0.4837971031665802
12,model.layers.12,4,0.03881596773862839,0.5226130709052086
13,model.layers.13,0,0.18079887330532074,0.18079887330532074
13,model.layers.13,1,0.1653466522693634,0.34614552557468414
13,model.layers.13,2,0.0810963362455368,0.42724186182022095
13,model.layers.13,3,0.04937367886304855,0.4766155406832695
13,model.layers.13,4,0.03814180940389633,0.5147573500871658
14,model.layers.14,0,0.1891809105873108,0.1891809105873108
14,model.layers.14,1,0.16013123095035553,0.3493121415376663
14,model.layers.14,2,0.0836721658706665,0.4329843074083328
14,model.layers.14,3,0.05105001479387283,0.48403432220220566
14,model.layers.14,4,0.03918515518307686,0.5232194773852825
15,model.layers.15,0,0.18855790793895721,0.18855790793895721
15,model.layers.15,1,0.16065174341201782,0.34920965135097504
15,model.layers.15,2,0.08650168776512146,0.4357113391160965
15,model.layers.15,3,0.05026857182383537,0.48597991093993187
15,model.layers.15,4,0.03879522904753685,0.5247751399874687
16,model.layers.16,0,0.1902909129858017,0.1902909129858017
16,model.layers.16,1,0.15823549032211304,0.34852640330791473
16,model.layers.16,2,0.08858827501535416,0.4371146783232689
16,model.layers.16,3,0.05117709934711456,0.48829177767038345
16,model.layers.16,4,0.03928693011403084,0.5275787077844143
17,model.layers.17,0,0.19652000069618225,0.19652000069618225
17,model.layers.17,1,0.15655605494976044,0.3530760556459427
17,model.layers.17,2,0.09033843874931335,0.44341449439525604
17,model.layers.17,3,0.054288096725940704,0.49770259112119675
17,model.layers.17,4,0.040846340358257294,0.538548931479454
18,model.layers.18,0,0.20688462257385254,0.20688462257385254
18,model.layers.18,1,0.15217171609401703,0.35905633866786957
18,model.layers.18,2,0.0895012766122818,0.44855761528015137
18,model.layers.18,3,0.055286508053541183,0.5038441233336926
18,model.layers.18,4,0.043852049857378006,0.5476961731910706
19,model.layers.19,0,0.21815384924411774,0.21815384924411774
19,model.layers.19,1,0.15124712884426117,0.3694009780883789
19,model.layers.19,2,0.08614031970500946,0.45554129779338837
19,model.layers.19,3,0.05731057748198509,0.5128518752753735
19,model.layers.19,4,0.04689467325806618,0.5597465485334396
20,model.layers.20,0,0.2105792909860611,0.2105792909860611
