permutation_seed,perm_trial_idx,layer_idx,layer_name,subspace_cosine_sim,n_layers_permuted,model_key,behavior
42000,0,0,model.layers.0,1.0,21,gemma,formality
42000,0,1,model.layers.1,0.8418766260147095,21,gemma,formality
42000,0,2,model.layers.2,0.6461867094039917,21,gemma,formality
42000,0,3,model.layers.3,0.6057600378990173,21,gemma,formality
42000,0,4,model.layers.4,0.5510480999946594,21,gemma,formality
42000,0,5,model.layers.5,0.526536762714386,21,gemma,formality
42000,0,6,model.layers.6,0.4502178728580475,21,gemma,formality
42000,0,7,model.layers.7,0.35422173142433167,21,gemma,formality
42000,0,8,model.layers.8,0.3161974549293518,21,gemma,formality
42000,0,9,model.layers.9,0.31549373269081116,21,gemma,formality
42000,0,10,model.layers.10,0.2744109034538269,21,gemma,formality
42000,0,11,model.layers.11,0.26174837350845337,21,gemma,formality
42000,0,12,model.layers.12,0.2560889720916748,21,gemma,formality
42000,0,13,model.layers.13,0.2526298463344574,21,gemma,formality
42000,0,14,model.layers.14,0.2789553105831146,21,gemma,formality
42000,0,15,model.layers.15,0.2737606167793274,21,gemma,formality
42000,0,16,model.layers.16,0.24884815514087677,21,gemma,formality
42000,0,17,model.layers.17,0.2292930632829666,21,gemma,formality
42000,0,18,model.layers.18,0.24601714313030243,21,gemma,formality
42000,0,19,model.layers.19,0.24376296997070312,21,gemma,formality
42000,0,20,model.layers.20,0.26568078994750977,21,gemma,formality
42000,0,21,model.layers.21,0.23389434814453125,21,gemma,formality
42000,0,22,model.layers.22,0.2593255341053009,21,gemma,formality
42000,0,23,model.layers.23,0.22600415349006653,21,gemma,formality
42000,0,24,model.layers.24,0.2530960440635681,21,gemma,formality
42000,0,25,model.layers.25,0.24812033772468567,21,gemma,formality
42000,0,26,model.layers.26,0.22984977066516876,21,gemma,formality
42000,0,27,model.layers.27,0.3021060824394226,21,gemma,formality
42000,0,28,model.layers.28,0.32658565044403076,21,gemma,formality
42000,0,29,model.layers.29,0.3096190392971039,21,gemma,formality
42000,0,30,model.layers.30,0.32825368642807007,21,gemma,formality
42000,0,31,model.layers.31,0.35999512672424316,21,gemma,formality
42000,0,32,model.layers.32,0.33714795112609863,21,gemma,formality
42000,0,33,model.layers.33,0.31725025177001953,21,gemma,formality
42000,0,34,model.layers.34,0.3048156201839447,21,gemma,formality
42000,0,35,model.layers.35,0.2678050398826599,21,gemma,formality
42000,0,36,model.layers.36,0.26449960470199585,21,gemma,formality
42000,0,37,model.layers.37,0.22334782779216766,21,gemma,formality
42000,0,38,model.layers.38,0.19075992703437805,21,gemma,formality
42000,0,39,model.layers.39,0.1583862006664276,21,gemma,formality
42000,0,40,model.layers.40,0.17966562509536743,21,gemma,formality
42000,0,41,model.layers.41,0.24945776164531708,21,gemma,formality
42001,1,0,model.layers.0,0.696996808052063,21,gemma,formality
42001,1,1,model.layers.1,0.48769888281822205,21,gemma,formality
42001,1,2,model.layers.2,0.4369310736656189,21,gemma,formality
42001,1,3,model.layers.3,0.3712494373321533,21,gemma,formality
42001,1,4,model.layers.4,0.28346237540245056,21,gemma,formality
42001,1,5,model.layers.5,0.261162132024765,21,gemma,formality
42001,1,6,model.layers.6,0.24394139647483826,21,gemma,formality
42001,1,7,model.layers.7,0.22548480331897736,21,gemma,formality
42001,1,8,model.layers.8,0.2926155924797058,21,gemma,formality
42001,1,9,model.layers.9,0.2668132185935974,21,gemma,formality
42001,1,10,model.layers.10,0.28228330612182617,21,gemma,formality
42001,1,11,model.layers.11,0.2661365866661072,21,gemma,formality
42001,1,12,model.layers.12,0.2603837549686432,21,gemma,formality
42001,1,13,model.layers.13,0.2710701823234558,21,gemma,formality
42001,1,14,model.layers.14,0.27275097370147705,21,gemma,formality
42001,1,15,model.layers.15,0.2717401385307312,21,gemma,formality
42001,1,16,model.layers.16,0.2646203637123108,21,gemma,formality
42001,1,17,model.layers.17,0.2405298948287964,21,gemma,formality
42001,1,18,model.layers.18,0.2320789396762848,21,gemma,formality
42001,1,19,model.layers.19,0.20827440917491913,21,gemma,formality
42001,1,20,model.layers.20,0.20716015994548798,21,gemma,formality
42001,1,21,model.layers.21,0.20311467349529266,21,gemma,formality
42001,1,22,model.layers.22,0.20978713035583496,21,gemma,formality
42001,1,23,model.layers.23,0.2138863056898117,21,gemma,formality
