permutation_seed,perm_trial_idx,layer_idx,layer_name,subspace_cosine_sim,n_layers_permuted,model_key,behavior
42000,0,0,model.layers.0,0.9999998211860657,21,gemma,sycophancy_suppression
42000,0,1,model.layers.1,0.8199249505996704,21,gemma,sycophancy_suppression
42000,0,2,model.layers.2,0.5159783959388733,21,gemma,sycophancy_suppression
42000,0,3,model.layers.3,0.49296507239341736,21,gemma,sycophancy_suppression
42000,0,4,model.layers.4,0.4377327859401703,21,gemma,sycophancy_suppression
42000,0,5,model.layers.5,0.39964932203292847,21,gemma,sycophancy_suppression
42000,0,6,model.layers.6,0.39436760544776917,21,gemma,sycophancy_suppression
42000,0,7,model.layers.7,0.37728947401046753,21,gemma,sycophancy_suppression
42000,0,8,model.layers.8,0.34661027789115906,21,gemma,sycophancy_suppression
42000,0,9,model.layers.9,0.3382454514503479,21,gemma,sycophancy_suppression
42000,0,10,model.layers.10,0.3176068961620331,21,gemma,sycophancy_suppression
42000,0,11,model.layers.11,0.25313395261764526,21,gemma,sycophancy_suppression
42000,0,12,model.layers.12,0.22679586708545685,21,gemma,sycophancy_suppression
42000,0,13,model.layers.13,0.2224535048007965,21,gemma,sycophancy_suppression
42000,0,14,model.layers.14,0.2702485918998718,21,gemma,sycophancy_suppression
42000,0,15,model.layers.15,0.2611357271671295,21,gemma,sycophancy_suppression
42000,0,16,model.layers.16,0.24225649237632751,21,gemma,sycophancy_suppression
42000,0,17,model.layers.17,0.2145320624113083,21,gemma,sycophancy_suppression
42000,0,18,model.layers.18,0.20158414542675018,21,gemma,sycophancy_suppression
42000,0,19,model.layers.19,0.2313656508922577,21,gemma,sycophancy_suppression
42000,0,20,model.layers.20,0.22780737280845642,21,gemma,sycophancy_suppression
42000,0,21,model.layers.21,0.21212896704673767,21,gemma,sycophancy_suppression
42000,0,22,model.layers.22,0.23694725334644318,21,gemma,sycophancy_suppression
42000,0,23,model.layers.23,0.212850883603096,21,gemma,sycophancy_suppression
42000,0,24,model.layers.24,0.22470799088478088,21,gemma,sycophancy_suppression
42000,0,25,model.layers.25,0.24722719192504883,21,gemma,sycophancy_suppression
42000,0,26,model.layers.26,0.28086036443710327,21,gemma,sycophancy_suppression
42000,0,27,model.layers.27,0.3315557837486267,21,gemma,sycophancy_suppression
42000,0,28,model.layers.28,0.3453897535800934,21,gemma,sycophancy_suppression
42000,0,29,model.layers.29,0.3249601721763611,21,gemma,sycophancy_suppression
42000,0,30,model.layers.30,0.344777911901474,21,gemma,sycophancy_suppression
42000,0,31,model.layers.31,0.3815552890300751,21,gemma,sycophancy_suppression
42000,0,32,model.layers.32,0.3575919270515442,21,gemma,sycophancy_suppression
42000,0,33,model.layers.33,0.3580028712749481,21,gemma,sycophancy_suppression
42000,0,34,model.layers.34,0.36451032757759094,21,gemma,sycophancy_suppression
42000,0,35,model.layers.35,0.3208642601966858,21,gemma,sycophancy_suppression
42000,0,36,model.layers.36,0.3218589723110199,21,gemma,sycophancy_suppression
42000,0,37,model.layers.37,0.269074022769928,21,gemma,sycophancy_suppression
42000,0,38,model.layers.38,0.26295655965805054,21,gemma,sycophancy_suppression
42000,0,39,model.layers.39,0.2464779168367386,21,gemma,sycophancy_suppression
42000,0,40,model.layers.40,0.26485198736190796,21,gemma,sycophancy_suppression
42000,0,41,model.layers.41,0.3148042559623718,21,gemma,sycophancy_suppression
42001,1,0,model.layers.0,0.7033941149711609,21,gemma,sycophancy_suppression
42001,1,1,model.layers.1,0.5553669333457947,21,gemma,sycophancy_suppression
42001,1,2,model.layers.2,0.45792126655578613,21,gemma,sycophancy_suppression
42001,1,3,model.layers.3,0.3861093521118164,21,gemma,sycophancy_suppression
42001,1,4,model.layers.4,0.29053935408592224,21,gemma,sycophancy_suppression
42001,1,5,model.layers.5,0.2875633239746094,21,gemma,sycophancy_suppression
42001,1,6,model.layers.6,0.2974476218223572,21,gemma,sycophancy_suppression
42001,1,7,model.layers.7,0.2755509912967682,21,gemma,sycophancy_suppression
42001,1,8,model.layers.8,0.29378408193588257,21,gemma,sycophancy_suppression
42001,1,9,model.layers.9,0.2893299460411072,21,gemma,sycophancy_suppression
42001,1,10,model.layers.10,0.274036169052124,21,gemma,sycophancy_suppression
42001,1,11,model.layers.11,0.24353957176208496,21,gemma,sycophancy_suppression
42001,1,12,model.layers.12,0.2237178534269333,21,gemma,sycophancy_suppression
42001,1,13,model.layers.13,0.24922016263008118,21,gemma,sycophancy_suppression
42001,1,14,model.layers.14,0.21939627826213837,21,gemma,sycophancy_suppression
42001,1,15,model.layers.15,0.19527766108512878,21,gemma,sycophancy_suppression
42001,1,16,model.layers.16,0.2262866199016571,21,gemma,sycophancy_suppression
42001,1,17,model.layers.17,0.21966318786144257,21,gemma,sycophancy_suppression
42001,1,18,model.layers.18,0.20507876574993134,21,gemma,sycophancy_suppression
42001,1,19,model.layers.19,0.20713022351264954,21,gemma,sycophancy_suppression
42001,1,20,model.layers.20,0.2043459713459015,21,gemma,sycophancy_suppression
42001,1,21,model.layers.21,0.2110009640455246,21,gemma,sycophancy_suppression
42001,1,22,model.layers.22,0.2304854840040207,21,gemma,sycophancy_suppression
42001,1,23,model.layers.23,0.233646959066391,21,gemma,sycophancy_suppression
42001,1,24,model.layers.24,0.24379710853099823,21,gemma,sycophancy_suppression
42001,1,25,model.layers.25,0.22175905108451843,21,gemma,sycophancy_suppression
42001,1,26,model.layers.26,0.19818688929080963,21,gemma,sycophancy_suppression
42001,1,27,model.layers.27,0.2525642514228821,21,gemma,sycophancy_suppression
42001,1,28,model.layers.28,0.2710338234901428,21,gemma,sycophancy_suppression
42001,1,29,model.layers.29,0.2601650357246399,21,gemma,sycophancy_suppression
42001,1,30,model.layers.30,0.23950476944446564,21,gemma,sycophancy_suppression
