permutation_seed,perm_trial_idx,layer_idx,layer_name,subspace_cosine_sim,n_layers_permuted,model_key,behavior
42000,0,0,model.layers.0,0.9999998807907104,21,gemma,uncertainty_expression
42000,0,1,model.layers.1,0.8764065504074097,21,gemma,uncertainty_expression
42000,0,2,model.layers.2,0.6710596680641174,21,gemma,uncertainty_expression
42000,0,3,model.layers.3,0.6180954575538635,21,gemma,uncertainty_expression
42000,0,4,model.layers.4,0.5082591772079468,21,gemma,uncertainty_expression
42000,0,5,model.layers.5,0.4444798529148102,21,gemma,uncertainty_expression
42000,0,6,model.layers.6,0.40231266617774963,21,gemma,uncertainty_expression
42000,0,7,model.layers.7,0.36175093054771423,21,gemma,uncertainty_expression
42000,0,8,model.layers.8,0.3267020583152771,21,gemma,uncertainty_expression
42000,0,9,model.layers.9,0.30256029963493347,21,gemma,uncertainty_expression
42000,0,10,model.layers.10,0.2566324472427368,21,gemma,uncertainty_expression
42000,0,11,model.layers.11,0.24521371722221375,21,gemma,uncertainty_expression
42000,0,12,model.layers.12,0.23647566139698029,21,gemma,uncertainty_expression
42000,0,13,model.layers.13,0.19933834671974182,21,gemma,uncertainty_expression
42000,0,14,model.layers.14,0.2424887865781784,21,gemma,uncertainty_expression
42000,0,15,model.layers.15,0.27290311455726624,21,gemma,uncertainty_expression
42000,0,16,model.layers.16,0.24344196915626526,21,gemma,uncertainty_expression
42000,0,17,model.layers.17,0.2010229527950287,21,gemma,uncertainty_expression
42000,0,18,model.layers.18,0.24302668869495392,21,gemma,uncertainty_expression
42000,0,19,model.layers.19,0.21097716689109802,21,gemma,uncertainty_expression
42000,0,20,model.layers.20,0.23135098814964294,21,gemma,uncertainty_expression
42000,0,21,model.layers.21,0.2260073721408844,21,gemma,uncertainty_expression
42000,0,22,model.layers.22,0.25461989641189575,21,gemma,uncertainty_expression
42000,0,23,model.layers.23,0.23970119655132294,21,gemma,uncertainty_expression
42000,0,24,model.layers.24,0.24654099345207214,21,gemma,uncertainty_expression
42000,0,25,model.layers.25,0.2626890540122986,21,gemma,uncertainty_expression
42000,0,26,model.layers.26,0.25431469082832336,21,gemma,uncertainty_expression
42000,0,27,model.layers.27,0.2869499921798706,21,gemma,uncertainty_expression
42000,0,28,model.layers.28,0.2917245328426361,21,gemma,uncertainty_expression
42000,0,29,model.layers.29,0.2670765221118927,21,gemma,uncertainty_expression
42000,0,30,model.layers.30,0.2661135792732239,21,gemma,uncertainty_expression
42000,0,31,model.layers.31,0.2906481623649597,21,gemma,uncertainty_expression
42000,0,32,model.layers.32,0.26358744502067566,21,gemma,uncertainty_expression
42000,0,33,model.layers.33,0.2566835880279541,21,gemma,uncertainty_expression
42000,0,34,model.layers.34,0.2455175668001175,21,gemma,uncertainty_expression
42000,0,35,model.layers.35,0.22483250498771667,21,gemma,uncertainty_expression
42000,0,36,model.layers.36,0.22381314635276794,21,gemma,uncertainty_expression
42000,0,37,model.layers.37,0.20349016785621643,21,gemma,uncertainty_expression
42000,0,38,model.layers.38,0.2071721851825714,21,gemma,uncertainty_expression
42000,0,39,model.layers.39,0.2098589837551117,21,gemma,uncertainty_expression
42000,0,40,model.layers.40,0.230681374669075,21,gemma,uncertainty_expression
42000,0,41,model.layers.41,0.3076300621032715,21,gemma,uncertainty_expression
42001,1,0,model.layers.0,0.6595336198806763,21,gemma,uncertainty_expression
42001,1,1,model.layers.1,0.5816184282302856,21,gemma,uncertainty_expression
42001,1,2,model.layers.2,0.5097120404243469,21,gemma,uncertainty_expression
42001,1,3,model.layers.3,0.43015775084495544,21,gemma,uncertainty_expression
42001,1,4,model.layers.4,0.3133675456047058,21,gemma,uncertainty_expression
42001,1,5,model.layers.5,0.24588540196418762,21,gemma,uncertainty_expression
