permutation_seed,perm_trial_idx,layer_idx,layer_name,subspace_cosine_sim,n_layers_permuted,model_key,behavior
42000,0,0,model.layers.0,0.9999998807907104,21,gemma,verbosity_control
42000,0,1,model.layers.1,0.9152767062187195,21,gemma,verbosity_control
42000,0,2,model.layers.2,0.7975295782089233,21,gemma,verbosity_control
42000,0,3,model.layers.3,0.775631308555603,21,gemma,verbosity_control
42000,0,4,model.layers.4,0.7125177383422852,21,gemma,verbosity_control
42000,0,5,model.layers.5,0.6470643877983093,21,gemma,verbosity_control
42000,0,6,model.layers.6,0.5885425806045532,21,gemma,verbosity_control
42000,0,7,model.layers.7,0.5511139631271362,21,gemma,verbosity_control
42000,0,8,model.layers.8,0.5287357568740845,21,gemma,verbosity_control
42000,0,9,model.layers.9,0.514074444770813,21,gemma,verbosity_control
42000,0,10,model.layers.10,0.4730446934700012,21,gemma,verbosity_control
42000,0,11,model.layers.11,0.4663822650909424,21,gemma,verbosity_control
42000,0,12,model.layers.12,0.4527333378791809,21,gemma,verbosity_control
42000,0,13,model.layers.13,0.4227544367313385,21,gemma,verbosity_control
42000,0,14,model.layers.14,0.4014793336391449,21,gemma,verbosity_control
42000,0,15,model.layers.15,0.43784981966018677,21,gemma,verbosity_control
42000,0,16,model.layers.16,0.43599843978881836,21,gemma,verbosity_control
42000,0,17,model.layers.17,0.40542536973953247,21,gemma,verbosity_control
42000,0,18,model.layers.18,0.3850027322769165,21,gemma,verbosity_control
42000,0,19,model.layers.19,0.3465690016746521,21,gemma,verbosity_control
42000,0,20,model.layers.20,0.3388618230819702,21,gemma,verbosity_control
42000,0,21,model.layers.21,0.32573220133781433,21,gemma,verbosity_control
42000,0,22,model.layers.22,0.32410237193107605,21,gemma,verbosity_control
42000,0,23,model.layers.23,0.31635868549346924,21,gemma,verbosity_control
42000,0,24,model.layers.24,0.3441070020198822,21,gemma,verbosity_control
42000,0,25,model.layers.25,0.3506980240345001,21,gemma,verbosity_control
42000,0,26,model.layers.26,0.38455134630203247,21,gemma,verbosity_control
42000,0,27,model.layers.27,0.4262983798980713,21,gemma,verbosity_control
42000,0,28,model.layers.28,0.43156370520591736,21,gemma,verbosity_control
42000,0,29,model.layers.29,0.4338417053222656,21,gemma,verbosity_control
42000,0,30,model.layers.30,0.440127432346344,21,gemma,verbosity_control
42000,0,31,model.layers.31,0.44415372610092163,21,gemma,verbosity_control
42000,0,32,model.layers.32,0.4088198244571686,21,gemma,verbosity_control
42000,0,33,model.layers.33,0.3875691294670105,21,gemma,verbosity_control
42000,0,34,model.layers.34,0.38365039229393005,21,gemma,verbosity_control
42000,0,35,model.layers.35,0.3612542748451233,21,gemma,verbosity_control
42000,0,36,model.layers.36,0.36691853404045105,21,gemma,verbosity_control
42000,0,37,model.layers.37,0.36189863085746765,21,gemma,verbosity_control
42000,0,38,model.layers.38,0.35620802640914917,21,gemma,verbosity_control
42000,0,39,model.layers.39,0.365383118391037,21,gemma,verbosity_control
42000,0,40,model.layers.40,0.3924100995063782,21,gemma,verbosity_control
42000,0,41,model.layers.41,0.46963101625442505,21,gemma,verbosity_control
42001,1,0,model.layers.0,0.8520008325576782,21,gemma,verbosity_control
42001,1,1,model.layers.1,0.758567214012146,21,gemma,verbosity_control
42001,1,2,model.layers.2,0.7052653431892395,21,gemma,verbosity_control
42001,1,3,model.layers.3,0.6702451109886169,21,gemma,verbosity_control
42001,1,4,model.layers.4,0.6001642942428589,21,gemma,verbosity_control
42001,1,5,model.layers.5,0.549244225025177,21,gemma,verbosity_control
42001,1,6,model.layers.6,0.4885927736759186,21,gemma,verbosity_control
42001,1,7,model.layers.7,0.4632071554660797,21,gemma,verbosity_control
42001,1,8,model.layers.8,0.4556662440299988,21,gemma,verbosity_control
42001,1,9,model.layers.9,0.46077781915664673,21,gemma,verbosity_control
42001,1,10,model.layers.10,0.4333108067512512,21,gemma,verbosity_control
42001,1,11,model.layers.11,0.442483127117157,21,gemma,verbosity_control
42001,1,12,model.layers.12,0.4616820216178894,21,gemma,verbosity_control
42001,1,13,model.layers.13,0.48213624954223633,21,gemma,verbosity_control
42001,1,14,model.layers.14,0.4882488250732422,21,gemma,verbosity_control
42001,1,15,model.layers.15,0.5273548364639282,21,gemma,verbosity_control
42001,1,16,model.layers.16,0.5193698406219482,21,gemma,verbosity_control
42001,1,17,model.layers.17,0.525622546672821,21,gemma,verbosity_control
42001,1,18,model.layers.18,0.5178682208061218,21,gemma,verbosity_control
42001,1,19,model.layers.19,0.5081807374954224,21,gemma,verbosity_control
42001,1,20,model.layers.20,0.507259726524353,21,gemma,verbosity_control
42001,1,21,model.layers.21,0.5075570344924927,21,gemma,verbosity_control
42001,1,22,model.layers.22,0.4844285845756531,21,gemma,verbosity_control
42001,1,23,model.layers.23,0.4696568548679352,21,gemma,verbosity_control
42001,1,24,model.layers.24,0.4331614375114441,21,gemma,verbosity_control
42001,1,25,model.layers.25,0.4257320761680603,21,gemma,verbosity_control
42001,1,26,model.layers.26,0.4021437168121338,21,gemma,verbosity_control
42001,1,27,model.layers.27,0.4248991906642914,21,gemma,verbosity_control
42001,1,28,model.layers.28,0.4257597327232361,21,gemma,verbosity_control
42001,1,29,model.layers.29,0.4133499562740326,21,gemma,verbosity_control
42001,1,30,model.layers.30,0.38703039288520813,21,gemma,verbosity_control
42001,1,31,model.layers.31,0.3742848038673401,21,gemma,verbosity_control
42001,1,32,model.layers.32,0.360830157995224,21,gemma,verbosity_control
42001,1,33,model.layers.33,0.35834285616874695,21,gemma,verbosity_control
42001,1,34,model.layers.34,0.3401697874069214,21,gemma,verbosity_control
42001,1,35,model.layers.35,0.32809433341026306,21,gemma,verbosity_control
42001,1,36,model.layers.36,0.3157191872596741,21,gemma,verbosity_control
42001,1,37,model.layers.37,0.32140249013900757,21,gemma,verbosity_control
42001,1,38,model.layers.38,0.3208998441696167,21,gemma,verbosity_control
42001,1,39,model.layers.39,0.3394835591316223,21,gemma,verbosity_control
42001,1,40,model.layers.40,0.3791324198246002,21,gemma,verbosity_control
42001,1,41,model.layers.41,0.43772879242897034,21,gemma,verbosity_control
42002,2,0,model.layers.0,0.9999998807907104,21,gemma,verbosity_control
42002,2,1,model.layers.1,0.9155174493789673,21,gemma,verbosity_control
42002,2,2,model.layers.2,0.9030372500419617,21,gemma,verbosity_control
42002,2,3,model.layers.3,0.9129414558410645,21,gemma,verbosity_control
42002,2,4,model.layers.4,0.9183793067932129,21,gemma,verbosity_control
42002,2,5,model.layers.5,0.843055248260498,21,gemma,verbosity_control
42002,2,6,model.layers.6,0.8303437232971191,21,gemma,verbosity_control
42002,2,7,model.layers.7,0.8491958379745483,21,gemma,verbosity_control
42002,2,8,model.layers.8,0.8115116953849792,21,gemma,verbosity_control
42002,2,9,model.layers.9,0.8156320452690125,21,gemma,verbosity_control
42002,2,10,model.layers.10,0.7838939428329468,21,gemma,verbosity_control
42002,2,11,model.layers.11,0.7470464110374451,21,gemma,verbosity_control
42002,2,12,model.layers.12,0.7436701059341431,21,gemma,verbosity_control
42002,2,13,model.layers.13,0.7380189299583435,21,gemma,verbosity_control
42002,2,14,model.layers.14,0.750116229057312,21,gemma,verbosity_control
42002,2,15,model.layers.15,0.7409277558326721,21,gemma,verbosity_control
42002,2,16,model.layers.16,0.7158123850822449,21,gemma,verbosity_control
42002,2,17,model.layers.17,0.7379754781723022,21,gemma,verbosity_control
42002,2,18,model.layers.18,0.735340416431427,21,gemma,verbosity_control
42002,2,19,model.layers.19,0.7197636961936951,21,gemma,verbosity_control
42002,2,20,model.layers.20,0.724819004535675,21,gemma,verbosity_control
42002,2,21,model.layers.21,0.749580979347229,21,gemma,verbosity_control
42002,2,22,model.layers.22,0.7514004707336426,21,gemma,verbosity_control
42002,2,23,model.layers.23,0.7235469222068787,21,gemma,verbosity_control
42002,2,24,model.layers.24,0.6818718910217285,21,gemma,verbosity_control
42002,2,25,model.layers.25,0.6794313192367554,21,gemma,verbosity_control
42002,2,26,model.layers.26,0.6601549386978149,21,gemma,verbosity_control
42002,2,27,model.layers.27,0.6398030519485474,21,gemma,verbosity_control
42002,2,28,model.layers.28,0.645218551158905,21,gemma,verbosity_control
42002,2,29,model.layers.29,0.6476151943206787,21,gemma,verbosity_control
42002,2,30,model.layers.30,0.664672315120697,21,gemma,verbosity_control
42002,2,31,model.layers.31,0.6577717065811157,21,gemma,verbosity_control
42002,2,32,model.layers.32,0.6771413683891296,21,gemma,verbosity_control
42002,2,33,model.layers.33,0.6258484125137329,21,gemma,verbosity_control
42002,2,34,model.layers.34,0.5925338864326477,21,gemma,verbosity_control
42002,2,35,model.layers.35,0.5732056498527527,21,gemma,verbosity_control
42002,2,36,model.layers.36,0.5361620783805847,21,gemma,verbosity_control
42002,2,37,model.layers.37,0.5397144556045532,21,gemma,verbosity_control
42002,2,38,model.layers.38,0.5233510732650757,21,gemma,verbosity_control
42002,2,39,model.layers.39,0.5435901880264282,21,gemma,verbosity_control
42002,2,40,model.layers.40,0.48662009835243225,21,gemma,verbosity_control
42002,2,41,model.layers.41,0.5340970158576965,21,gemma,verbosity_control
42003,3,0,model.layers.0,0.8591883778572083,21,gemma,verbosity_control
42003,3,1,model.layers.1,0.8580671548843384,21,gemma,verbosity_control
42003,3,2,model.layers.2,0.8363003730773926,21,gemma,verbosity_control
42003,3,3,model.layers.3,0.7588356137275696,21,gemma,verbosity_control
42003,3,4,model.layers.4,0.7076433897018433,21,gemma,verbosity_control
42003,3,5,model.layers.5,0.6371753215789795,21,gemma,verbosity_control
42003,3,6,model.layers.6,0.6011828184127808,21,gemma,verbosity_control
42003,3,7,model.layers.7,0.6086114048957825,21,gemma,verbosity_control
42003,3,8,model.layers.8,0.6216739416122437,21,gemma,verbosity_control
42003,3,9,model.layers.9,0.6381059885025024,21,gemma,verbosity_control
42003,3,10,model.layers.10,0.6141955256462097,21,gemma,verbosity_control
42003,3,11,model.layers.11,0.5731471180915833,21,gemma,verbosity_control
42003,3,12,model.layers.12,0.545951247215271,21,gemma,verbosity_control
42003,3,13,model.layers.13,0.5295273661613464,21,gemma,verbosity_control
42003,3,14,model.layers.14,0.5173681974411011,21,gemma,verbosity_control
42003,3,15,model.layers.15,0.4894982874393463,21,gemma,verbosity_control
42003,3,16,model.layers.16,0.46034112572669983,21,gemma,verbosity_control
42003,3,17,model.layers.17,0.47005558013916016,21,gemma,verbosity_control
42003,3,18,model.layers.18,0.44847649335861206,21,gemma,verbosity_control
42003,3,19,model.layers.19,0.4353935718536377,21,gemma,verbosity_control
42003,3,20,model.layers.20,0.4028415083885193,21,gemma,verbosity_control
42003,3,21,model.layers.21,0.37422317266464233,21,gemma,verbosity_control
42003,3,22,model.layers.22,0.3686830997467041,21,gemma,verbosity_control
42003,3,23,model.layers.23,0.3571247458457947,21,gemma,verbosity_control
42003,3,24,model.layers.24,0.35742121934890747,21,gemma,verbosity_control
42003,3,25,model.layers.25,0.37255898118019104,21,gemma,verbosity_control
42003,3,26,model.layers.26,0.4003571569919586,21,gemma,verbosity_control
42003,3,27,model.layers.27,0.38440829515457153,21,gemma,verbosity_control
42003,3,28,model.layers.28,0.39557990431785583,21,gemma,verbosity_control
42003,3,29,model.layers.29,0.389581561088562,21,gemma,verbosity_control
42003,3,30,model.layers.30,0.3821030259132385,21,gemma,verbosity_control
42003,3,31,model.layers.31,0.3751704692840576,21,gemma,verbosity_control
42003,3,32,model.layers.32,0.36208948493003845,21,gemma,verbosity_control
42003,3,33,model.layers.33,0.3552178144454956,21,gemma,verbosity_control
42003,3,34,model.layers.34,0.33625417947769165,21,gemma,verbosity_control
42003,3,35,model.layers.35,0.3259785771369934,21,gemma,verbosity_control
42003,3,36,model.layers.36,0.32281774282455444,21,gemma,verbosity_control
42003,3,37,model.layers.37,0.3366985023021698,21,gemma,verbosity_control
42003,3,38,model.layers.38,0.33308011293411255,21,gemma,verbosity_control
42003,3,39,model.layers.39,0.34383514523506165,21,gemma,verbosity_control
42003,3,40,model.layers.40,0.37934595346450806,21,gemma,verbosity_control
42003,3,41,model.layers.41,0.41667038202285767,21,gemma,verbosity_control
42004,4,0,model.layers.0,0.8240277171134949,21,gemma,verbosity_control
42004,4,1,model.layers.1,0.8211656808853149,21,gemma,verbosity_control
42004,4,2,model.layers.2,0.7058771848678589,21,gemma,verbosity_control
