permutation_seed,perm_trial_idx,layer_idx,layer_name,subspace_cosine_sim,n_layers_permuted,model_key,behavior
42000,0,0,model.layers.0,1.0,16,llama,formality
42000,0,1,model.layers.1,0.06083851307630539,16,llama,formality
42000,0,2,model.layers.2,0.04549553245306015,16,llama,formality
42000,0,3,model.layers.3,0.03720477968454361,16,llama,formality
42000,0,4,model.layers.4,0.032817233353853226,16,llama,formality
42000,0,5,model.layers.5,0.03351098299026489,16,llama,formality
42000,0,6,model.layers.6,0.035256050527095795,16,llama,formality
42000,0,7,model.layers.7,0.039643436670303345,16,llama,formality
42000,0,8,model.layers.8,0.03240833431482315,16,llama,formality
42000,0,9,model.layers.9,0.03508966416120529,16,llama,formality
42000,0,10,model.layers.10,0.029337167739868164,16,llama,formality
42000,0,11,model.layers.11,0.028923293575644493,16,llama,formality
42000,0,12,model.layers.12,0.04615665227174759,16,llama,formality
42000,0,13,model.layers.13,0.05439938232302666,16,llama,formality
42000,0,14,model.layers.14,0.04823046922683716,16,llama,formality
42000,0,15,model.layers.15,0.04631664603948593,16,llama,formality
42000,0,16,model.layers.16,0.04325881972908974,16,llama,formality
42000,0,17,model.layers.17,0.0529400035738945,16,llama,formality
42000,0,18,model.layers.18,0.04557225480675697,16,llama,formality
42000,0,19,model.layers.19,0.040362369269132614,16,llama,formality
42000,0,20,model.layers.20,0.048273272812366486,16,llama,formality
42000,0,21,model.layers.21,0.04275437444448471,16,llama,formality
42000,0,22,model.layers.22,0.05589631199836731,16,llama,formality
42000,0,23,model.layers.23,0.054693471640348434,16,llama,formality
42000,0,24,model.layers.24,0.05620657652616501,16,llama,formality
42000,0,25,model.layers.25,0.04769890755414963,16,llama,formality
42000,0,26,model.layers.26,0.050548404455184937,16,llama,formality
42000,0,27,model.layers.27,0.04103121533989906,16,llama,formality
42000,0,28,model.layers.28,0.03458040952682495,16,llama,formality
42000,0,29,model.layers.29,0.036629755049943924,16,llama,formality
42000,0,30,model.layers.30,0.03277220204472542,16,llama,formality
42000,0,31,model.layers.31,0.05481468513607979,16,llama,formality
42001,1,0,model.layers.0,0.05352378636598587,16,llama,formality
42001,1,1,model.layers.1,0.043280813843011856,16,llama,formality
42001,1,2,model.layers.2,0.0459107868373394,16,llama,formality
42001,1,3,model.layers.3,0.03672255575656891,16,llama,formality
42001,1,4,model.layers.4,0.042411185801029205,16,llama,formality
42001,1,5,model.layers.5,0.03706900030374527,16,llama,formality
42001,1,6,model.layers.6,0.03549430891871452,16,llama,formality
42001,1,7,model.layers.7,0.03779841586947441,16,llama,formality
42001,1,8,model.layers.8,0.0328616201877594,16,llama,formality
42001,1,9,model.layers.9,0.031659916043281555,16,llama,formality
42001,1,10,model.layers.10,0.03317119553685188,16,llama,formality
42001,1,11,model.layers.11,0.038575924932956696,16,llama,formality
42001,1,12,model.layers.12,0.037680093199014664,16,llama,formality
42001,1,13,model.layers.13,0.05247092992067337,16,llama,formality
42001,1,14,model.layers.14,0.03703474625945091,16,llama,formality
42001,1,15,model.layers.15,0.03672664612531662,16,llama,formality
42001,1,16,model.layers.16,0.04179934039711952,16,llama,formality
42001,1,17,model.layers.17,0.051749736070632935,16,llama,formality
42001,1,18,model.layers.18,0.05532835051417351,16,llama,formality
42001,1,19,model.layers.19,0.046846888959407806,16,llama,formality
42001,1,20,model.layers.20,0.047776561230421066,16,llama,formality
42001,1,21,model.layers.21,0.04496469721198082,16,llama,formality
42001,1,22,model.layers.22,0.046387456357479095,16,llama,formality
42001,1,23,model.layers.23,0.0516345389187336,16,llama,formality
42001,1,24,model.layers.24,0.04520796984434128,16,llama,formality
42001,1,25,model.layers.25,0.046689219772815704,16,llama,formality
42001,1,26,model.layers.26,0.03624292463064194,16,llama,formality
42001,1,27,model.layers.27,0.041782647371292114,16,llama,formality
42001,1,28,model.layers.28,0.03939473628997803,16,llama,formality
42001,1,29,model.layers.29,0.03678636997938156,16,llama,formality
42001,1,30,model.layers.30,0.03889832645654678,16,llama,formality
42001,1,31,model.layers.31,0.05306556075811386,16,llama,formality
42002,2,0,model.layers.0,1.0,16,llama,formality
42002,2,1,model.layers.1,0.05025209113955498,16,llama,formality
42002,2,2,model.layers.2,0.055296432226896286,16,llama,formality
42002,2,3,model.layers.3,0.05303793027997017,16,llama,formality
42002,2,4,model.layers.4,0.036465395241975784,16,llama,formality
42002,2,5,model.layers.5,0.0354011170566082,16,llama,formality
42002,2,6,model.layers.6,0.03611245006322861,16,llama,formality
42002,2,7,model.layers.7,0.036942049860954285,16,llama,formality
42002,2,8,model.layers.8,0.0338381752371788,16,llama,formality
42002,2,9,model.layers.9,0.042736589908599854,16,llama,formality
42002,2,10,model.layers.10,0.027578864246606827,16,llama,formality
42002,2,11,model.layers.11,0.03949831426143646,16,llama,formality
42002,2,12,model.layers.12,0.03886324167251587,16,llama,formality
42002,2,13,model.layers.13,0.030460502952337265,16,llama,formality
42002,2,14,model.layers.14,0.04412474483251572,16,llama,formality
42002,2,15,model.layers.15,0.03943204879760742,16,llama,formality
42002,2,16,model.layers.16,0.04923998564481735,16,llama,formality
42002,2,17,model.layers.17,0.06124455854296684,16,llama,formality
42002,2,18,model.layers.18,0.05857899785041809,16,llama,formality
42002,2,19,model.layers.19,0.05352839082479477,16,llama,formality
42002,2,20,model.layers.20,0.0639355257153511,16,llama,formality
