permutation_seed,perm_trial_idx,layer_idx,layer_name,subspace_cosine_sim,n_layers_permuted,model_key,behavior
42000,0,0,model.layers.0,1.0,16,llama,refusal_calibration
42000,0,1,model.layers.1,0.10386185348033905,16,llama,refusal_calibration
42000,0,2,model.layers.2,0.10232479870319366,16,llama,refusal_calibration
42000,0,3,model.layers.3,0.05962413549423218,16,llama,refusal_calibration
42000,0,4,model.layers.4,0.05669502541422844,16,llama,refusal_calibration
42000,0,5,model.layers.5,0.044129110872745514,16,llama,refusal_calibration
42000,0,6,model.layers.6,0.054419539868831635,16,llama,refusal_calibration
42000,0,7,model.layers.7,0.05149563401937485,16,llama,refusal_calibration
42000,0,8,model.layers.8,0.04542560130357742,16,llama,refusal_calibration
42000,0,9,model.layers.9,0.04101463407278061,16,llama,refusal_calibration
42000,0,10,model.layers.10,0.04079265147447586,16,llama,refusal_calibration
42000,0,11,model.layers.11,0.04344477877020836,16,llama,refusal_calibration
42000,0,12,model.layers.12,0.05684775114059448,16,llama,refusal_calibration
42000,0,13,model.layers.13,0.061034999787807465,16,llama,refusal_calibration
42000,0,14,model.layers.14,0.04863385483622551,16,llama,refusal_calibration
42000,0,15,model.layers.15,0.05221538618206978,16,llama,refusal_calibration
42000,0,16,model.layers.16,0.04855654388666153,16,llama,refusal_calibration
42000,0,17,model.layers.17,0.04559820517897606,16,llama,refusal_calibration
42000,0,18,model.layers.18,0.03173085302114487,16,llama,refusal_calibration
42000,0,19,model.layers.19,0.032620660960674286,16,llama,refusal_calibration
42000,0,20,model.layers.20,0.03591186925768852,16,llama,refusal_calibration
42000,0,21,model.layers.21,0.029472414404153824,16,llama,refusal_calibration
42000,0,22,model.layers.22,0.03193604201078415,16,llama,refusal_calibration
42000,0,23,model.layers.23,0.034098606556653976,16,llama,refusal_calibration
42000,0,24,model.layers.24,0.034874312579631805,16,llama,refusal_calibration
42000,0,25,model.layers.25,0.03297359496355057,16,llama,refusal_calibration
42000,0,26,model.layers.26,0.03477393835783005,16,llama,refusal_calibration
42000,0,27,model.layers.27,0.0411023274064064,16,llama,refusal_calibration
42000,0,28,model.layers.28,0.037733275443315506,16,llama,refusal_calibration
42000,0,29,model.layers.29,0.03732747212052345,16,llama,refusal_calibration
42000,0,30,model.layers.30,0.04205295443534851,16,llama,refusal_calibration
42000,0,31,model.layers.31,0.06248851865530014,16,llama,refusal_calibration
42001,1,0,model.layers.0,0.13403785228729248,16,llama,refusal_calibration
42001,1,1,model.layers.1,0.07849393784999847,16,llama,refusal_calibration
42001,1,2,model.layers.2,0.07106040418148041,16,llama,refusal_calibration
42001,1,3,model.layers.3,0.059887342154979706,16,llama,refusal_calibration
42001,1,4,model.layers.4,0.0452132523059845,16,llama,refusal_calibration
42001,1,5,model.layers.5,0.027592763304710388,16,llama,refusal_calibration
42001,1,6,model.layers.6,0.03560595586895943,16,llama,refusal_calibration
42001,1,7,model.layers.7,0.03555392473936081,16,llama,refusal_calibration
42001,1,8,model.layers.8,0.03188541159033775,16,llama,refusal_calibration
42001,1,9,model.layers.9,0.03343974053859711,16,llama,refusal_calibration
42001,1,10,model.layers.10,0.04146675765514374,16,llama,refusal_calibration
42001,1,11,model.layers.11,0.037939123809337616,16,llama,refusal_calibration
42001,1,12,model.layers.12,0.0492367260158062,16,llama,refusal_calibration
42001,1,13,model.layers.13,0.06347663700580597,16,llama,refusal_calibration
42001,1,14,model.layers.14,0.05089694261550903,16,llama,refusal_calibration
42001,1,15,model.layers.15,0.034896984696388245,16,llama,refusal_calibration
42001,1,16,model.layers.16,0.04081152752041817,16,llama,refusal_calibration
42001,1,17,model.layers.17,0.039251018315553665,16,llama,refusal_calibration
42001,1,18,model.layers.18,0.04380489140748978,16,llama,refusal_calibration
42001,1,19,model.layers.19,0.03972746059298515,16,llama,refusal_calibration
42001,1,20,model.layers.20,0.03863580897450447,16,llama,refusal_calibration
42001,1,21,model.layers.21,0.04075922816991806,16,llama,refusal_calibration
42001,1,22,model.layers.22,0.027465516701340675,16,llama,refusal_calibration
42001,1,23,model.layers.23,0.029201040044426918,16,llama,refusal_calibration
42001,1,24,model.layers.24,0.029192810878157616,16,llama,refusal_calibration
42001,1,25,model.layers.25,0.03351202607154846,16,llama,refusal_calibration
