permutation_seed,perm_trial_idx,layer_idx,layer_name,subspace_cosine_sim,n_layers_permuted,model_key,behavior
42000,0,0,model.layers.0,0.9999998807907104,16,llama,uncertainty_expression
42000,0,1,model.layers.1,0.05993767827749252,16,llama,uncertainty_expression
42000,0,2,model.layers.2,0.0569416768848896,16,llama,uncertainty_expression
42000,0,3,model.layers.3,0.037675730884075165,16,llama,uncertainty_expression
42000,0,4,model.layers.4,0.03920961171388626,16,llama,uncertainty_expression
42000,0,5,model.layers.5,0.047108400613069534,16,llama,uncertainty_expression
42000,0,6,model.layers.6,0.0377405621111393,16,llama,uncertainty_expression
42000,0,7,model.layers.7,0.03242854028940201,16,llama,uncertainty_expression
42000,0,8,model.layers.8,0.03491746634244919,16,llama,uncertainty_expression
42000,0,9,model.layers.9,0.028588328510522842,16,llama,uncertainty_expression
42000,0,10,model.layers.10,0.03137361258268356,16,llama,uncertainty_expression
42000,0,11,model.layers.11,0.036433443427085876,16,llama,uncertainty_expression
42000,0,12,model.layers.12,0.03375327214598656,16,llama,uncertainty_expression
42000,0,13,model.layers.13,0.03325517848134041,16,llama,uncertainty_expression
42000,0,14,model.layers.14,0.03447942063212395,16,llama,uncertainty_expression
42000,0,15,model.layers.15,0.04130326583981514,16,llama,uncertainty_expression
42000,0,16,model.layers.16,0.05024021118879318,16,llama,uncertainty_expression
42000,0,17,model.layers.17,0.053667813539505005,16,llama,uncertainty_expression
42000,0,18,model.layers.18,0.0637817457318306,16,llama,uncertainty_expression
42000,0,19,model.layers.19,0.061771102249622345,16,llama,uncertainty_expression
42000,0,20,model.layers.20,0.05974311754107475,16,llama,uncertainty_expression
42000,0,21,model.layers.21,0.05504244565963745,16,llama,uncertainty_expression
42000,0,22,model.layers.22,0.05480198189616203,16,llama,uncertainty_expression
42000,0,23,model.layers.23,0.05668402835726738,16,llama,uncertainty_expression
42000,0,24,model.layers.24,0.05018485337495804,16,llama,uncertainty_expression
42000,0,25,model.layers.25,0.04936222359538078,16,llama,uncertainty_expression
42000,0,26,model.layers.26,0.03813331946730614,16,llama,uncertainty_expression
42000,0,27,model.layers.27,0.03322049230337143,16,llama,uncertainty_expression
42000,0,28,model.layers.28,0.035088419914245605,16,llama,uncertainty_expression
42000,0,29,model.layers.29,0.029999930411577225,16,llama,uncertainty_expression
42000,0,30,model.layers.30,0.023225806653499603,16,llama,uncertainty_expression
42000,0,31,model.layers.31,0.04560333490371704,16,llama,uncertainty_expression
42001,1,0,model.layers.0,0.11133204400539398,16,llama,uncertainty_expression
42001,1,1,model.layers.1,0.05863609164953232,16,llama,uncertainty_expression
42001,1,2,model.layers.2,0.03955400735139847,16,llama,uncertainty_expression
42001,1,3,model.layers.3,0.030407404527068138,16,llama,uncertainty_expression
42001,1,4,model.layers.4,0.043579354882240295,16,llama,uncertainty_expression
42001,1,5,model.layers.5,0.04218955338001251,16,llama,uncertainty_expression
42001,1,6,model.layers.6,0.044935163110494614,16,llama,uncertainty_expression
42001,1,7,model.layers.7,0.035061366856098175,16,llama,uncertainty_expression
42001,1,8,model.layers.8,0.04029994085431099,16,llama,uncertainty_expression
42001,1,9,model.layers.9,0.027626927942037582,16,llama,uncertainty_expression
42001,1,10,model.layers.10,0.029002394527196884,16,llama,uncertainty_expression
42001,1,11,model.layers.11,0.031101560220122337,16,llama,uncertainty_expression
42001,1,12,model.layers.12,0.038554415106773376,16,llama,uncertainty_expression
42001,1,13,model.layers.13,0.03946703299880028,16,llama,uncertainty_expression
42001,1,14,model.layers.14,0.04185248538851738,16,llama,uncertainty_expression
42001,1,15,model.layers.15,0.048259589821100235,16,llama,uncertainty_expression
42001,1,16,model.layers.16,0.05238495394587517,16,llama,uncertainty_expression
42001,1,17,model.layers.17,0.04674703627824783,16,llama,uncertainty_expression
42001,1,18,model.layers.18,0.04534383863210678,16,llama,uncertainty_expression
42001,1,19,model.layers.19,0.04375951737165451,16,llama,uncertainty_expression
42001,1,20,model.layers.20,0.04054734855890274,16,llama,uncertainty_expression
42001,1,21,model.layers.21,0.03561762720346451,16,llama,uncertainty_expression
42001,1,22,model.layers.22,0.027631547302007675,16,llama,uncertainty_expression
42001,1,23,model.layers.23,0.029284169897437096,16,llama,uncertainty_expression
42001,1,24,model.layers.24,0.03736638277769089,16,llama,uncertainty_expression
42001,1,25,model.layers.25,0.03480849787592888,16,llama,uncertainty_expression
42001,1,26,model.layers.26,0.027229880914092064,16,llama,uncertainty_expression
42001,1,27,model.layers.27,0.02706458605825901,16,llama,uncertainty_expression
42001,1,28,model.layers.28,0.02830967679619789,16,llama,uncertainty_expression
42001,1,29,model.layers.29,0.029237572103738785,16,llama,uncertainty_expression
42001,1,30,model.layers.30,0.0335543230175972,16,llama,uncertainty_expression
42001,1,31,model.layers.31,0.04749574139714241,16,llama,uncertainty_expression
42002,2,0,model.layers.0,0.9999998807907104,16,llama,uncertainty_expression
42002,2,1,model.layers.1,0.04673553630709648,16,llama,uncertainty_expression
42002,2,2,model.layers.2,0.05850601941347122,16,llama,uncertainty_expression
42002,2,3,model.layers.3,0.051931411027908325,16,llama,uncertainty_expression
42002,2,4,model.layers.4,0.04513288661837578,16,llama,uncertainty_expression
42002,2,5,model.layers.5,0.03969224542379379,16,llama,uncertainty_expression
42002,2,6,model.layers.6,0.04665819928050041,16,llama,uncertainty_expression
42002,2,7,model.layers.7,0.0406956747174263,16,llama,uncertainty_expression
42002,2,8,model.layers.8,0.031410135328769684,16,llama,uncertainty_expression
42002,2,9,model.layers.9,0.04283318668603897,16,llama,uncertainty_expression
42002,2,10,model.layers.10,0.031719423830509186,16,llama,uncertainty_expression
42002,2,11,model.layers.11,0.03412379324436188,16,llama,uncertainty_expression
42002,2,12,model.layers.12,0.037892866879701614,16,llama,uncertainty_expression
42002,2,13,model.layers.13,0.03732585534453392,16,llama,uncertainty_expression
42002,2,14,model.layers.14,0.049506500363349915,16,llama,uncertainty_expression
42002,2,15,model.layers.15,0.047722745686769485,16,llama,uncertainty_expression
42002,2,16,model.layers.16,0.04615328088402748,16,llama,uncertainty_expression
42002,2,17,model.layers.17,0.06118834763765335,16,llama,uncertainty_expression
42002,2,18,model.layers.18,0.06823207437992096,16,llama,uncertainty_expression
42002,2,19,model.layers.19,0.06082969158887863,16,llama,uncertainty_expression
42002,2,20,model.layers.20,0.057790834456682205,16,llama,uncertainty_expression
42002,2,21,model.layers.21,0.04477948695421219,16,llama,uncertainty_expression
42002,2,22,model.layers.22,0.03882497176527977,16,llama,uncertainty_expression
42002,2,23,model.layers.23,0.03694748878479004,16,llama,uncertainty_expression
42002,2,24,model.layers.24,0.03452190384268761,16,llama,uncertainty_expression
42002,2,25,model.layers.25,0.028823474422097206,16,llama,uncertainty_expression
42002,2,26,model.layers.26,0.02540052868425846,16,llama,uncertainty_expression
42002,2,27,model.layers.27,0.02877744473516941,16,llama,uncertainty_expression
42002,2,28,model.layers.28,0.02866927906870842,16,llama,uncertainty_expression
42002,2,29,model.layers.29,0.02523268759250641,16,llama,uncertainty_expression
42002,2,30,model.layers.30,0.02726498804986477,16,llama,uncertainty_expression
42002,2,31,model.layers.31,0.039148952811956406,16,llama,uncertainty_expression
42003,3,0,model.layers.0,0.0857924371957779,16,llama,uncertainty_expression
42003,3,1,model.layers.1,0.06271451711654663,16,llama,uncertainty_expression
42003,3,2,model.layers.2,0.05113094300031662,16,llama,uncertainty_expression
42003,3,3,model.layers.3,0.030846118927001953,16,llama,uncertainty_expression
42003,3,4,model.layers.4,0.038785167038440704,16,llama,uncertainty_expression
42003,3,5,model.layers.5,0.03580700233578682,16,llama,uncertainty_expression
42003,3,6,model.layers.6,0.04054770991206169,16,llama,uncertainty_expression
42003,3,7,model.layers.7,0.04555021971464157,16,llama,uncertainty_expression
42003,3,8,model.layers.8,0.0453357957303524,16,llama,uncertainty_expression
42003,3,9,model.layers.9,0.034946125000715256,16,llama,uncertainty_expression
42003,3,10,model.layers.10,0.040427710860967636,16,llama,uncertainty_expression
42003,3,11,model.layers.11,0.03388245031237602,16,llama,uncertainty_expression
42003,3,12,model.layers.12,0.028447067365050316,16,llama,uncertainty_expression
