permutation_seed,perm_trial_idx,layer_idx,layer_name,subspace_cosine_sim,n_layers_permuted,model_key,behavior
42000,0,0,model.layers.0,0.9999998807907104,16,llama,verbosity_control
42000,0,1,model.layers.1,0.1254313439130783,16,llama,verbosity_control
42000,0,2,model.layers.2,0.10127923637628555,16,llama,verbosity_control
42000,0,3,model.layers.3,0.052852071821689606,16,llama,verbosity_control
42000,0,4,model.layers.4,0.06166630983352661,16,llama,verbosity_control
42000,0,5,model.layers.5,0.041443295776844025,16,llama,verbosity_control
42000,0,6,model.layers.6,0.041496336460113525,16,llama,verbosity_control
42000,0,7,model.layers.7,0.042701635509729385,16,llama,verbosity_control
42000,0,8,model.layers.8,0.03355666995048523,16,llama,verbosity_control
42000,0,9,model.layers.9,0.039849404245615005,16,llama,verbosity_control
42000,0,10,model.layers.10,0.042499981820583344,16,llama,verbosity_control
42000,0,11,model.layers.11,0.030796770006418228,16,llama,verbosity_control
42000,0,12,model.layers.12,0.032904185354709625,16,llama,verbosity_control
42000,0,13,model.layers.13,0.04277145117521286,16,llama,verbosity_control
42000,0,14,model.layers.14,0.04756080359220505,16,llama,verbosity_control
42000,0,15,model.layers.15,0.05777169391512871,16,llama,verbosity_control
42000,0,16,model.layers.16,0.05271410942077637,16,llama,verbosity_control
42000,0,17,model.layers.17,0.06053905934095383,16,llama,verbosity_control
42000,0,18,model.layers.18,0.050347886979579926,16,llama,verbosity_control
42000,0,19,model.layers.19,0.04672896862030029,16,llama,verbosity_control
42000,0,20,model.layers.20,0.03677530959248543,16,llama,verbosity_control
42000,0,21,model.layers.21,0.03875080496072769,16,llama,verbosity_control
42000,0,22,model.layers.22,0.03794790059328079,16,llama,verbosity_control
42000,0,23,model.layers.23,0.041785646229982376,16,llama,verbosity_control
42000,0,24,model.layers.24,0.03957410901784897,16,llama,verbosity_control
42000,0,25,model.layers.25,0.042093995958566666,16,llama,verbosity_control
42000,0,26,model.layers.26,0.040093161165714264,16,llama,verbosity_control
42000,0,27,model.layers.27,0.03625574707984924,16,llama,verbosity_control
42000,0,28,model.layers.28,0.03447375074028969,16,llama,verbosity_control
42000,0,29,model.layers.29,0.03705040365457535,16,llama,verbosity_control
42000,0,30,model.layers.30,0.034949954599142075,16,llama,verbosity_control
42000,0,31,model.layers.31,0.08629783987998962,16,llama,verbosity_control
42001,1,0,model.layers.0,0.14531700313091278,16,llama,verbosity_control
42001,1,1,model.layers.1,0.0745377168059349,16,llama,verbosity_control
42001,1,2,model.layers.2,0.07021621614694595,16,llama,verbosity_control
42001,1,3,model.layers.3,0.05737801268696785,16,llama,verbosity_control
42001,1,4,model.layers.4,0.039392225444316864,16,llama,verbosity_control
42001,1,5,model.layers.5,0.04007498919963837,16,llama,verbosity_control
42001,1,6,model.layers.6,0.03212767094373703,16,llama,verbosity_control
42001,1,7,model.layers.7,0.03164507448673248,16,llama,verbosity_control
42001,1,8,model.layers.8,0.031529687345027924,16,llama,verbosity_control
42001,1,9,model.layers.9,0.04266808182001114,16,llama,verbosity_control
42001,1,10,model.layers.10,0.03929169848561287,16,llama,verbosity_control
42001,1,11,model.layers.11,0.028823962435126305,16,llama,verbosity_control
42001,1,12,model.layers.12,0.035129446536302567,16,llama,verbosity_control
42001,1,13,model.layers.13,0.04998599365353584,16,llama,verbosity_control
42001,1,14,model.layers.14,0.03822329640388489,16,llama,verbosity_control
42001,1,15,model.layers.15,0.04229424148797989,16,llama,verbosity_control
42001,1,16,model.layers.16,0.05580778047442436,16,llama,verbosity_control
42001,1,17,model.layers.17,0.04828530550003052,16,llama,verbosity_control
42001,1,18,model.layers.18,0.045846812427043915,16,llama,verbosity_control
42001,1,19,model.layers.19,0.04052126780152321,16,llama,verbosity_control
42001,1,20,model.layers.20,0.038721609860658646,16,llama,verbosity_control
42001,1,21,model.layers.21,0.04215842857956886,16,llama,verbosity_control
42001,1,22,model.layers.22,0.03677590563893318,16,llama,verbosity_control
42001,1,23,model.layers.23,0.03689589351415634,16,llama,verbosity_control
42001,1,24,model.layers.24,0.03620484843850136,16,llama,verbosity_control
42001,1,25,model.layers.25,0.03348080441355705,16,llama,verbosity_control
42001,1,26,model.layers.26,0.03181707113981247,16,llama,verbosity_control
42001,1,27,model.layers.27,0.03699777275323868,16,llama,verbosity_control
42001,1,28,model.layers.28,0.031067263334989548,16,llama,verbosity_control
42001,1,29,model.layers.29,0.029854321852326393,16,llama,verbosity_control
42001,1,30,model.layers.30,0.028760816901922226,16,llama,verbosity_control
42001,1,31,model.layers.31,0.06225167587399483,16,llama,verbosity_control
42002,2,0,model.layers.0,0.9999998807907104,16,llama,verbosity_control
42002,2,1,model.layers.1,0.11360069364309311,16,llama,verbosity_control
42002,2,2,model.layers.2,0.11122258752584457,16,llama,verbosity_control
42002,2,3,model.layers.3,0.10444466769695282,16,llama,verbosity_control
42002,2,4,model.layers.4,0.05937790870666504,16,llama,verbosity_control
42002,2,5,model.layers.5,0.0515204593539238,16,llama,verbosity_control
42002,2,6,model.layers.6,0.04617036506533623,16,llama,verbosity_control
42002,2,7,model.layers.7,0.04929843917489052,16,llama,verbosity_control
42002,2,8,model.layers.8,0.033062003552913666,16,llama,verbosity_control
42002,2,9,model.layers.9,0.04003468155860901,16,llama,verbosity_control
42002,2,10,model.layers.10,0.04088616371154785,16,llama,verbosity_control
42002,2,11,model.layers.11,0.04182226583361626,16,llama,verbosity_control
42002,2,12,model.layers.12,0.04449189826846123,16,llama,verbosity_control
42002,2,13,model.layers.13,0.03632759302854538,16,llama,verbosity_control
42002,2,14,model.layers.14,0.047069989144802094,16,llama,verbosity_control
42002,2,15,model.layers.15,0.05288086459040642,16,llama,verbosity_control
42002,2,16,model.layers.16,0.05229126289486885,16,llama,verbosity_control
42002,2,17,model.layers.17,0.058106787502765656,16,llama,verbosity_control
42002,2,18,model.layers.18,0.04880436137318611,16,llama,verbosity_control
42002,2,19,model.layers.19,0.04321690648794174,16,llama,verbosity_control
42002,2,20,model.layers.20,0.042058322578668594,16,llama,verbosity_control
42002,2,21,model.layers.21,0.04401300102472305,16,llama,verbosity_control
42002,2,22,model.layers.22,0.046053603291511536,16,llama,verbosity_control
42002,2,23,model.layers.23,0.04103074222803116,16,llama,verbosity_control
42002,2,24,model.layers.24,0.03741203993558884,16,llama,verbosity_control
42002,2,25,model.layers.25,0.04437800869345665,16,llama,verbosity_control
42002,2,26,model.layers.26,0.046961963176727295,16,llama,verbosity_control
42002,2,27,model.layers.27,0.05180041119456291,16,llama,verbosity_control
42002,2,28,model.layers.28,0.04856215789914131,16,llama,verbosity_control
42002,2,29,model.layers.29,0.0452750101685524,16,llama,verbosity_control
42002,2,30,model.layers.30,0.03904503211379051,16,llama,verbosity_control
42002,2,31,model.layers.31,0.05402003973722458,16,llama,verbosity_control
42003,3,0,model.layers.0,0.15260639786720276,16,llama,verbosity_control
