permutation_seed,perm_trial_idx,layer_idx,layer_name,subspace_cosine_sim,n_layers_permuted,model_key,behavior
42000,0,0,model.layers.0,0.9999998807907104,16,mistral,formality
42000,0,1,model.layers.1,0.5376531481742859,16,mistral,formality
42000,0,2,model.layers.2,0.5067096948623657,16,mistral,formality
42000,0,3,model.layers.3,0.2555103898048401,16,mistral,formality
42000,0,4,model.layers.4,0.22772547602653503,16,mistral,formality
42000,0,5,model.layers.5,0.13618908822536469,16,mistral,formality
42000,0,6,model.layers.6,0.1146707758307457,16,mistral,formality
42000,0,7,model.layers.7,0.10872957855463028,16,mistral,formality
42000,0,8,model.layers.8,0.09476273506879807,16,mistral,formality
42000,0,9,model.layers.9,0.07770702987909317,16,mistral,formality
42000,0,10,model.layers.10,0.10080742835998535,16,mistral,formality
42000,0,11,model.layers.11,0.0740947425365448,16,mistral,formality
42000,0,12,model.layers.12,0.06161344796419144,16,mistral,formality
42000,0,13,model.layers.13,0.0650312751531601,16,mistral,formality
42000,0,14,model.layers.14,0.0481037013232708,16,mistral,formality
42000,0,15,model.layers.15,0.052668631076812744,16,mistral,formality
42000,0,16,model.layers.16,0.040393270552158356,16,mistral,formality
42000,0,17,model.layers.17,0.04791715368628502,16,mistral,formality
42000,0,18,model.layers.18,0.05461857467889786,16,mistral,formality
42000,0,19,model.layers.19,0.05857099965214729,16,mistral,formality
42000,0,20,model.layers.20,0.06684409826993942,16,mistral,formality
42000,0,21,model.layers.21,0.06356492638587952,16,mistral,formality
42000,0,22,model.layers.22,0.06648246943950653,16,mistral,formality
42000,0,23,model.layers.23,0.07544298470020294,16,mistral,formality
42000,0,24,model.layers.24,0.08125904202461243,16,mistral,formality
42000,0,25,model.layers.25,0.08187658339738846,16,mistral,formality
42000,0,26,model.layers.26,0.08436988294124603,16,mistral,formality
42000,0,27,model.layers.27,0.07833386957645416,16,mistral,formality
42000,0,28,model.layers.28,0.07001204788684845,16,mistral,formality
42000,0,29,model.layers.29,0.06881721317768097,16,mistral,formality
42000,0,30,model.layers.30,0.054993581026792526,16,mistral,formality
42000,0,31,model.layers.31,0.04255274310708046,16,mistral,formality
42001,1,0,model.layers.0,0.6755964756011963,16,mistral,formality
42001,1,1,model.layers.1,0.2573431730270386,16,mistral,formality
42001,1,2,model.layers.2,0.18127647042274475,16,mistral,formality
42001,1,3,model.layers.3,0.16457577049732208,16,mistral,formality
42001,1,4,model.layers.4,0.12837086617946625,16,mistral,formality
42001,1,5,model.layers.5,0.10938394069671631,16,mistral,formality
42001,1,6,model.layers.6,0.11328159272670746,16,mistral,formality
42001,1,7,model.layers.7,0.10356287658214569,16,mistral,formality
42001,1,8,model.layers.8,0.10831178724765778,16,mistral,formality
42001,1,9,model.layers.9,0.08568647503852844,16,mistral,formality
42001,1,10,model.layers.10,0.1155632734298706,16,mistral,formality
42001,1,11,model.layers.11,0.11174626648426056,16,mistral,formality
42001,1,12,model.layers.12,0.11106977611780167,16,mistral,formality
42001,1,13,model.layers.13,0.13451825082302094,16,mistral,formality
42001,1,14,model.layers.14,0.142355814576149,16,mistral,formality
42001,1,15,model.layers.15,0.13054917752742767,16,mistral,formality
42001,1,16,model.layers.16,0.10282643139362335,16,mistral,formality
42001,1,17,model.layers.17,0.11110864579677582,16,mistral,formality
42001,1,18,model.layers.18,0.11931852251291275,16,mistral,formality
42001,1,19,model.layers.19,0.09612365067005157,16,mistral,formality
42001,1,20,model.layers.20,0.08010327816009521,16,mistral,formality
42001,1,21,model.layers.21,0.07974322885274887,16,mistral,formality
42001,1,22,model.layers.22,0.07554642111063004,16,mistral,formality
