permutation_seed,perm_trial_idx,layer_idx,layer_name,subspace_cosine_sim,n_layers_permuted,model_key,behavior
42000,0,0,model.layers.0,1.0,16,mistral,refusal_calibration
42000,0,1,model.layers.1,0.40448227524757385,16,mistral,refusal_calibration
42000,0,2,model.layers.2,0.3385024666786194,16,mistral,refusal_calibration
42000,0,3,model.layers.3,0.17508786916732788,16,mistral,refusal_calibration
42000,0,4,model.layers.4,0.17444635927677155,16,mistral,refusal_calibration
42000,0,5,model.layers.5,0.09848356246948242,16,mistral,refusal_calibration
42000,0,6,model.layers.6,0.09595169872045517,16,mistral,refusal_calibration
42000,0,7,model.layers.7,0.08801094442605972,16,mistral,refusal_calibration
42000,0,8,model.layers.8,0.07777535170316696,16,mistral,refusal_calibration
42000,0,9,model.layers.9,0.06974669545888901,16,mistral,refusal_calibration
42000,0,10,model.layers.10,0.08575136959552765,16,mistral,refusal_calibration
42000,0,11,model.layers.11,0.08427389711141586,16,mistral,refusal_calibration
42000,0,12,model.layers.12,0.0808047354221344,16,mistral,refusal_calibration
42000,0,13,model.layers.13,0.09974080324172974,16,mistral,refusal_calibration
42000,0,14,model.layers.14,0.10960730165243149,16,mistral,refusal_calibration
42000,0,15,model.layers.15,0.11551983654499054,16,mistral,refusal_calibration
42000,0,16,model.layers.16,0.09799156337976456,16,mistral,refusal_calibration
42000,0,17,model.layers.17,0.11032269895076752,16,mistral,refusal_calibration
42000,0,18,model.layers.18,0.09277071058750153,16,mistral,refusal_calibration
42000,0,19,model.layers.19,0.07251741737127304,16,mistral,refusal_calibration
42000,0,20,model.layers.20,0.07670753449201584,16,mistral,refusal_calibration
42000,0,21,model.layers.21,0.07438506186008453,16,mistral,refusal_calibration
42000,0,22,model.layers.22,0.0621337816119194,16,mistral,refusal_calibration
42000,0,23,model.layers.23,0.05881577730178833,16,mistral,refusal_calibration
42000,0,24,model.layers.24,0.05944854021072388,16,mistral,refusal_calibration
42000,0,25,model.layers.25,0.072177454829216,16,mistral,refusal_calibration
42000,0,26,model.layers.26,0.07746601104736328,16,mistral,refusal_calibration
42000,0,27,model.layers.27,0.06877842545509338,16,mistral,refusal_calibration
42000,0,28,model.layers.28,0.0633934959769249,16,mistral,refusal_calibration
42000,0,29,model.layers.29,0.05360923334956169,16,mistral,refusal_calibration
42000,0,30,model.layers.30,0.04808550328016281,16,mistral,refusal_calibration
42000,0,31,model.layers.31,0.0414850190281868,16,mistral,refusal_calibration
42001,1,0,model.layers.0,0.6253478527069092,16,mistral,refusal_calibration
42001,1,1,model.layers.1,0.16685764491558075,16,mistral,refusal_calibration
42001,1,2,model.layers.2,0.15807706117630005,16,mistral,refusal_calibration
42001,1,3,model.layers.3,0.15983358025550842,16,mistral,refusal_calibration
42001,1,4,model.layers.4,0.13925917446613312,16,mistral,refusal_calibration
42001,1,5,model.layers.5,0.10404322296380997,16,mistral,refusal_calibration
42001,1,6,model.layers.6,0.10494496673345566,16,mistral,refusal_calibration
42001,1,7,model.layers.7,0.09699830412864685,16,mistral,refusal_calibration
42001,1,8,model.layers.8,0.09790879487991333,16,mistral,refusal_calibration
42001,1,9,model.layers.9,0.07371418178081512,16,mistral,refusal_calibration
42001,1,10,model.layers.10,0.09418068826198578,16,mistral,refusal_calibration
42001,1,11,model.layers.11,0.09754785150289536,16,mistral,refusal_calibration
42001,1,12,model.layers.12,0.09435291588306427,16,mistral,refusal_calibration
42001,1,13,model.layers.13,0.1185918003320694,16,mistral,refusal_calibration
42001,1,14,model.layers.14,0.142041876912117,16,mistral,refusal_calibration
42001,1,15,model.layers.15,0.1325506865978241,16,mistral,refusal_calibration
42001,1,16,model.layers.16,0.11988445371389389,16,mistral,refusal_calibration
42001,1,17,model.layers.17,0.12725210189819336,16,mistral,refusal_calibration
42001,1,18,model.layers.18,0.11987529695034027,16,mistral,refusal_calibration
42001,1,19,model.layers.19,0.1044144481420517,16,mistral,refusal_calibration
42001,1,20,model.layers.20,0.10386486351490021,16,mistral,refusal_calibration
42001,1,21,model.layers.21,0.09943397343158722,16,mistral,refusal_calibration
42001,1,22,model.layers.22,0.10007552802562714,16,mistral,refusal_calibration
42001,1,23,model.layers.23,0.10146542638540268,16,mistral,refusal_calibration
42001,1,24,model.layers.24,0.09295235574245453,16,mistral,refusal_calibration
42001,1,25,model.layers.25,0.09540947526693344,16,mistral,refusal_calibration
42001,1,26,model.layers.26,0.08457084000110626,16,mistral,refusal_calibration
42001,1,27,model.layers.27,0.08210699260234833,16,mistral,refusal_calibration
42001,1,28,model.layers.28,0.08825401961803436,16,mistral,refusal_calibration
42001,1,29,model.layers.29,0.08467386662960052,16,mistral,refusal_calibration
42001,1,30,model.layers.30,0.08294104039669037,16,mistral,refusal_calibration
42001,1,31,model.layers.31,0.056969184428453445,16,mistral,refusal_calibration
42002,2,0,model.layers.0,1.0,16,mistral,refusal_calibration
42002,2,1,model.layers.1,0.39187029004096985,16,mistral,refusal_calibration
