permutation_seed,perm_trial_idx,layer_idx,layer_name,subspace_cosine_sim,n_layers_permuted,model_key,behavior
42000,0,0,model.layers.0,0.9999998807907104,16,mistral,sycophancy_suppression
42000,0,1,model.layers.1,0.4751630425453186,16,mistral,sycophancy_suppression
42000,0,2,model.layers.2,0.4084998071193695,16,mistral,sycophancy_suppression
42000,0,3,model.layers.3,0.19668015837669373,16,mistral,sycophancy_suppression
42000,0,4,model.layers.4,0.1915844827890396,16,mistral,sycophancy_suppression
42000,0,5,model.layers.5,0.11517661809921265,16,mistral,sycophancy_suppression
42000,0,6,model.layers.6,0.06870130449533463,16,mistral,sycophancy_suppression
42000,0,7,model.layers.7,0.07815029472112656,16,mistral,sycophancy_suppression
42000,0,8,model.layers.8,0.0531807541847229,16,mistral,sycophancy_suppression
42000,0,9,model.layers.9,0.0410991832613945,16,mistral,sycophancy_suppression
42000,0,10,model.layers.10,0.044436775147914886,16,mistral,sycophancy_suppression
42000,0,11,model.layers.11,0.03907696157693863,16,mistral,sycophancy_suppression
42000,0,12,model.layers.12,0.03927895054221153,16,mistral,sycophancy_suppression
42000,0,13,model.layers.13,0.04428583011031151,16,mistral,sycophancy_suppression
42000,0,14,model.layers.14,0.035646457225084305,16,mistral,sycophancy_suppression
42000,0,15,model.layers.15,0.037092793732881546,16,mistral,sycophancy_suppression
42000,0,16,model.layers.16,0.04117748513817787,16,mistral,sycophancy_suppression
42000,0,17,model.layers.17,0.04576192423701286,16,mistral,sycophancy_suppression
42000,0,18,model.layers.18,0.051528654992580414,16,mistral,sycophancy_suppression
42000,0,19,model.layers.19,0.053367774933576584,16,mistral,sycophancy_suppression
42000,0,20,model.layers.20,0.06643805652856827,16,mistral,sycophancy_suppression
42000,0,21,model.layers.21,0.07158267498016357,16,mistral,sycophancy_suppression
42000,0,22,model.layers.22,0.060521531850099564,16,mistral,sycophancy_suppression
42000,0,23,model.layers.23,0.0682772845029831,16,mistral,sycophancy_suppression
42000,0,24,model.layers.24,0.0773986205458641,16,mistral,sycophancy_suppression
42000,0,25,model.layers.25,0.06443192809820175,16,mistral,sycophancy_suppression
42000,0,26,model.layers.26,0.07135116308927536,16,mistral,sycophancy_suppression
42000,0,27,model.layers.27,0.05888937786221504,16,mistral,sycophancy_suppression
42000,0,28,model.layers.28,0.0557188019156456,16,mistral,sycophancy_suppression
42000,0,29,model.layers.29,0.06069853901863098,16,mistral,sycophancy_suppression
