permutation_seed,perm_trial_idx,layer_idx,layer_name,subspace_cosine_sim,n_layers_permuted,model_key,behavior
42000,0,0,model.layers.0,1.0,16,mistral,uncertainty_expression
42000,0,1,model.layers.1,0.45391663908958435,16,mistral,uncertainty_expression
42000,0,2,model.layers.2,0.4485476016998291,16,mistral,uncertainty_expression
42000,0,3,model.layers.3,0.2831558287143707,16,mistral,uncertainty_expression
42000,0,4,model.layers.4,0.2794552445411682,16,mistral,uncertainty_expression
42000,0,5,model.layers.5,0.11437493562698364,16,mistral,uncertainty_expression
42000,0,6,model.layers.6,0.07648950815200806,16,mistral,uncertainty_expression
42000,0,7,model.layers.7,0.07582350820302963,16,mistral,uncertainty_expression
42000,0,8,model.layers.8,0.06781943142414093,16,mistral,uncertainty_expression
42000,0,9,model.layers.9,0.0563589408993721,16,mistral,uncertainty_expression
42000,0,10,model.layers.10,0.05869511887431145,16,mistral,uncertainty_expression
42000,0,11,model.layers.11,0.046320416033267975,16,mistral,uncertainty_expression
42000,0,12,model.layers.12,0.04666891694068909,16,mistral,uncertainty_expression
42000,0,13,model.layers.13,0.060775674879550934,16,mistral,uncertainty_expression
42000,0,14,model.layers.14,0.04851289838552475,16,mistral,uncertainty_expression
42000,0,15,model.layers.15,0.051488179713487625,16,mistral,uncertainty_expression
42000,0,16,model.layers.16,0.05809130519628525,16,mistral,uncertainty_expression
42000,0,17,model.layers.17,0.06670543551445007,16,mistral,uncertainty_expression
42000,0,18,model.layers.18,0.06285609304904938,16,mistral,uncertainty_expression
42000,0,19,model.layers.19,0.06248300150036812,16,mistral,uncertainty_expression
42000,0,20,model.layers.20,0.07188086211681366,16,mistral,uncertainty_expression
42000,0,21,model.layers.21,0.0721108466386795,16,mistral,uncertainty_expression
42000,0,22,model.layers.22,0.0687793716788292,16,mistral,uncertainty_expression
42000,0,23,model.layers.23,0.06452514976263046,16,mistral,uncertainty_expression
42000,0,24,model.layers.24,0.05935247614979744,16,mistral,uncertainty_expression
42000,0,25,model.layers.25,0.05569477006793022,16,mistral,uncertainty_expression
42000,0,26,model.layers.26,0.06036936491727829,16,mistral,uncertainty_expression
42000,0,27,model.layers.27,0.053926579654216766,16,mistral,uncertainty_expression
42000,0,28,model.layers.28,0.04832436144351959,16,mistral,uncertainty_expression
42000,0,29,model.layers.29,0.06183358281850815,16,mistral,uncertainty_expression
42000,0,30,model.layers.30,0.05076935887336731,16,mistral,uncertainty_expression
42000,0,31,model.layers.31,0.06309293210506439,16,mistral,uncertainty_expression
42001,1,0,model.layers.0,0.6385783553123474,16,mistral,uncertainty_expression
42001,1,1,model.layers.1,0.2898160517215729,16,mistral,uncertainty_expression
42001,1,2,model.layers.2,0.19808460772037506,16,mistral,uncertainty_expression
42001,1,3,model.layers.3,0.20612356066703796,16,mistral,uncertainty_expression
42001,1,4,model.layers.4,0.15156373381614685,16,mistral,uncertainty_expression
42001,1,5,model.layers.5,0.11706981807947159,16,mistral,uncertainty_expression
42001,1,6,model.layers.6,0.11583594977855682,16,mistral,uncertainty_expression
42001,1,7,model.layers.7,0.11509518325328827,16,mistral,uncertainty_expression
42001,1,8,model.layers.8,0.1344762146472931,16,mistral,uncertainty_expression
42001,1,9,model.layers.9,0.12695744633674622,16,mistral,uncertainty_expression
42001,1,10,model.layers.10,0.12115703523159027,16,mistral,uncertainty_expression
42001,1,11,model.layers.11,0.11428342014551163,16,mistral,uncertainty_expression
42001,1,12,model.layers.12,0.11545612663030624,16,mistral,uncertainty_expression
42001,1,13,model.layers.13,0.13245388865470886,16,mistral,uncertainty_expression
42001,1,14,model.layers.14,0.1489429622888565,16,mistral,uncertainty_expression
42001,1,15,model.layers.15,0.12306131422519684,16,mistral,uncertainty_expression
42001,1,16,model.layers.16,0.1146157756447792,16,mistral,uncertainty_expression
42001,1,17,model.layers.17,0.12181403487920761,16,mistral,uncertainty_expression
42001,1,18,model.layers.18,0.13276976346969604,16,mistral,uncertainty_expression
42001,1,19,model.layers.19,0.11081597954034805,16,mistral,uncertainty_expression
42001,1,20,model.layers.20,0.11004255712032318,16,mistral,uncertainty_expression
42001,1,21,model.layers.21,0.10238038003444672,16,mistral,uncertainty_expression
42001,1,22,model.layers.22,0.08946847915649414,16,mistral,uncertainty_expression
42001,1,23,model.layers.23,0.0845625251531601,16,mistral,uncertainty_expression
42001,1,24,model.layers.24,0.07795987278223038,16,mistral,uncertainty_expression
42001,1,25,model.layers.25,0.07810007035732269,16,mistral,uncertainty_expression
42001,1,26,model.layers.26,0.08393437415361404,16,mistral,uncertainty_expression
42001,1,27,model.layers.27,0.07914052158594131,16,mistral,uncertainty_expression
42001,1,28,model.layers.28,0.07490633428096771,16,mistral,uncertainty_expression
42001,1,29,model.layers.29,0.0605626180768013,16,mistral,uncertainty_expression
42001,1,30,model.layers.30,0.07271713763475418,16,mistral,uncertainty_expression
42001,1,31,model.layers.31,0.14941765367984772,16,mistral,uncertainty_expression
42002,2,0,model.layers.0,1.0,16,mistral,uncertainty_expression
42002,2,1,model.layers.1,0.4780150353908539,16,mistral,uncertainty_expression
42002,2,2,model.layers.2,0.4973030984401703,16,mistral,uncertainty_expression
42002,2,3,model.layers.3,0.5123146176338196,16,mistral,uncertainty_expression
42002,2,4,model.layers.4,0.21636274456977844,16,mistral,uncertainty_expression
42002,2,5,model.layers.5,0.20451946556568146,16,mistral,uncertainty_expression
42002,2,6,model.layers.6,0.1265714019536972,16,mistral,uncertainty_expression
42002,2,7,model.layers.7,0.1250532865524292,16,mistral,uncertainty_expression
42002,2,8,model.layers.8,0.08625583350658417,16,mistral,uncertainty_expression
42002,2,9,model.layers.9,0.059573184698820114,16,mistral,uncertainty_expression
42002,2,10,model.layers.10,0.04233236983418465,16,mistral,uncertainty_expression
42002,2,11,model.layers.11,0.05179653316736221,16,mistral,uncertainty_expression
42002,2,12,model.layers.12,0.05879596993327141,16,mistral,uncertainty_expression
42002,2,13,model.layers.13,0.04604116827249527,16,mistral,uncertainty_expression
42002,2,14,model.layers.14,0.06538999080657959,16,mistral,uncertainty_expression
42002,2,15,model.layers.15,0.06080722063779831,16,mistral,uncertainty_expression
42002,2,16,model.layers.16,0.06693427264690399,16,mistral,uncertainty_expression
42002,2,17,model.layers.17,0.09185823053121567,16,mistral,uncertainty_expression
42002,2,18,model.layers.18,0.11335764080286026,16,mistral,uncertainty_expression
42002,2,19,model.layers.19,0.09960242360830307,16,mistral,uncertainty_expression
42002,2,20,model.layers.20,0.1279575377702713,16,mistral,uncertainty_expression
42002,2,21,model.layers.21,0.11942906677722931,16,mistral,uncertainty_expression
42002,2,22,model.layers.22,0.09304226189851761,16,mistral,uncertainty_expression
42002,2,23,model.layers.23,0.08489333838224411,16,mistral,uncertainty_expression
42002,2,24,model.layers.24,0.08075001090765,16,mistral,uncertainty_expression
42002,2,25,model.layers.25,0.08081670850515366,16,mistral,uncertainty_expression
42002,2,26,model.layers.26,0.08133013546466827,16,mistral,uncertainty_expression
42002,2,27,model.layers.27,0.07770220935344696,16,mistral,uncertainty_expression
42002,2,28,model.layers.28,0.07050855457782745,16,mistral,uncertainty_expression
42002,2,29,model.layers.29,0.0662778690457344,16,mistral,uncertainty_expression
42002,2,30,model.layers.30,0.062035977840423584,16,mistral,uncertainty_expression
42002,2,31,model.layers.31,0.07714910805225372,16,mistral,uncertainty_expression
42003,3,0,model.layers.0,0.6699517369270325,16,mistral,uncertainty_expression
42003,3,1,model.layers.1,0.36880436539649963,16,mistral,uncertainty_expression
42003,3,2,model.layers.2,0.40952277183532715,16,mistral,uncertainty_expression
42003,3,3,model.layers.3,0.2503648102283478,16,mistral,uncertainty_expression
42003,3,4,model.layers.4,0.15347914397716522,16,mistral,uncertainty_expression
42003,3,5,model.layers.5,0.1356726586818695,16,mistral,uncertainty_expression
42003,3,6,model.layers.6,0.13911809027194977,16,mistral,uncertainty_expression
42003,3,7,model.layers.7,0.13512173295021057,16,mistral,uncertainty_expression
42003,3,8,model.layers.8,0.15661080181598663,16,mistral,uncertainty_expression
42003,3,9,model.layers.9,0.13325783610343933,16,mistral,uncertainty_expression
42003,3,10,model.layers.10,0.14100036025047302,16,mistral,uncertainty_expression
42003,3,11,model.layers.11,0.12295722961425781,16,mistral,uncertainty_expression
42003,3,12,model.layers.12,0.11174388229846954,16,mistral,uncertainty_expression
42003,3,13,model.layers.13,0.13455511629581451,16,mistral,uncertainty_expression
42003,3,14,model.layers.14,0.16489450633525848,16,mistral,uncertainty_expression
42003,3,15,model.layers.15,0.16509908437728882,16,mistral,uncertainty_expression
42003,3,16,model.layers.16,0.1250237673521042,16,mistral,uncertainty_expression
42003,3,17,model.layers.17,0.13072945177555084,16,mistral,uncertainty_expression
42003,3,18,model.layers.18,0.14606627821922302,16,mistral,uncertainty_expression
42003,3,19,model.layers.19,0.12110451608896255,16,mistral,uncertainty_expression
42003,3,20,model.layers.20,0.12173279374837875,16,mistral,uncertainty_expression
42003,3,21,model.layers.21,0.11283351480960846,16,mistral,uncertainty_expression
42003,3,22,model.layers.22,0.09899988025426865,16,mistral,uncertainty_expression
42003,3,23,model.layers.23,0.10278823226690292,16,mistral,uncertainty_expression
42003,3,24,model.layers.24,0.09755367785692215,16,mistral,uncertainty_expression
42003,3,25,model.layers.25,0.09682553261518478,16,mistral,uncertainty_expression
42003,3,26,model.layers.26,0.09806028753519058,16,mistral,uncertainty_expression
