permutation_seed,perm_trial_idx,layer_idx,layer_name,subspace_cosine_sim,n_layers_permuted,model_key,behavior
42000,0,0,model.layers.0,0.08319780975580215,14,qwen,formality
42000,0,1,model.layers.1,0.1367550641298294,14,qwen,formality
42000,0,2,model.layers.2,0.08311750739812851,14,qwen,formality
42000,0,3,model.layers.3,0.0749875083565712,14,qwen,formality
42000,0,4,model.layers.4,0.06528519093990326,14,qwen,formality
42000,0,5,model.layers.5,0.09694574028253555,14,qwen,formality
42000,0,6,model.layers.6,0.09902248531579971,14,qwen,formality
42000,0,7,model.layers.7,0.10275683552026749,14,qwen,formality
42000,0,8,model.layers.8,0.0989174172282219,14,qwen,formality
42000,0,9,model.layers.9,0.09315510094165802,14,qwen,formality
42000,0,10,model.layers.10,0.0921868234872818,14,qwen,formality
42000,0,11,model.layers.11,0.10259878635406494,14,qwen,formality
42000,0,12,model.layers.12,0.094521664083004,14,qwen,formality
42000,0,13,model.layers.13,0.11940242350101471,14,qwen,formality
42000,0,14,model.layers.14,0.09608369320631027,14,qwen,formality
42000,0,15,model.layers.15,0.10505634546279907,14,qwen,formality
42000,0,16,model.layers.16,0.1331651508808136,14,qwen,formality
42000,0,17,model.layers.17,0.11836297810077667,14,qwen,formality
42000,0,18,model.layers.18,0.10657720267772675,14,qwen,formality
42000,0,19,model.layers.19,0.085426464676857,14,qwen,formality
42000,0,20,model.layers.20,0.08855994045734406,14,qwen,formality
42000,0,21,model.layers.21,0.0785009115934372,14,qwen,formality
42000,0,22,model.layers.22,0.08132623136043549,14,qwen,formality
42000,0,23,model.layers.23,0.06891046464443207,14,qwen,formality
42000,0,24,model.layers.24,0.07950521260499954,14,qwen,formality
42000,0,25,model.layers.25,0.10488393157720566,14,qwen,formality
42000,0,26,model.layers.26,0.11197368055582047,14,qwen,formality
42000,0,27,model.layers.27,0.133229598402977,14,qwen,formality
42001,1,0,model.layers.0,0.06172924116253853,14,qwen,formality
42001,1,1,model.layers.1,0.1398613154888153,14,qwen,formality
42001,1,2,model.layers.2,0.10063660144805908,14,qwen,formality
42001,1,3,model.layers.3,0.07840380817651749,14,qwen,formality
42001,1,4,model.layers.4,0.06683524698019028,14,qwen,formality
42001,1,5,model.layers.5,0.09919149428606033,14,qwen,formality
42001,1,6,model.layers.6,0.10155726969242096,14,qwen,formality
42001,1,7,model.layers.7,0.10597101598978043,14,qwen,formality
42001,1,8,model.layers.8,0.09317416697740555,14,qwen,formality
42001,1,9,model.layers.9,0.08794085681438446,14,qwen,formality
42001,1,10,model.layers.10,0.08768641203641891,14,qwen,formality
42001,1,11,model.layers.11,0.0917166918516159,14,qwen,formality
42001,1,12,model.layers.12,0.08730163425207138,14,qwen,formality
42001,1,13,model.layers.13,0.11787247657775879,14,qwen,formality
42001,1,14,model.layers.14,0.09658152610063553,14,qwen,formality
42001,1,15,model.layers.15,0.09804477542638779,14,qwen,formality
42001,1,16,model.layers.16,0.12557972967624664,14,qwen,formality
42001,1,17,model.layers.17,0.114665187895298,14,qwen,formality
42001,1,18,model.layers.18,0.10803709924221039,14,qwen,formality
42001,1,19,model.layers.19,0.08363243192434311,14,qwen,formality
42001,1,20,model.layers.20,0.09059269726276398,14,qwen,formality
42001,1,21,model.layers.21,0.07296358048915863,14,qwen,formality
42001,1,22,model.layers.22,0.07586025446653366,14,qwen,formality
42001,1,23,model.layers.23,0.06889548152685165,14,qwen,formality
42001,1,24,model.layers.24,0.08014023303985596,14,qwen,formality
42001,1,25,model.layers.25,0.10381406545639038,14,qwen,formality
42001,1,26,model.layers.26,0.10477292537689209,14,qwen,formality
42001,1,27,model.layers.27,0.13790711760520935,14,qwen,formality
42002,2,0,model.layers.0,1.0,14,qwen,formality
42002,2,1,model.layers.1,0.30051741003990173,14,qwen,formality
42002,2,2,model.layers.2,0.26673996448516846,14,qwen,formality
42002,2,3,model.layers.3,0.13076713681221008,14,qwen,formality
42002,2,4,model.layers.4,0.08051913976669312,14,qwen,formality
42002,2,5,model.layers.5,0.10242359340190887,14,qwen,formality
42002,2,6,model.layers.6,0.09582368284463882,14,qwen,formality
42002,2,7,model.layers.7,0.10212838649749756,14,qwen,formality
42002,2,8,model.layers.8,0.07991428673267365,14,qwen,formality
42002,2,9,model.layers.9,0.07017464935779572,14,qwen,formality
42002,2,10,model.layers.10,0.0678282231092453,14,qwen,formality
42002,2,11,model.layers.11,0.06138072535395622,14,qwen,formality
42002,2,12,model.layers.12,0.06799616664648056,14,qwen,formality
42002,2,13,model.layers.13,0.06708692014217377,14,qwen,formality
42002,2,14,model.layers.14,0.050787072628736496,14,qwen,formality
42002,2,15,model.layers.15,0.05374389886856079,14,qwen,formality
42002,2,16,model.layers.16,0.0763007253408432,14,qwen,formality
42002,2,17,model.layers.17,0.08195772767066956,14,qwen,formality
42002,2,18,model.layers.18,0.07792218774557114,14,qwen,formality
42002,2,19,model.layers.19,0.04557317867875099,14,qwen,formality
42002,2,20,model.layers.20,0.05732722952961922,14,qwen,formality
42002,2,21,model.layers.21,0.061629123985767365,14,qwen,formality
42002,2,22,model.layers.22,0.06865943223237991,14,qwen,formality
42002,2,23,model.layers.23,0.06698201596736908,14,qwen,formality
42002,2,24,model.layers.24,0.07011431455612183,14,qwen,formality
42002,2,25,model.layers.25,0.07613996416330338,14,qwen,formality
42002,2,26,model.layers.26,0.07495769113302231,14,qwen,formality
42002,2,27,model.layers.27,0.17621569335460663,14,qwen,formality
42003,3,0,model.layers.0,0.0730479285120964,14,qwen,formality
42003,3,1,model.layers.1,0.12496335804462433,14,qwen,formality
42003,3,2,model.layers.2,0.10606859624385834,14,qwen,formality
42003,3,3,model.layers.3,0.08727972209453583,14,qwen,formality
42003,3,4,model.layers.4,0.07365988194942474,14,qwen,formality
42003,3,5,model.layers.5,0.09501709789037704,14,qwen,formality
42003,3,6,model.layers.6,0.09444990009069443,14,qwen,formality
42003,3,7,model.layers.7,0.10030364990234375,14,qwen,formality
42003,3,8,model.layers.8,0.0890578106045723,14,qwen,formality
42003,3,9,model.layers.9,0.08438538759946823,14,qwen,formality
42003,3,10,model.layers.10,0.08240377902984619,14,qwen,formality
42003,3,11,model.layers.11,0.0868053138256073,14,qwen,formality
42003,3,12,model.layers.12,0.08853811770677567,14,qwen,formality
42003,3,13,model.layers.13,0.11806156486272812,14,qwen,formality
42003,3,14,model.layers.14,0.09273311495780945,14,qwen,formality
42003,3,15,model.layers.15,0.10423944890499115,14,qwen,formality
42003,3,16,model.layers.16,0.13424886763095856,14,qwen,formality
42003,3,17,model.layers.17,0.12102033197879791,14,qwen,formality
42003,3,18,model.layers.18,0.1061982661485672,14,qwen,formality
42003,3,19,model.layers.19,0.08434897661209106,14,qwen,formality
42003,3,20,model.layers.20,0.09676218777894974,14,qwen,formality
42003,3,21,model.layers.21,0.08359993994235992,14,qwen,formality
42003,3,22,model.layers.22,0.08810964226722717,14,qwen,formality
42003,3,23,model.layers.23,0.0741414800286293,14,qwen,formality
42003,3,24,model.layers.24,0.09049665927886963,14,qwen,formality
42003,3,25,model.layers.25,0.10968301445245743,14,qwen,formality
42003,3,26,model.layers.26,0.11518754065036774,14,qwen,formality
42003,3,27,model.layers.27,0.19155529141426086,14,qwen,formality
42004,4,0,model.layers.0,0.06542512774467468,14,qwen,formality
42004,4,1,model.layers.1,0.12759026885032654,14,qwen,formality
42004,4,2,model.layers.2,0.12222208082675934,14,qwen,formality
42004,4,3,model.layers.3,0.07662751525640488,14,qwen,formality
42004,4,4,model.layers.4,0.06465541571378708,14,qwen,formality
42004,4,5,model.layers.5,0.09716285765171051,14,qwen,formality
42004,4,6,model.layers.6,0.09897926449775696,14,qwen,formality
42004,4,7,model.layers.7,0.09660278260707855,14,qwen,formality
42004,4,8,model.layers.8,0.08618111908435822,14,qwen,formality
42004,4,9,model.layers.9,0.09033885598182678,14,qwen,formality
42004,4,10,model.layers.10,0.089645154774189,14,qwen,formality
42004,4,11,model.layers.11,0.09654168784618378,14,qwen,formality
42004,4,12,model.layers.12,0.09319943934679031,14,qwen,formality
42004,4,13,model.layers.13,0.12016543000936508,14,qwen,formality
42004,4,14,model.layers.14,0.08959457278251648,14,qwen,formality
42004,4,15,model.layers.15,0.10162891447544098,14,qwen,formality
42004,4,16,model.layers.16,0.13127821683883667,14,qwen,formality
42004,4,17,model.layers.17,0.12400317192077637,14,qwen,formality
42004,4,18,model.layers.18,0.10435216128826141,14,qwen,formality
42004,4,19,model.layers.19,0.08130563795566559,14,qwen,formality
42004,4,20,model.layers.20,0.09282427281141281,14,qwen,formality
42004,4,21,model.layers.21,0.08228052407503128,14,qwen,formality
42004,4,22,model.layers.22,0.08694257587194443,14,qwen,formality
42004,4,23,model.layers.23,0.07295628637075424,14,qwen,formality
42004,4,24,model.layers.24,0.08488841354846954,14,qwen,formality
42004,4,25,model.layers.25,0.09827432781457901,14,qwen,formality
42004,4,26,model.layers.26,0.10471494495868683,14,qwen,formality
42004,4,27,model.layers.27,0.18046781420707703,14,qwen,formality
