permutation_seed,perm_trial_idx,layer_idx,layer_name,subspace_cosine_sim,n_layers_permuted,model_key,behavior
42000,0,0,model.layers.0,0.04596055671572685,14,qwen,sycophancy_suppression
42000,0,1,model.layers.1,0.14816376566886902,14,qwen,sycophancy_suppression
42000,0,2,model.layers.2,0.082689568400383,14,qwen,sycophancy_suppression
42000,0,3,model.layers.3,0.048841167241334915,14,qwen,sycophancy_suppression
42000,0,4,model.layers.4,0.064485102891922,14,qwen,sycophancy_suppression
42000,0,5,model.layers.5,0.07444609701633453,14,qwen,sycophancy_suppression
42000,0,6,model.layers.6,0.06332270801067352,14,qwen,sycophancy_suppression
42000,0,7,model.layers.7,0.08347193896770477,14,qwen,sycophancy_suppression
42000,0,8,model.layers.8,0.0696101039648056,14,qwen,sycophancy_suppression
42000,0,9,model.layers.9,0.06759865581989288,14,qwen,sycophancy_suppression
42000,0,10,model.layers.10,0.08603230118751526,14,qwen,sycophancy_suppression
42000,0,11,model.layers.11,0.10793530941009521,14,qwen,sycophancy_suppression
42000,0,12,model.layers.12,0.10146703571081161,14,qwen,sycophancy_suppression
42000,0,13,model.layers.13,0.07729749381542206,14,qwen,sycophancy_suppression
42000,0,14,model.layers.14,0.0851212665438652,14,qwen,sycophancy_suppression
42000,0,15,model.layers.15,0.1082386001944542,14,qwen,sycophancy_suppression
42000,0,16,model.layers.16,0.09964346885681152,14,qwen,sycophancy_suppression
42000,0,17,model.layers.17,0.10152208805084229,14,qwen,sycophancy_suppression
42000,0,18,model.layers.18,0.08863496035337448,14,qwen,sycophancy_suppression
42000,0,19,model.layers.19,0.08777008205652237,14,qwen,sycophancy_suppression
42000,0,20,model.layers.20,0.07204674929380417,14,qwen,sycophancy_suppression
42000,0,21,model.layers.21,0.08650553226470947,14,qwen,sycophancy_suppression
42000,0,22,model.layers.22,0.09149568527936935,14,qwen,sycophancy_suppression
42000,0,23,model.layers.23,0.093321792781353,14,qwen,sycophancy_suppression
42000,0,24,model.layers.24,0.08666326850652695,14,qwen,sycophancy_suppression
42000,0,25,model.layers.25,0.08971346169710159,14,qwen,sycophancy_suppression
42000,0,26,model.layers.26,0.09985782951116562,14,qwen,sycophancy_suppression
42000,0,27,model.layers.27,0.18319174647331238,14,qwen,sycophancy_suppression
42001,1,0,model.layers.0,0.07081645727157593,14,qwen,sycophancy_suppression
42001,1,1,model.layers.1,0.111127570271492,14,qwen,sycophancy_suppression
42001,1,2,model.layers.2,0.07857147604227066,14,qwen,sycophancy_suppression
42001,1,3,model.layers.3,0.04543984681367874,14,qwen,sycophancy_suppression
42001,1,4,model.layers.4,0.06301160156726837,14,qwen,sycophancy_suppression
42001,1,5,model.layers.5,0.07128886133432388,14,qwen,sycophancy_suppression
42001,1,6,model.layers.6,0.05245640128850937,14,qwen,sycophancy_suppression
42001,1,7,model.layers.7,0.06903181225061417,14,qwen,sycophancy_suppression
42001,1,8,model.layers.8,0.06564147025346756,14,qwen,sycophancy_suppression
42001,1,9,model.layers.9,0.0689687579870224,14,qwen,sycophancy_suppression
42001,1,10,model.layers.10,0.08146847784519196,14,qwen,sycophancy_suppression
42001,1,11,model.layers.11,0.09201841056346893,14,qwen,sycophancy_suppression
42001,1,12,model.layers.12,0.0900956317782402,14,qwen,sycophancy_suppression
