permutation_seed,perm_trial_idx,layer_idx,layer_name,subspace_cosine_sim,n_layers_permuted,model_key,behavior
42000,0,0,model.layers.0,0.07106740027666092,14,qwen,uncertainty_expression
42000,0,1,model.layers.1,0.15628013014793396,14,qwen,uncertainty_expression
42000,0,2,model.layers.2,0.08487323671579361,14,qwen,uncertainty_expression
42000,0,3,model.layers.3,0.07266709208488464,14,qwen,uncertainty_expression
42000,0,4,model.layers.4,0.07342606782913208,14,qwen,uncertainty_expression
42000,0,5,model.layers.5,0.08836700767278671,14,qwen,uncertainty_expression
42000,0,6,model.layers.6,0.08658051490783691,14,qwen,uncertainty_expression
42000,0,7,model.layers.7,0.0791897401213646,14,qwen,uncertainty_expression
42000,0,8,model.layers.8,0.0832555741071701,14,qwen,uncertainty_expression
42000,0,9,model.layers.9,0.09797006845474243,14,qwen,uncertainty_expression
42000,0,10,model.layers.10,0.07489709556102753,14,qwen,uncertainty_expression
42000,0,11,model.layers.11,0.08743089437484741,14,qwen,uncertainty_expression
42000,0,12,model.layers.12,0.08547598123550415,14,qwen,uncertainty_expression
42000,0,13,model.layers.13,0.07051000744104385,14,qwen,uncertainty_expression
42000,0,14,model.layers.14,0.08341095596551895,14,qwen,uncertainty_expression
42000,0,15,model.layers.15,0.09478165954351425,14,qwen,uncertainty_expression
42000,0,16,model.layers.16,0.08413101732730865,14,qwen,uncertainty_expression
42000,0,17,model.layers.17,0.08884147554636002,14,qwen,uncertainty_expression
42000,0,18,model.layers.18,0.059922199696302414,14,qwen,uncertainty_expression
42000,0,19,model.layers.19,0.07975152879953384,14,qwen,uncertainty_expression
42000,0,20,model.layers.20,0.0951637253165245,14,qwen,uncertainty_expression
42000,0,21,model.layers.21,0.11359896510839462,14,qwen,uncertainty_expression
42000,0,22,model.layers.22,0.10685335099697113,14,qwen,uncertainty_expression
42000,0,23,model.layers.23,0.1068589836359024,14,qwen,uncertainty_expression
42000,0,24,model.layers.24,0.09634649753570557,14,qwen,uncertainty_expression
42000,0,25,model.layers.25,0.09394773095846176,14,qwen,uncertainty_expression
42000,0,26,model.layers.26,0.0879577249288559,14,qwen,uncertainty_expression
42000,0,27,model.layers.27,0.16597434878349304,14,qwen,uncertainty_expression
42001,1,0,model.layers.0,0.06383354961872101,14,qwen,uncertainty_expression
42001,1,1,model.layers.1,0.14295393228530884,14,qwen,uncertainty_expression
42001,1,2,model.layers.2,0.10453847795724869,14,qwen,uncertainty_expression
42001,1,3,model.layers.3,0.07315418869256973,14,qwen,uncertainty_expression
42001,1,4,model.layers.4,0.0802750512957573,14,qwen,uncertainty_expression
42001,1,5,model.layers.5,0.0959201529622078,14,qwen,uncertainty_expression
42001,1,6,model.layers.6,0.09561068564653397,14,qwen,uncertainty_expression
42001,1,7,model.layers.7,0.08286377787590027,14,qwen,uncertainty_expression
42001,1,8,model.layers.8,0.08192472904920578,14,qwen,uncertainty_expression
42001,1,9,model.layers.9,0.09604690223932266,14,qwen,uncertainty_expression
42001,1,10,model.layers.10,0.07770528644323349,14,qwen,uncertainty_expression
42001,1,11,model.layers.11,0.08472727984189987,14,qwen,uncertainty_expression
42001,1,12,model.layers.12,0.08803826570510864,14,qwen,uncertainty_expression
42001,1,13,model.layers.13,0.06900159269571304,14,qwen,uncertainty_expression
42001,1,14,model.layers.14,0.09045057743787766,14,qwen,uncertainty_expression
42001,1,15,model.layers.15,0.09819032996892929,14,qwen,uncertainty_expression
42001,1,16,model.layers.16,0.08992934972047806,14,qwen,uncertainty_expression
42001,1,17,model.layers.17,0.0933021828532219,14,qwen,uncertainty_expression
42001,1,18,model.layers.18,0.06800742447376251,14,qwen,uncertainty_expression
42001,1,19,model.layers.19,0.08385885506868362,14,qwen,uncertainty_expression
42001,1,20,model.layers.20,0.09636199474334717,14,qwen,uncertainty_expression
42001,1,21,model.layers.21,0.11729297786951065,14,qwen,uncertainty_expression
42001,1,22,model.layers.22,0.11160416901111603,14,qwen,uncertainty_expression
42001,1,23,model.layers.23,0.10577777773141861,14,qwen,uncertainty_expression
42001,1,24,model.layers.24,0.09647225588560104,14,qwen,uncertainty_expression
42001,1,25,model.layers.25,0.10058324038982391,14,qwen,uncertainty_expression
42001,1,26,model.layers.26,0.08664611726999283,14,qwen,uncertainty_expression
42001,1,27,model.layers.27,0.1840057075023651,14,qwen,uncertainty_expression
42002,2,0,model.layers.0,0.9999998807907104,14,qwen,uncertainty_expression
42002,2,1,model.layers.1,0.4793775975704193,14,qwen,uncertainty_expression
42002,2,2,model.layers.2,0.3770524859428406,14,qwen,uncertainty_expression
42002,2,3,model.layers.3,0.1262909471988678,14,qwen,uncertainty_expression
42002,2,4,model.layers.4,0.07825125008821487,14,qwen,uncertainty_expression
42002,2,5,model.layers.5,0.0973445326089859,14,qwen,uncertainty_expression
42002,2,6,model.layers.6,0.10325875133275986,14,qwen,uncertainty_expression
42002,2,7,model.layers.7,0.08921767771244049,14,qwen,uncertainty_expression
42002,2,8,model.layers.8,0.09063034504652023,14,qwen,uncertainty_expression
42002,2,9,model.layers.9,0.10760384798049927,14,qwen,uncertainty_expression
42002,2,10,model.layers.10,0.0952845960855484,14,qwen,uncertainty_expression
42002,2,11,model.layers.11,0.10298667848110199,14,qwen,uncertainty_expression
42002,2,12,model.layers.12,0.10901572555303574,14,qwen,uncertainty_expression
42002,2,13,model.layers.13,0.09698976576328278,14,qwen,uncertainty_expression
42002,2,14,model.layers.14,0.10797381401062012,14,qwen,uncertainty_expression
42002,2,15,model.layers.15,0.11219055950641632,14,qwen,uncertainty_expression
42002,2,16,model.layers.16,0.09873242676258087,14,qwen,uncertainty_expression
42002,2,17,model.layers.17,0.11259394884109497,14,qwen,uncertainty_expression
42002,2,18,model.layers.18,0.07326929271221161,14,qwen,uncertainty_expression
42002,2,19,model.layers.19,0.11098382622003555,14,qwen,uncertainty_expression
42002,2,20,model.layers.20,0.13530965149402618,14,qwen,uncertainty_expression
42002,2,21,model.layers.21,0.1591845601797104,14,qwen,uncertainty_expression
42002,2,22,model.layers.22,0.1433219611644745,14,qwen,uncertainty_expression
42002,2,23,model.layers.23,0.1477578580379486,14,qwen,uncertainty_expression
42002,2,24,model.layers.24,0.13464173674583435,14,qwen,uncertainty_expression
42002,2,25,model.layers.25,0.12172548472881317,14,qwen,uncertainty_expression
42002,2,26,model.layers.26,0.0993620902299881,14,qwen,uncertainty_expression
42002,2,27,model.layers.27,0.302381306886673,14,qwen,uncertainty_expression
42003,3,0,model.layers.0,0.05913957953453064,14,qwen,uncertainty_expression
42003,3,1,model.layers.1,0.0921822339296341,14,qwen,uncertainty_expression
42003,3,2,model.layers.2,0.07525112479925156,14,qwen,uncertainty_expression
42003,3,3,model.layers.3,0.08225623518228531,14,qwen,uncertainty_expression
42003,3,4,model.layers.4,0.08121569454669952,14,qwen,uncertainty_expression
42003,3,5,model.layers.5,0.0992552861571312,14,qwen,uncertainty_expression
42003,3,6,model.layers.6,0.09095745533704758,14,qwen,uncertainty_expression
42003,3,7,model.layers.7,0.07920654863119125,14,qwen,uncertainty_expression
42003,3,8,model.layers.8,0.08069746196269989,14,qwen,uncertainty_expression
42003,3,9,model.layers.9,0.10089676082134247,14,qwen,uncertainty_expression
42003,3,10,model.layers.10,0.08176257461309433,14,qwen,uncertainty_expression
