permutation_seed,perm_trial_idx,layer_idx,layer_name,subspace_cosine_sim,n_layers_permuted,model_key,behavior
42000,0,0,model.layers.0,0.07843033969402313,14,qwen,verbosity_control
42000,0,1,model.layers.1,0.1859118938446045,14,qwen,verbosity_control
42000,0,2,model.layers.2,0.09813551604747772,14,qwen,verbosity_control
42000,0,3,model.layers.3,0.09896423667669296,14,qwen,verbosity_control
42000,0,4,model.layers.4,0.05698903650045395,14,qwen,verbosity_control
42000,0,5,model.layers.5,0.08593152463436127,14,qwen,verbosity_control
42000,0,6,model.layers.6,0.07417904585599899,14,qwen,verbosity_control
42000,0,7,model.layers.7,0.08690426498651505,14,qwen,verbosity_control
42000,0,8,model.layers.8,0.08894924074411392,14,qwen,verbosity_control
42000,0,9,model.layers.9,0.0661962479352951,14,qwen,verbosity_control
42000,0,10,model.layers.10,0.05724744126200676,14,qwen,verbosity_control
42000,0,11,model.layers.11,0.07428599148988724,14,qwen,verbosity_control
42000,0,12,model.layers.12,0.07916107773780823,14,qwen,verbosity_control
42000,0,13,model.layers.13,0.09237706661224365,14,qwen,verbosity_control
42000,0,14,model.layers.14,0.09890374541282654,14,qwen,verbosity_control
42000,0,15,model.layers.15,0.1052384227514267,14,qwen,verbosity_control
42000,0,16,model.layers.16,0.1171439066529274,14,qwen,verbosity_control
42000,0,17,model.layers.17,0.10696549713611603,14,qwen,verbosity_control
42000,0,18,model.layers.18,0.11855904757976532,14,qwen,verbosity_control
42000,0,19,model.layers.19,0.076057568192482,14,qwen,verbosity_control
42000,0,20,model.layers.20,0.0716579407453537,14,qwen,verbosity_control
42000,0,21,model.layers.21,0.0706382542848587,14,qwen,verbosity_control
42000,0,22,model.layers.22,0.08108276128768921,14,qwen,verbosity_control
42000,0,23,model.layers.23,0.07672338932752609,14,qwen,verbosity_control
42000,0,24,model.layers.24,0.07665921002626419,14,qwen,verbosity_control
42000,0,25,model.layers.25,0.08646152168512344,14,qwen,verbosity_control
42000,0,26,model.layers.26,0.09414391219615936,14,qwen,verbosity_control
42000,0,27,model.layers.27,0.16475822031497955,14,qwen,verbosity_control
