layer_idx,layer_name,raw_pc1_alignment,raw_pc1_ratio,raw_mean_dir_alignment,raw_mean_dir_ratio,random_baseline,behavioral_pc1_alignment,behavioral_pc1_ratio,contrastive_mean_alignment,contrastive_mean_ratio
0,model.layers.0,0.07021811604499817,2.3137461541394395,0.3527528941631317,11.623505417155686,0.030348235741257668,0.11672823131084442,3.8462936844088644,0.25420671701431274,8.376325754330402
1,model.layers.1,0.0387943834066391,1.3100992480580107,0.44401639699935913,14.994581605716077,0.02961178869009018,0.08784923702478409,2.966697992394007,0.13884767889976501,4.688932359472737
2,model.layers.2,0.06916160881519318,2.390877419993409,0.5234844088554382,18.09655782003904,0.028927290812134743,0.0817277580499649,2.8252820409437995,0.14726415276527405,5.090837874546487
3,model.layers.3,0.04385962709784508,1.5488611878874246,0.516549289226532,18.24144888256745,0.028317337855696678,0.1404387503862381,4.959461448757769,0.06815218180418015,2.4067297478579905
4,model.layers.4,0.04743505269289017,1.594305433914705,0.6283696889877319,21.11968160226354,0.02975280024111271,0.28137725591659546,9.457168541420753,0.08098290860652924,2.721858286561141
5,model.layers.5,0.06478893011808395,2.226428703586758,0.6169779896736145,21.202040274271685,0.029099933803081512,0.26034456491470337,8.9465686667839,0.1062905490398407,3.6526043703914124
6,model.layers.6,0.06565164774656296,2.1859643655371146,0.6211380362510681,20.681668471841505,0.030033264309167862,0.31287476420402527,10.417607309203175,0.05867497995495796,1.9536663546553168
7,model.layers.7,0.08883114159107208,3.051412621449538,0.6478706002235413,22.254813922000647,0.029111480340361595,0.40127256512641907,13.783996782399218,0.09081967920064926,3.119720296566715
8,model.layers.8,0.13950790464878082,4.604524455834466,0.6883624792098999,22.719729595110994,0.030298003926873207,0.34502464532852173,11.387701802850314,0.08413981646299362,2.777074486127789
9,model.layers.9,0.18212974071502686,6.229883786881268,0.676643967628479,23.145112197877722,0.029234852641820908,0.3728580176830292,12.753886927268555,0.05917254462838173,2.0240410762219274
