layer_idx,layer_name,mean_max_alignment,random_baseline_alignment,alignment_ratio
0,model.layers.0.mlp.down_proj,0.14889024198055267,0.026639670133590698,5.5890420431209025
1,model.layers.1.mlp.down_proj,0.1962101012468338,0.038063596934080124,5.15479649576578
2,model.layers.2.mlp.down_proj,0.14215198159217834,0.033852823078632355,4.1991173694103585
3,model.layers.3.mlp.down_proj,0.18190516531467438,0.03127989172935486,5.815402466005392
4,model.layers.4.mlp.down_proj,0.19779713451862335,0.028124317526817322,7.032957414773207
5,model.layers.5.mlp.down_proj,0.23614582419395447,0.032861821353435516,7.186023393777697
6,model.layers.6.mlp.down_proj,0.25189530849456787,0.030262108892202377,8.323785400021748
7,model.layers.7.mlp.down_proj,0.25297534465789795,0.030408266931772232,8.319294779482503
8,model.layers.8.mlp.down_proj,0.2919556200504303,0.033082906156778336,8.82496869657997
9,model.layers.9.mlp.down_proj,0.2279490977525711,0.025124093517661095,9.072927885712787
10,model.layers.10.mlp.down_proj,0.24626751244068146,0.030075635761022568,8.188272600759673
11,model.layers.11.mlp.down_proj,0.2535088062286377,0.034295253455638885,7.391950001611822
12,model.layers.12.mlp.down_proj,0.2330644577741623,0.03281363472342491,7.102670966990191
13,model.layers.13.mlp.down_proj,0.22981062531471252,0.030981246381998062,7.41773313647294
14,model.layers.14.mlp.down_proj,0.19713298976421356,0.033176373690366745,5.941968994624783
15,model.layers.15.mlp.down_proj,0.21122200787067413,0.03326074406504631,6.350489366897772
16,model.layers.16.mlp.down_proj,0.20672786235809326,0.03118579462170601,6.628910958879178
17,model.layers.17.mlp.down_proj,0.20957878232002258,0.030020195990800858,6.981259396273922
18,model.layers.18.mlp.down_proj,0.23148202896118164,0.03916667774319649,5.910177640512641
19,model.layers.19.mlp.down_proj,0.21025268733501434,0.04056265950202942,5.183404755328982
20,model.layers.20.mlp.down_proj,0.1817859709262848,0.03553177788853645,5.116151698921385
21,model.layers.21.mlp.down_proj,0.12818071246147156,0.02365092560648918,5.4196909319528395
22,model.layers.22.mlp.down_proj,0.07959754765033722,0.03625600039958954,2.1954309515014074
23,model.layers.23.mlp.down_proj,0.07391037046909332,0.02908770740032196,2.540948549534938
24,model.layers.24.mlp.down_proj,0.07238581031560898,0.03073246404528618,2.35535321390406
25,model.layers.25.mlp.down_proj,0.024910585954785347,0.030647188425064087,0.8128179589092371
26,model.layers.26.mlp.down_proj,0.06738840043544769,0.0404227077960968,1.6670926427858463
27,model.layers.27.mlp.down_proj,0.30832695960998535,0.0374109260737896,8.241628415191073
