layer_idx,layer_name,mean_max_alignment,random_baseline_alignment,alignment_ratio
0,model.layers.0.mlp.down_proj,0.14945174753665924,0.026537086814641953,5.631806646628293
1,model.layers.1.mlp.down_proj,0.19282478094100952,0.03242045268416405,5.947627470592612
2,model.layers.2.mlp.down_proj,0.09658102691173553,0.034572433680295944,2.7935847678896764
3,model.layers.3.mlp.down_proj,0.07762476056814194,0.02604995295405388,2.979842525059896
4,model.layers.4.mlp.down_proj,0.07968698441982269,0.034772083163261414,2.291694223609878
5,model.layers.5.mlp.down_proj,0.136531263589859,0.03332493454217911,4.096970072666831
6,model.layers.6.mlp.down_proj,0.1287262886762619,0.024379465728998184,5.280110927247981
7,model.layers.7.mlp.down_proj,0.14875490963459015,0.029047692194581032,5.121057587538173
8,model.layers.8.mlp.down_proj,0.1598168909549713,0.03322305530309677,4.810421097232844
9,model.layers.9.mlp.down_proj,0.11126112937927246,0.027791792526841164,4.003380684007207
10,model.layers.10.mlp.down_proj,0.11942919343709946,0.028459692373871803,4.1964328943454
11,model.layers.11.mlp.down_proj,0.10014159977436066,0.02800983190536499,3.5752301740857435
12,model.layers.12.mlp.down_proj,0.13610190153121948,0.03597324341535568,3.7834202542243447
13,model.layers.13.mlp.down_proj,0.14625495672225952,0.02699495293200016,5.4178628009765575
14,model.layers.14.mlp.down_proj,0.1488005816936493,0.02741890586912632,5.426933407808416
15,model.layers.15.mlp.down_proj,0.1640949547290802,0.02881171740591526,5.695424077704101
16,model.layers.16.mlp.down_proj,0.13307949900627136,0.026855871081352234,4.9553221955758815
17,model.layers.17.mlp.down_proj,0.17529471218585968,0.03409171104431152,5.141857116416335
18,model.layers.18.mlp.down_proj,0.19559921324253082,0.033480770885944366,5.842135716251087
19,model.layers.19.mlp.down_proj,0.10688412189483643,0.030646398663520813,3.4876567253693853
20,model.layers.20.mlp.down_proj,0.11738751828670502,0.02673373743891716,4.3909877608370795
21,model.layers.21.mlp.down_proj,0.1154458075761795,0.025248918682336807,4.572306816633468
22,model.layers.22.mlp.down_proj,0.1447800099849701,0.036159686744213104,4.003906532852742
23,model.layers.23.mlp.down_proj,0.08670155704021454,0.035419005900621414,2.447882214300407
24,model.layers.24.mlp.down_proj,0.0954504907131195,0.029512781649827957,3.2342084392938775
25,model.layers.25.mlp.down_proj,0.03810521215200424,0.030861059203743935,1.2347343837325937
26,model.layers.26.mlp.down_proj,0.10279090702533722,0.030995551496744156,3.316311494564732
27,model.layers.27.mlp.down_proj,0.2246382236480713,0.027916695922613144,8.046733618621957
