layer_idx,layer_name,mean_max_alignment,random_baseline_alignment,alignment_ratio
0,model.layers.0.mlp.down_proj,0.1271081566810608,0.02881436049938202,4.411277920691974
1,model.layers.1.mlp.down_proj,0.1585865020751953,0.03197671100497246,4.959437419661368
2,model.layers.2.mlp.down_proj,0.11027215421199799,0.03807807341217995,2.895948808186726
3,model.layers.3.mlp.down_proj,0.09827183187007904,0.030163630843162537,3.2579575424156095
4,model.layers.4.mlp.down_proj,0.07102943956851959,0.03490849956870079,2.034731896568628
5,model.layers.5.mlp.down_proj,0.13747119903564453,0.03369756042957306,4.079559267900006
6,model.layers.6.mlp.down_proj,0.12145839631557465,0.027033215388655663,4.492931753638608
7,model.layers.7.mlp.down_proj,0.13973385095596313,0.027941012755036354,5.00103010510047
8,model.layers.8.mlp.down_proj,0.11497439444065094,0.03203887492418289,3.5885901463187246
9,model.layers.9.mlp.down_proj,0.10310127586126328,0.03252332657575607,3.1700715623612346
10,model.layers.10.mlp.down_proj,0.08460190147161484,0.03499583154916763,2.4174850349038794
11,model.layers.11.mlp.down_proj,0.0946827232837677,0.029662495478987694,3.1920011638548025
12,model.layers.12.mlp.down_proj,0.10914397239685059,0.03347384184598923,3.2605749181238095
13,model.layers.13.mlp.down_proj,0.13845351338386536,0.0315055176615715,4.3945797201790695
14,model.layers.14.mlp.down_proj,0.15139655768871307,0.03062182292342186,4.9440738104732445
15,model.layers.15.mlp.down_proj,0.15649744868278503,0.03616746515035629,4.327022745585492
16,model.layers.16.mlp.down_proj,0.1764216125011444,0.03257105499505997,5.416514973536694
17,model.layers.17.mlp.down_proj,0.14886797964572906,0.03153469040989876,4.720768556466651
18,model.layers.18.mlp.down_proj,0.1865614503622055,0.028875675052404404,6.460851341579967
19,model.layers.19.mlp.down_proj,0.13469719886779785,0.02970070019364357,4.535152149762216
20,model.layers.20.mlp.down_proj,0.13554497063159943,0.02972773090004921,4.559546321506454
21,model.layers.21.mlp.down_proj,0.09906263649463654,0.033390842378139496,2.9667605388934684
22,model.layers.22.mlp.down_proj,0.1376817673444748,0.037890926003456116,3.633634176643832
23,model.layers.23.mlp.down_proj,0.10764995962381363,0.029457861557602882,3.65437103297333
24,model.layers.24.mlp.down_proj,0.11546536535024643,0.033530645072460175,3.443577111539224
25,model.layers.25.mlp.down_proj,0.03753887116909027,0.03742329403758049,1.0030883472819194
26,model.layers.26.mlp.down_proj,0.06195833161473274,0.026403551921248436,2.3465906955601934
27,model.layers.27.mlp.down_proj,0.24997290968894958,0.03758393973112106,6.651056404044445
