layer_idx,layer_name,mean_max_alignment,random_baseline_alignment,alignment_ratio
0,model.layers.0.mlp.down_proj,0.09538327902555466,0.03412770479917526,2.7948927943424695
1,model.layers.1.mlp.down_proj,0.08710598945617676,0.032105159014463425,2.7131460929313347
2,model.layers.2.mlp.down_proj,0.09549709409475327,0.025770192965865135,3.705718871237348
3,model.layers.3.mlp.down_proj,0.09347381442785263,0.03076811134815216,3.0380093965519595
4,model.layers.4.mlp.down_proj,0.08939257264137268,0.026743199676275253,3.3426280467870733
5,model.layers.5.mlp.down_proj,0.13153475522994995,0.03221433609724045,4.083112274913691
6,model.layers.6.mlp.down_proj,0.09015198051929474,0.029791226610541344,3.026125062647479
7,model.layers.7.mlp.down_proj,0.1342804729938507,0.029308725148439407,4.5815868050273725
8,model.layers.8.mlp.down_proj,0.16797959804534912,0.032831139862537384,5.116471545983512
9,model.layers.9.mlp.down_proj,0.1286916434764862,0.02508159913122654,5.130918394487335
10,model.layers.10.mlp.down_proj,0.12225644290447235,0.0406668446958065,3.006292738290229
11,model.layers.11.mlp.down_proj,0.12899017333984375,0.0341213159263134,3.780339827398929
12,model.layers.12.mlp.down_proj,0.12789449095726013,0.034598834812641144,3.696496947175667
13,model.layers.13.mlp.down_proj,0.10503967106342316,0.035038068890571594,2.9978726394312125
14,model.layers.14.mlp.down_proj,0.1263027936220169,0.028144771233201027,4.487611147658307
15,model.layers.15.mlp.down_proj,0.09820105135440826,0.032272715121507645,3.042850529985721
16,model.layers.16.mlp.down_proj,0.0701795369386673,0.03837891295552254,1.8285962187465392
17,model.layers.17.mlp.down_proj,0.09907673299312592,0.031783998012542725,3.1171890281656465
18,model.layers.18.mlp.down_proj,0.09924816340208054,0.03388471156358719,2.9289952870585507
19,model.layers.19.mlp.down_proj,0.10109418630599976,0.034581996500492096,2.9233183046919486
20,model.layers.20.mlp.down_proj,0.1086435467004776,0.027817685157060623,3.905556561644576
21,model.layers.21.mlp.down_proj,0.10281151533126831,0.02690843865275383,3.8207906760118107
22,model.layers.22.mlp.down_proj,0.06849773973226547,0.027861112728714943,2.458542770372764
23,model.layers.23.mlp.down_proj,0.07407419383525848,0.03242533281445503,2.284454317698855
24,model.layers.24.mlp.down_proj,0.07271629571914673,0.035606563091278076,2.042216023223616
25,model.layers.25.mlp.down_proj,0.07214357703924179,0.03457469120621681,2.0866007022983646
26,model.layers.26.mlp.down_proj,0.06531806290149689,0.029283937066793442,2.230508162956552
27,model.layers.27.mlp.down_proj,0.07971843332052231,0.025499854236841202,3.1262308189635606
28,model.layers.28.mlp.down_proj,0.051109980791807175,0.02919178083539009,1.7508345698118701
29,model.layers.29.mlp.down_proj,0.07437025010585785,0.029643690213561058,2.5088053161151467
30,model.layers.30.mlp.down_proj,0.09526894986629486,0.032060496509075165,2.971536852768042
31,model.layers.31.mlp.down_proj,0.09978267550468445,0.030274638906121254,3.2959161798158765
32,model.layers.32.mlp.down_proj,0.06355015933513641,0.026981806382536888,2.3552966053811213
33,model.layers.33.mlp.down_proj,0.06837143748998642,0.0341891348361969,1.9998001066057907
34,model.layers.34.mlp.down_proj,0.08184352517127991,0.030538450926542282,2.68001552168223
35,model.layers.35.mlp.down_proj,0.03729970380663872,0.029032234102487564,1.2847685917038738
36,model.layers.36.mlp.down_proj,0.05642548203468323,0.027720337733626366,2.035526426170106
37,model.layers.37.mlp.down_proj,0.05583841726183891,0.02803093194961548,1.9920284980241763
38,model.layers.38.mlp.down_proj,0.06732133775949478,0.031912270933389664,2.1095752098131495
39,model.layers.39.mlp.down_proj,0.0870114415884018,0.03454875946044922,2.5185112411778388
40,model.layers.40.mlp.down_proj,0.07310739904642105,0.03473030403256416,2.1050030795258894
41,model.layers.41.mlp.down_proj,0.08859405666589737,0.03338678553700447,2.653566451137894
