layer_idx,layer_name,mean_max_alignment,random_baseline_alignment,alignment_ratio
0,model.layers.0.mlp.down_proj,0.09362848848104477,0.033630095422267914,2.7840683923537424
1,model.layers.1.mlp.down_proj,0.10612712055444717,0.028086811304092407,3.7785391736670615
2,model.layers.2.mlp.down_proj,0.1449209749698639,0.032870545983314514,4.408839775116232
3,model.layers.3.mlp.down_proj,0.12469738721847534,0.037666209042072296,3.310590236692017
4,model.layers.4.mlp.down_proj,0.12365452945232391,0.03025660291314125,4.086860832342702
5,model.layers.5.mlp.down_proj,0.16150620579719543,0.02730622887611389,5.9146285126118014
6,model.layers.6.mlp.down_proj,0.12957198917865753,0.028478194028139114,4.549866627805179
7,model.layers.7.mlp.down_proj,0.15025955438613892,0.03482480347156525,4.314727869005758
8,model.layers.8.mlp.down_proj,0.18778809905052185,0.028147023171186447,6.67168571385805
9,model.layers.9.mlp.down_proj,0.15479063987731934,0.03029724583029747,5.109066204739355
10,model.layers.10.mlp.down_proj,0.2223753035068512,0.03480225056409836,6.389681515211253
11,model.layers.11.mlp.down_proj,0.12829211354255676,0.03474203869700432,3.6927052833233316
12,model.layers.12.mlp.down_proj,0.13441194593906403,0.02366279996931553,5.680305814741087
13,model.layers.13.mlp.down_proj,0.1303512156009674,0.03336756303906441,3.9065247750288674
14,model.layers.14.mlp.down_proj,0.12856128811836243,0.03553684800863266,3.617689573071944
15,model.layers.15.mlp.down_proj,0.10276870429515839,0.029724756255745888,3.4573437694026206
16,model.layers.16.mlp.down_proj,0.04600328579545021,0.031003156676888466,1.483825817837378
17,model.layers.17.mlp.down_proj,0.09867675602436066,0.031414568424224854,3.1411143884171024
18,model.layers.18.mlp.down_proj,0.10897382348775864,0.028157522901892662,3.870149373483574
19,model.layers.19.mlp.down_proj,0.1251254826784134,0.03306064009666443,3.7847264459441354
20,model.layers.20.mlp.down_proj,0.12984684109687805,0.029506918042898178,4.400555710614932
21,model.layers.21.mlp.down_proj,0.11089004576206207,0.02873486652970314,3.8590762824097027
22,model.layers.22.mlp.down_proj,0.08855929225683212,0.03141685202717781,2.818846692895117
23,model.layers.23.mlp.down_proj,0.07675450295209885,0.03376583009958267,2.2731412333886696
24,model.layers.24.mlp.down_proj,0.08333040773868561,0.03708745911717415,2.2468620788647016
25,model.layers.25.mlp.down_proj,0.07365244626998901,0.025464320555329323,2.8923781106814763
26,model.layers.26.mlp.down_proj,0.07109823077917099,0.028720593079924583,2.4755139319652155
27,model.layers.27.mlp.down_proj,0.08239849656820297,0.028140058740973473,2.928156419235537
28,model.layers.28.mlp.down_proj,0.06267822533845901,0.026694405823946,2.347990938769766
29,model.layers.29.mlp.down_proj,0.09534194320440292,0.03547394275665283,2.6876612270244795
30,model.layers.30.mlp.down_proj,0.10915589332580566,0.03847547620534897,2.8370250677652544
31,model.layers.31.mlp.down_proj,0.12834706902503967,0.03410247713327408,3.7635701582580987
32,model.layers.32.mlp.down_proj,0.07180812954902649,0.024952271953225136,2.877819174374859
33,model.layers.33.mlp.down_proj,0.07549045234918594,0.035390861332416534,2.1330492498353135
34,model.layers.34.mlp.down_proj,0.0883144661784172,0.02771810255944729,3.1861655321767706
35,model.layers.35.mlp.down_proj,0.04139483720064163,0.03530941158533096,1.1723456769665666
36,model.layers.36.mlp.down_proj,0.046799324452877045,0.03282500058412552,1.425721925189781
37,model.layers.37.mlp.down_proj,0.06915910542011261,0.03991895169019699,1.73248797273923
38,model.layers.38.mlp.down_proj,0.07312227040529251,0.02575848065316677,2.8387647761956805
39,model.layers.39.mlp.down_proj,0.1640729010105133,0.02351585403084755,6.977118237686289
40,model.layers.40.mlp.down_proj,0.09320517629384995,0.03030570223927498,3.0754995374289735
41,model.layers.41.mlp.down_proj,0.08829616010189056,0.033681534230709076,2.6215004600320806
