layer_idx,layer_name,mean_max_alignment,random_baseline_alignment,alignment_ratio
0,model.layers.0.mlp.down_proj,0.14741110801696777,0.04213499277830124,3.4985434860294635
1,model.layers.1.mlp.down_proj,0.0741245225071907,0.037415798753499985,1.9811021813119705
2,model.layers.2.mlp.down_proj,0.10211575031280518,0.03100111149251461,3.293938252617921
3,model.layers.3.mlp.down_proj,0.09331373870372772,0.02888902649283409,3.2300754577797455
4,model.layers.4.mlp.down_proj,0.08866886794567108,0.02609093487262726,3.3984548648826394
5,model.layers.5.mlp.down_proj,0.15616732835769653,0.030633658170700073,5.0978999109275405
6,model.layers.6.mlp.down_proj,0.09822983294725418,0.03396178036928177,2.8923639746442302
7,model.layers.7.mlp.down_proj,0.1328585147857666,0.029570911079645157,4.492878489102081
8,model.layers.8.mlp.down_proj,0.15500739216804504,0.02747727930545807,5.641293113614831
9,model.layers.9.mlp.down_proj,0.13075432181358337,0.02818341925740242,4.639405743497032
10,model.layers.10.mlp.down_proj,0.1404012143611908,0.03170429915189743,4.428459662838137
11,model.layers.11.mlp.down_proj,0.11444894224405289,0.0325414277613163,3.5170226569800875
12,model.layers.12.mlp.down_proj,0.1010616198182106,0.04251626133918762,2.3770109190680477
13,model.layers.13.mlp.down_proj,0.10825852304697037,0.03227359056472778,3.3543996127560676
14,model.layers.14.mlp.down_proj,0.10423153638839722,0.028425052762031555,3.6668896833406635
15,model.layers.15.mlp.down_proj,0.1026478037238121,0.035196058452129364,2.9164572773672224
16,model.layers.16.mlp.down_proj,0.05202784389257431,0.034102849662303925,1.5256156855556957
17,model.layers.17.mlp.down_proj,0.08559449762105942,0.03268545866012573,2.6187331771099274
18,model.layers.18.mlp.down_proj,0.10086111724376678,0.03126345947384834,3.2261661286067924
19,model.layers.19.mlp.down_proj,0.11852826923131943,0.027971625328063965,4.237446469546173
20,model.layers.20.mlp.down_proj,0.125299870967865,0.028851782903075218,4.34288123704232
21,model.layers.21.mlp.down_proj,0.10009900480508804,0.024644192308187485,4.061768366823855
22,model.layers.22.mlp.down_proj,0.09044069051742554,0.031525421887636185,2.868817678981717
23,model.layers.23.mlp.down_proj,0.06952165067195892,0.030074208974838257,2.3116700565077046
24,model.layers.24.mlp.down_proj,0.07517679035663605,0.03552735596895218,2.1160254173237267
25,model.layers.25.mlp.down_proj,0.07465113699436188,0.026571735739707947,2.80941880937747
26,model.layers.26.mlp.down_proj,0.06783560663461685,0.03367962688207626,2.0141435906635365
27,model.layers.27.mlp.down_proj,0.07822948694229126,0.028876105323433876,2.7091425023187963
28,model.layers.28.mlp.down_proj,0.05751078575849533,0.04149666056036949,1.3859135553550117
29,model.layers.29.mlp.down_proj,0.07987529039382935,0.033587243407964706,2.378143601887392
30,model.layers.30.mlp.down_proj,0.10066844522953033,0.030041921883821487,3.350932149677524
31,model.layers.31.mlp.down_proj,0.11279008537530899,0.03340594843029976,3.376347246487971
32,model.layers.32.mlp.down_proj,0.07042473554611206,0.04016682505607605,1.7533059606898884
33,model.layers.33.mlp.down_proj,0.056592393666505814,0.0372171550989151,1.520599626583384
34,model.layers.34.mlp.down_proj,0.0838313102722168,0.028158407658338547,2.9771323830614214
35,model.layers.35.mlp.down_proj,0.053008537739515305,0.03266649320721626,1.6227189058997749
36,model.layers.36.mlp.down_proj,0.04753377288579941,0.026907822117209435,1.7665410047756052
37,model.layers.37.mlp.down_proj,0.03582599759101868,0.0307046826928854,1.1667925958579388
38,model.layers.38.mlp.down_proj,0.06330791115760803,0.025230851024389267,2.509146781742122
39,model.layers.39.mlp.down_proj,0.09936197102069855,0.03434520214796066,2.8930378018916576
40,model.layers.40.mlp.down_proj,0.0997273176908493,0.03411806374788284,2.9230062850220064
41,model.layers.41.mlp.down_proj,0.0773099809885025,0.03746385499835014,2.0635884622209506
