layer_idx,layer_name,mean_max_alignment,random_baseline_alignment,alignment_ratio
0,model.layers.0.mlp.down_proj,0.1430669128894806,0.03270002454519272,4.3751315329022145
1,model.layers.1.mlp.down_proj,0.08442927896976471,0.029543254524469376,2.85781906803858
2,model.layers.2.mlp.down_proj,0.08734451234340668,0.028237681835889816,3.0931897936183583
3,model.layers.3.mlp.down_proj,0.07461298257112503,0.033196158707141876,2.24763898081478
4,model.layers.4.mlp.down_proj,0.07894003391265869,0.032429732382297516,2.4341869537462757
5,model.layers.5.mlp.down_proj,0.11209074407815933,0.02403159625828266,4.664306865392664
6,model.layers.6.mlp.down_proj,0.10852579772472382,0.02997295930981636,3.6207900922345946
7,model.layers.7.mlp.down_proj,0.11007662862539291,0.03361033648252487,3.2750825153905523
8,model.layers.8.mlp.down_proj,0.1547386795282364,0.03156714886426926,4.901889470337788
9,model.layers.9.mlp.down_proj,0.13489238917827606,0.03117753192782402,4.326589582650811
10,model.layers.10.mlp.down_proj,0.20268650352954865,0.02995271049439907,6.766883310963332
11,model.layers.11.mlp.down_proj,0.10901453346014023,0.02588404156267643,4.211650216389848
12,model.layers.12.mlp.down_proj,0.10257371515035629,0.030605033040046692,3.351530830390143
13,model.layers.13.mlp.down_proj,0.12314747273921967,0.03180835396051407,3.8715448470092597
14,model.layers.14.mlp.down_proj,0.12060312926769257,0.04066641256213188,2.9656691776723796
15,model.layers.15.mlp.down_proj,0.09607282280921936,0.030999774113297462,3.09914579889996
16,model.layers.16.mlp.down_proj,0.05639529973268509,0.033397845923900604,1.6885908801602043
17,model.layers.17.mlp.down_proj,0.09921680390834808,0.031193533912301064,3.180684849834774
18,model.layers.18.mlp.down_proj,0.10555732250213623,0.03416368365287781,3.089752278615665
19,model.layers.19.mlp.down_proj,0.10431551933288574,0.0340798981487751,3.0609104468736392
20,model.layers.20.mlp.down_proj,0.1305568516254425,0.02936282381415367,4.446331456587603
21,model.layers.21.mlp.down_proj,0.11321927607059479,0.027293508872389793,4.148212399209521
22,model.layers.22.mlp.down_proj,0.08554624021053314,0.03555012494325638,2.4063554752823793
23,model.layers.23.mlp.down_proj,0.0641624853014946,0.019018804654479027,3.3736337847473616
24,model.layers.24.mlp.down_proj,0.09252934157848358,0.03132368624210358,2.9539734854110895
25,model.layers.25.mlp.down_proj,0.08187267184257507,0.028300926089286804,2.892932503033359
26,model.layers.26.mlp.down_proj,0.07684504985809326,0.036187466233968735,2.12352661658398
27,model.layers.27.mlp.down_proj,0.09534533321857452,0.03212211653590202,2.9682144432729136
28,model.layers.28.mlp.down_proj,0.063186414539814,0.027135025709867477,2.328592310426459
29,model.layers.29.mlp.down_proj,0.0966530442237854,0.038395483046770096,2.517302402179666
30,model.layers.30.mlp.down_proj,0.10583629459142685,0.02955310046672821,3.5812246207248535
31,model.layers.31.mlp.down_proj,0.11916818469762802,0.031614482402801514,3.769417427427201
32,model.layers.32.mlp.down_proj,0.06679694354534149,0.026697000488638878,2.502039173716474
33,model.layers.33.mlp.down_proj,0.06218678876757622,0.031688444316387177,1.962443665086255
34,model.layers.34.mlp.down_proj,0.07861510664224625,0.025188978761434555,3.121011942000504
35,model.layers.35.mlp.down_proj,0.044263146817684174,0.030542394146323204,1.4492362699659695
36,model.layers.36.mlp.down_proj,0.04923734813928604,0.032991062849760056,1.4924449955148733
37,model.layers.37.mlp.down_proj,0.07549597322940826,0.033506542444229126,2.2531710367280824
38,model.layers.38.mlp.down_proj,0.08128979802131653,0.03154303506016731,2.577107602015827
39,model.layers.39.mlp.down_proj,0.1858343780040741,0.027202969416975975,6.83140021679781
40,model.layers.40.mlp.down_proj,0.11563338339328766,0.028586581349372864,4.045023010448272
41,model.layers.41.mlp.down_proj,0.09737451374530792,0.03699762001633644,2.6319128384582307
